partner_country,period,net_weight,usd_value
Albania,201001,300,17634
Albania,201209,14,83
Algeria,201003,52853,216974
Algeria,201211,22500,122943
Antigua and Barbuda,201110,1000,102
Antigua and Barbuda,201208,30,51796
Argentina,201009,18,3254
Argentina,201010,3213138,564
Argentina,201011,45,12806
Argentina,201012,41592,64016
Argentina,201101,262461,2921
Argentina,201102,27390027,779
Argentina,201103,54225,2049
Argentina,201104,30683480,47686
Argentina,201105,101083,477
Argentina,201106,21398518,86
Argentina,201107,5572594,3951
Argentina,201109,291785,137
Argentina,201110,26831785,6875
Argentina,201210,60,11864
Australia,201001,2687,566722
Australia,201002,50768,685477
Australia,201003,9268,500829
Australia,201004,337095,942400
Australia,201005,243506,647938
Australia,201006,292977,1217897
Australia,201007,20563,424106
Australia,201008,3451,432632
Australia,201009,5843,737729
Australia,201010,102780,658883
Australia,201011,15793,166570
Australia,201012,47597,465959
Australia,201101,73773,406473
Australia,201102,156583,1053141
Australia,201103,233700,862145
Australia,201104,11629,366333
Australia,201105,29459,778341
Australia,201106,48481,867765
Australia,201107,28081,558792
Australia,201108,38104,935286
Australia,201109,37421,724338
Australia,201110,19058,547485
Australia,201111,9062,472542
Australia,201112,28941,853786
Australia,201201,29172,549703
Australia,201202,58348,913075
Australia,201203,48289,883169
Australia,201204,11377,336437
Australia,201205,15992,560628
Australia,201206,53248,1061567
Australia,201207,65488,809220
Australia,201208,49952,724561
Australia,201209,14144,368937
Australia,201210,100061,832602
Australia,201211,161521,1193020
Australia,201212,85026,715111
Australia,201301,19026,535105
Australia,201302,29456,643131
Australia,201303,67645,1220515
Australia,201304,23554,434571
Australia,201305,61415,897811
Australia,201306,13549,319987
Austria,201001,225332,867611
Austria,201002,242796,662007
Austria,201003,173446,635816
Austria,201004,230683,825640
Austria,201005,100849,570204
Austria,201006,196454,1037435
Austria,201007,365585,2192840
Austria,201008,160392,967704
Austria,201009,122725,650577
Austria,201010,908,887074
Austria,201011,47503,733636
Austria,201012,35060,831536
Austria,201101,132177,627195
Austria,201102,204780,968054
Austria,201103,352885,1149310
Austria,201104,98252,763458
Austria,201105,131323,734497
Austria,201106,274336,1626795
Austria,201107,271989,2019964
Austria,201108,336672,1683059
Austria,201109,248622,1445700
Austria,201110,80113,1185710
Austria,201111,226498,826415
Austria,201112,186840,1675106
Austria,201201,295259,629614
Austria,201202,479776,1182461
Austria,201203,181589,1320833
Austria,201204,224679,913228
Austria,201205,268973,791489
Austria,201206,129908,1063392
Austria,201207,113843,1136656
Austria,201208,233347,1014009
Austria,201209,373918,1277188
Austria,201210,288544,1331741
Austria,201211,193107,1089162
Austria,201212,286078,1198565
Austria,201301,179594,1050242
Austria,201302,199027,799543
Austria,201303,199741,524354
Austria,201304,88737,258998
Austria,201305,843,523358
Austria,201306,84825,935151
Azerbaijan,201102,7,13769
Bahrain,201005,114,3816
Bahrain,201007,35,3229
Bahrain,201103,155,7363
Bahrain,201109,160602,35
Bahrain,201112,560,3568
Bahrain,201206,2071,693
Bahrain,201212,1835,15428
Bahrain,201305,59408,156
Barbados,201001,757,182060
Barbados,201002,1081,222202
Barbados,201003,511,107849
Barbados,201004,677,125697
Barbados,201005,912,166720
Barbados,201006,1177,247675
Barbados,201007,590,110728
Barbados,201008,1479,194756
Barbados,201009,695,105032
Barbados,201010,1908,410153
Barbados,201011,426,104545
Barbados,201012,623,143477
Barbados,201101,527,106185
Barbados,201102,527,96815
Barbados,201103,219,47763
Barbados,201104,194,24736
Barbados,201105,194,47693
Barbados,201106,395,78117
Barbados,201107,29,9643
Barbados,201108,8,1751
Barbados,201109,18,6829
Barbados,201110,46,10650
Barbados,201111,43,7012
Barbados,201112,138,14186
Barbados,201201,26,4267
Barbados,201202,38,9305
Barbados,201203,42,8063
Barbados,201204,81,11769
Barbados,201205,98,18612
Barbados,201206,120,15205
Belarus,201010,301800,577
Belarus,201101,25,2610
Belgium,201001,69796,1598558
Belgium,201002,698109,3219801
Belgium,201003,540185,3481632
Belgium,201004,767775,4366746
Belgium,201005,773605,3649446
Belgium,201006,748997,4390815
Belgium,201007,825297,3352125
Belgium,201008,659677,3815586
Belgium,201009,2025123,4106782
Belgium,201010,857265,3681983
Belgium,201011,980324,3007166
Belgium,201012,700571,4326547
Belgium,201101,132987,1595532
Belgium,201102,381095,3670527
Belgium,201103,389730,3933946
Belgium,201104,527652,3031625
Belgium,201105,386756,4153713
Belgium,201106,346034,4029998
Belgium,201107,469080,4279798
