partner_country,period,net_weight,usd_value
Albania,201001,24348,36171
Albania,201002,293,35936
Albania,201003,23923,74961
Albania,201004,0,53686
Albania,201005,8754,171889
Albania,201006,0,260259
Albania,201007,2880,127261
Albania,201008,8203,7192
Albania,201009,0,12
Albania,201011,95,35174
Albania,201012,105,11015
Albania,201101,0,11577
Albania,201102,17,1476
Albania,201103,380,83302
Albania,201104,0,72073
Albania,201105,0,45259
Albania,201106,7674,151806
Albania,201107,22,68851
Albania,201108,96,185739
Albania,201109,0,79595
Albania,201110,16015,132484
Albania,201111,15365,51625
Albania,201112,256,122706
Albania,201201,310,144410
Albania,201202,1099,45285
Albania,201203,4338,25090
Albania,201204,8890,35329
Albania,201205,0,48380
Albania,201206,308,209948
Albania,201207,0,81513
Albania,201208,181,7857
Albania,201210,0,77541
Albania,201211,845,3493
Albania,201212,0,23905
Albania,201301,0,54077
Albania,201302,1294,75930
Albania,201303,3045,40975
Albania,201304,107933,58091
Albania,201305,5068,145576
Albania,201306,0,162341
Albania,201307,186633,202653
Albania,201308,3,9262
Albania,201309,17762,23982
Albania,201310,12598,49118
Albania,201311,1043970,561624
Algeria,201001,1453557,1443836
Algeria,201002,8666613,27665681
Algeria,201003,3416811,10673685
Algeria,201004,294655,718283
Algeria,201005,6413388,19561026
Algeria,201006,352000,419523
Algeria,201007,28135950,6363048
Algeria,201008,1520402,2715720
Algeria,201009,4605102,10609866
Algeria,201010,5976444,8972601
Algeria,201011,2102793,2536916
Algeria,201012,3002814,8062795
Algeria,201101,366627,1055147
Algeria,201102,916972,2043212
Algeria,201103,452789,3197648
Algeria,201104,1249030,2603643
Algeria,201105,23053811,8679595
Algeria,201106,115356879,41724508
Algeria,201107,74953504,26214382
Algeria,201108,63974618,22951723
Algeria,201109,28150035,15063227
Algeria,201110,160160013,68805200
Algeria,201111,23006858,8686546
Algeria,201112,444996,673554
Algeria,201201,570010,878372
Algeria,201202,317232,1286254
Algeria,201203,2937009,5029103
Algeria,201204,3989611,6023030
Algeria,201205,8230334,11669641
Algeria,201206,120402722,51476769
Algeria,201207,127802361,44881193
Algeria,201208,33797228,20035651
Algeria,201209,3093393,4922058
Algeria,201210,4114000,4396846
Algeria,201211,4252315,6949047
Algeria,201212,2242609,3855929
Algeria,201301,443107,1470520
Algeria,201302,334238,737549
Algeria,201303,5464794,6915524
Algeria,201304,2436467,5691394
Algeria,201305,1577812,4361877
Algeria,201306,58185075,21751804
Algeria,201307,104989542,35943520
Algeria,201308,437831,3267681
Algeria,201309,349796,578196
Algeria,201310,808067,1335692
Algeria,201311,116304798,40280862
Antigua and Barbuda,201001,20768,191491
Antigua and Barbuda,201002,179,54540
Antigua and Barbuda,201003,50638,219215
Antigua and Barbuda,201004,90612,146916
Antigua and Barbuda,201005,723,69847
Antigua and Barbuda,201006,26482,187297
Antigua and Barbuda,201007,90586,146606
Antigua and Barbuda,201008,15473,115465
Antigua and Barbuda,201009,8691,86523
Antigua and Barbuda,201010,47191,96061
Antigua and Barbuda,201011,20597,37206
Antigua and Barbuda,201012,39669,473256
Antigua and Barbuda,201101,8047,275422
Antigua and Barbuda,201102,20687,186685
Antigua and Barbuda,201103,43573,100654
Antigua and Barbuda,201104,12264,231633
Antigua and Barbuda,201105,19584,184636
Antigua and Barbuda,201106,34995,188677
Antigua and Barbuda,201107,19266,26178
Antigua and Barbuda,201108,25184,109563
Antigua and Barbuda,201109,40,93274
Antigua and Barbuda,201110,13098,151237
Antigua and Barbuda,201111,19982,52836
Antigua and Barbuda,201112,29332,100246
Antigua and Barbuda,201201,40285,47592
Antigua and Barbuda,201202,19250,80498
Antigua and Barbuda,201203,40920,203868
Antigua and Barbuda,201204,34885,88269
Antigua and Barbuda,201205,35289,169139
Antigua and Barbuda,201206,21145,37148
Antigua and Barbuda,201207,2004,258351
Antigua and Barbuda,201208,27249,392036
Antigua and Barbuda,201209,16955,328939
Antigua and Barbuda,201210,30415,310364
Antigua and Barbuda,201211,4432,299856
Antigua and Barbuda,201212,26745,132314
Antigua and Barbuda,201301,27038,155473
Antigua and Barbuda,201302,89,392250
Antigua and Barbuda,201303,42817,147175
Antigua and Barbuda,201304,7479,229518
Antigua and Barbuda,201305,69632,257990
Antigua and Barbuda,201306,23003,170008
Antigua and Barbuda,201307,38304,467627
Antigua and Barbuda,201308,20303,104306
Antigua and Barbuda,201309,42807,276616
Antigua and Barbuda,201310,6740,45772
Antigua and Barbuda,201311,27681,149866
Argentina,201001,15348354,78739242
Argentina,201002,18098342,80264148
Argentina,201003,17378889,126255069
Argentina,201004,17932452,120823668
Argentina,201005,20715974,127223258
Argentina,201006,41098924,193536373
Argentina,201007,15849813,148021293
Argentina,201008,18170467,193017373
Argentina,201009,18309515,135651504
Argentina,201010,47245573,164599908
Argentina,201011,22456369,191416805
Argentina,201012,19141014,209242447
Argentina,201101,17482482,142796429
Argentina,201102,59581450,179498118
Argentina,201103,18024124,220062796
Argentina,201104,16888166,169797047
Argentina,201105,18242318,125745058
Argentina,201106,30054274,181835529
Argentina,201107,27408662,182797014
Argentina,201108,51351559,150960435
Argentina,201109,19820916,151448582
Argentina,201110,62729480,154078646
Argentina,201111,21215632,130476892
Argentina,201112,38782972,168643683
Argentina,201201,19299018,146593222
Argentina,201202,27914046,264785641
Argentina,201203,18342092,188805304
Argentina,201204,22493553,165965943
Argentina,201205,34609232,152613371
Argentina,201206,15668209,111195959
Argentina,201207,60896559,132395557
Argentina,201208,65817792,197846901
Argentina,201209,55737084,142437668
Argentina,201210,69694284,172080785
Argentina,201211,100825097,217129699
Argentina,201212,461455734,123017847
Argentina,201301,74931531,120908463
Argentina,201302,40426480,160007501
Argentina,201303,30851833,141716139
Argentina,201304,27524638,148140374
Argentina,201305,68675710,171719313
Argentina,201306,33684289,160850627
Argentina,201307,54096452,183333961
Argentina,201308,23544659,207781811
Argentina,201309,28727179,157850399
Argentina,201310,50758624,159017307
Argentina,201311,77204737,214432202
Armenia,201002,80,51507
Armenia,201003,259,3660
Armenia,201005,760,5135
Armenia,201011,62,142319
Armenia,201102,154,2134
Armenia,201103,2,13692
Armenia,201104,86,12044
Armenia,201106,186,43798
Armenia,201108,68,101609
Armenia,201110,2373,12524
Armenia,201111,10,77777
Armenia,201112,1113,1375
Armenia,201201,52,117294
Armenia,201202,122925,11916
Armenia,201203,61581,34934
Armenia,201205,11440,1769
Armenia,201206,4,102797
Armenia,201209,1,74
Armenia,201210,124,15193
Armenia,201211,4107,21740
Armenia,201212,962,633483
Armenia,201302,1659,63398
Armenia,201303,2133,12473
Armenia,201304,2880,624095
Armenia,201305,2127,116560
Armenia,201307,114,127062
Armenia,201308,11466,60261
Armenia,201309,13548,99825
Armenia,201310,2389,81163
Aruba,201001,141999,468118
Aruba,201002,34927,227401
Aruba,201003,7818321,5734759
Aruba,201004,88117,775318
Aruba,201005,183476,779412
Aruba,201006,93429,13805057
Aruba,201007,101506,621338
Aruba,201008,113218,426226
Aruba,201009,72756,372481
Aruba,201010,63089,832595
Aruba,201011,81864,760669
Aruba,201012,57656,644830
Aruba,201101,118199,685387
Aruba,201102,71791,650817
Aruba,201103,90145,590239
Aruba,201104,63549,612045
Aruba,201105,8642038,923298
Aruba,201106,139652,707483
Aruba,201107,154547,1213069
Aruba,201108,63601,677146
Aruba,201109,37459,536864
Aruba,201110,66936,836403
Aruba,201111,54942,871554
Aruba,201112,222335,1405760
Aruba,201201,24459,459446
Aruba,201202,50061,387118
Aruba,201203,217679,855371
Aruba,201204,55873,751324
Aruba,201205,144752,675785
Aruba,201206,100161,481839
Aruba,201207,80143,1614975
Aruba,201208,145124,367420
Aruba,201209,204995,1179133
Aruba,201210,83740,917366
Aruba,201211,83478,1126609
Aruba,201212,136650,662759
Aruba,201301,81027,1079406
Aruba,201302,77929,1353062
Aruba,201303,244331,917848
Aruba,201304,132666,572734
Aruba,201305,248028,1343989
Aruba,201306,159815,1238122
Aruba,201307,141737,1093768
Aruba,201308,156591,1444171
Aruba,201309,191941,1072309
Aruba,201310,206004,1881983
Aruba,201311,220528,1532862
Australia,201001,1640208,46794037
Australia,201002,23920995,37738343
