partner_country,period,net_weight,usd_value
Albania,201001,2290219,675315
Albania,201002,2568725,858471
Albania,201003,1674429,596260
Albania,201004,2035836,1035117
Albania,201005,2287959,761339
Albania,201006,2049752,920224
Albania,201007,2948004,696938
Albania,201008,2197400,1224158
Albania,201009,2832269,765447
Albania,201010,2329723,781817
Albania,201011,3203095,1222689
Albania,201012,2946610,1365512
Albania,201101,3200213,1468030
Albania,201102,5053571,2326375
Albania,201103,2148679,1084721
Albania,201104,2783894,1355208
Albania,201105,4385018,1817085
Albania,201106,3198369,1172943
Albania,201107,2429112,1117742
Albania,201108,2441175,1268437
Albania,201109,2190126,954442
Albania,201110,1768569,477888
Albania,201111,2344431,591200
Albania,201112,1834397,809845
Albania,201201,1227560,397651
Albania,201202,446431,284038
Albania,201203,1295073,633301
Albania,201204,963259,477432
Albania,201205,1849670,604456
Albania,201206,3443352,1040174
Albania,201207,2497004,883348
Albania,201208,2668527,1072266
Albania,201209,2631151,1064370
Albania,201210,3539151,869201
Albania,201211,2739553,830794
Albania,201212,3705641,1621349
Albania,201301,3076832,1041462
Albania,201302,2649470,873089
Albania,201303,3247671,1131346
Albania,201304,4203558,1377289
Albania,201305,3612744,1155639
Albania,201306,4978183,1681390
Albania,201307,3897631,1196083
Albania,201308,6118464,1792818
Albania,201309,5088778,1202157
Albania,201310,5039055,1361445
Albania,201311,5061021,1301863
Algeria,201106,17500,201432
Armenia,201005,289212,524454
Armenia,201008,59820,211922
Armenia,201012,70,25446
Armenia,201102,40378,62964
Australia,201003,7,11043
Australia,201005,24500,12157
Australia,201008,11120,10663
Australia,201009,22050,19215
Australia,201101,9857,14907
Australia,201102,11144,11482
Australia,201103,16000,9942
Australia,201104,15100,22934
Australia,201106,23300,23970
Australia,201107,11455,20849
Australia,201108,25300,33712
Australia,201110,11328,17082
Australia,201201,11717,16387
Australia,201205,13808,12629
Australia,201208,12249,17797
Australia,201211,9786,13085
Australia,201301,11528,12291
Australia,201302,19100,17938
Australia,201304,12083,17771
Australia,201308,12459,18292
Australia,201310,11506,20052
Austria,201001,90034,308056
Austria,201002,12781,387599
Austria,201003,44894,170586
Austria,201004,191916,176031
Austria,201005,86515,64299
Austria,201006,20359,93620
Austria,201007,21650,40770
Austria,201008,478760,1200533
Austria,201009,164415,582649
Austria,201010,69076,191446
Austria,201011,4730,21611
Austria,201012,62295,499491
Austria,201101,265907,228783
Austria,201102,133207,169341
Austria,201103,47920,48944
Austria,201104,110769,210846
Austria,201105,161683,126668
Austria,201106,113492,244357
Austria,201107,111300,187471
Austria,201108,417737,1373090
Austria,201109,100641,361503
Austria,201110,228280,25082
Austria,201111,109309,208179
Austria,201112,100105,199054
Austria,201201,196444,608107
Austria,201202,71713,109633
Austria,201203,385600,494400
Austria,201204,385101,511624
Austria,201205,290763,388930
Austria,201206,83107,184015
Austria,201207,13727,93298
Austria,201208,107843,275076
Austria,201209,119736,451615
Austria,201210,64949,502391
Austria,201211,237191,728574
Austria,201212,112994,1110739
Austria,201301,124403,1161136
Austria,201302,99870,613412
Austria,201303,148143,157331
Austria,201304,107747,136343
Austria,201305,95298,124731
Austria,201306,81713,173989
Austria,201307,175726,253492
Austria,201308,206358,834380
Austria,201309,187531,248782
Austria,201310,92941,79182
Austria,201311,53297,54847
Azerbaijan,201001,89,77023
Bahrain,201202,1,238
Belarus,201104,122,156931
Belarus,201106,1707,101900
Belarus,201201,340,1291
Belgium,201002,163,8073
Belgium,201003,22,7406
Belgium,201005,2,126
Belgium,201006,5976,21970
Belgium,201007,2253,6222
Belgium,201009,449,49385
Belgium,201010,92,6811
Belgium,201011,89560,96307
Belgium,201012,4970,24858
Belgium,201102,45993,161369
Belgium,201103,17805,61246
Belgium,201107,25652,220705
Belgium,201108,2181,7250
Belgium,201109,3036579,59902
Belgium,201110,103,2125
Belgium,201201,280,132
Belgium,201203,660,8990
Belgium,201205,75563,147130
Belgium,201206,321,25701
Belgium,201207,8,335
Belgium,201208,4,1029
Belgium,201209,176,18874
Belgium,201211,4762,19624
Belgium,201212,21,2797
Belgium,201301,6251,23639
Belgium,201302,2530,27619
Belgium,201303,46259,63596
Belgium,201304,24950,137174
Belgium,201305,45980,55308
Belgium,201307,793668,54324
Belgium,201308,1352683,41441
Belgium,201309,45641,66696
Belgium,201310,480,268765
Belgium,201311,250,1918
Bosnia Herzegovina,201001,3571300,1198573
Bosnia Herzegovina,201002,1649907,1749499
Bosnia Herzegovina,201003,1600715,3701723
Bosnia Herzegovina,201004,2030235,1812651
Bosnia Herzegovina,201005,3113164,2240449
Bosnia Herzegovina,201006,4632436,2172077
Bosnia Herzegovina,201007,9041391,3320432
Bosnia Herzegovina,201008,3928257,2576944
Bosnia Herzegovina,201009,2570862,2320203
Bosnia Herzegovina,201010,3456146,2741394
Bosnia Herzegovina,201011,5890282,3385085
Bosnia Herzegovina,201012,17022440,4662276
Bosnia Herzegovina,201101,11989545,2163623
Bosnia Herzegovina,201102,2291877,1792367
Bosnia Herzegovina,201103,3610852,1747771
Bosnia Herzegovina,201104,2594934,2286781
Bosnia Herzegovina,201105,3403517,2335102
Bosnia Herzegovina,201106,4451022,2333904
Bosnia Herzegovina,201107,7389636,3726903
Bosnia Herzegovina,201108,3855768,2449205
Bosnia Herzegovina,201109,3577488,2269112
Bosnia Herzegovina,201110,2506064,2325620
Bosnia Herzegovina,201111,3534188,2504697
Bosnia Herzegovina,201112,3579340,5114092
Bosnia Herzegovina,201201,1542641,3088495
Bosnia Herzegovina,201202,878422,1971799
Bosnia Herzegovina,201203,1741793,2956596
Bosnia Herzegovina,201204,1457642,2157071
Bosnia Herzegovina,201205,2516751,3107868
Bosnia Herzegovina,201206,9924836,3103904
Bosnia Herzegovina,201207,6675246,2583683
Bosnia Herzegovina,201208,2752960,2574342
Bosnia Herzegovina,201209,2373250,2598303
Bosnia Herzegovina,201210,2990207,3300743
Bosnia Herzegovina,201211,2510238,3127735
Bosnia Herzegovina,201212,4327183,4669027
Bosnia Herzegovina,201301,2032002,944853
Bosnia Herzegovina,201302,935925,1049683
Bosnia Herzegovina,201303,1670039,1490230
Bosnia Herzegovina,201304,3047233,1507829
Bosnia Herzegovina,201305,1409609,1634433
Bosnia Herzegovina,201306,1720688,1996284
Bosnia Herzegovina,201307,2423727,2087152
