partner_country,period,net_weight,usd_value
Algeria,201001,9139029,9545329
Argentina,201001,45873885,3993656
Australia,201001,230098,458989
Austria,201001,19611341,5794155
Bahrain,201001,49925,161657
Belgium,201001,29106637,20860986
Bolivia (Plurinational State of),201001,17500,64146
Brazil,201001,164208879,40260771
Bulgaria,201001,26030,19881
Burkina Faso,201001,273387,1241368
Burundi,201001,75790,551138
Cameroon,201001,10425076,3971023
Canada,201001,8173468,11084826
Central African Rep.,201001,7,14
Chile,201001,20379,36389
China,201001,77384001,27385953
"China, Hong Kong SAR",201001,29449,711372
Colombia,201001,11880340,1177906
Croatia,201001,28426,90607
Cyprus,201001,50023735,37267861
Czech Rep.,201001,37533,156044
Denmark,201001,18630,224825
Dominican Rep.,201001,143269,100959
Egypt,201001,2794535,3279631
Estonia,201001,27120,28456
Ethiopia,201001,20463,77305
Finland,201001,3208304,4399940
France,201001,102384685,289260424
Germany,201001,45330709,35126036
Greece,201001,333232,1965041
Hungary,201001,81176,143535
Iceland,201001,111100,200635
India,201001,273394956,96055781
Indonesia,201001,36682300,18888479
Ireland,201001,49745,899035
Italy,201001,32689920,56963558
Japan,201001,3592737,17886481
Jordan,201001,862009,3090342
Kenya,201001,74770,71979
Latvia,201001,1016870,1023832
Lithuania,201001,49197194,4630903
Luxembourg,201001,7859,34730
Madagascar,201001,50407,61005
Malaysia,201001,282232,438452
Mali,201001,391093,1805193
Malta,201001,505100,228703
Mauritius,201001,81452,204225
Mexico,201001,44571658,4161504
Montenegro,201001,40029,158924
Namibia,201001,104000,50189
Netherlands,201001,51292503,34834554
New Caledonia,201001,39687,127797
New Zealand,201001,73012280,12674534
Nigeria,201001,1372742,2413880
Norway,201001,14941634,1765898
Pakistan,201001,17366438,9278323
Panama,201001,16435,160007
Paraguay,201001,630,10056
Peru,201001,38971410,4503736
Philippines,201001,140101,96730
Poland,201001,474368,1734540
Portugal,201001,10039041,14719313
Rep. of Korea,201001,698503,3705117
Romania,201001,29503701,2749140
Russian Federation,201001,24116308,20753441
Senegal,201001,3039121,7707898
Singapore,201001,119647,19244410
Slovakia,201001,136510,1776890
Slovenia,201001,533434,913772
South Africa,201001,353244,683042
Spain,201001,147554077,188334342
Sri Lanka,201001,6,748
Sweden,201001,38827,376663
Switzerland,201001,3804269,23243357
TFYR of Macedonia,201001,15937,54637
Thailand,201001,509246,1556020
Togo,201001,686140,1833452
Turkey,201001,51250075,27323693
Ukraine,201001,10,1236
United Kingdom,201001,27973997,41000877
United Rep. of Tanzania,201001,40000,99920
Uruguay,201001,1,2
USA,201001,152967994,40666106
Zambia,201001,1600,12627
