partner_country,period,net_weight,usd_value
Albania,201009,2832269,1072
Albania,201012,182700,440435
Albania,201201,1,1942
Albania,201206,1564,31456
Antigua and Barbuda,201003,580,86313
Antigua and Barbuda,201006,2818,3930674
Antigua and Barbuda,201103,239987,88000
Antigua and Barbuda,201105,400,23000
Antigua and Barbuda,201110,66000,12000
Antigua and Barbuda,201111,114551,1086000
Antigua and Barbuda,201112,95000,52000
Argentina,201001,1048,865804
Argentina,201004,1,466
Argentina,201009,2832269,1956937
Argentina,201012,182700,440435
Argentina,201111,52073,214000
Argentina,201201,354083,1475543
Argentina,201202,388527,1903588
Argentina,201206,374220,1703662
Argentina,201212,1448639,7188277
Argentina,201301,108600,1086700
Australia,201002,2568725,3119
Australia,201003,580,979
Australia,201004,1,35
Australia,201005,5300,4725
Australia,201007,3349,3535
Australia,201008,66,2524613
Australia,201009,2832269,136603
Australia,201010,45390,371462
Australia,201011,39325,553
Australia,201102,18214,53000
Australia,201104,377470,53000
Australia,201105,468000,69000
Australia,201108,21945,67000
Australia,201110,30012,21000
Australia,201201,10914,7822
Australia,201203,8882,43319
Australia,201211,9600,49276
Australia,201303,7535,17707322
Australia,201306,110,43983
Austria,201007,3349,5179
Austria,201105,360,3000
Austria,201202,252,3353
Austria,201206,707,25030
Austria,201211,5522,20484
Austria,201306,398,39999
Azerbaijan,201007,3349,8822
Bahrain,201201,33531,56667
Bahrain,201211,666004,683742
Bahrain,201302,969404,948952
Bahrain,201305,16800,16139
Belarus,201009,2832269,132271
Belarus,201109,853,3000
Belgium,201001,1048,1028798
Belgium,201002,2568725,152766
Belgium,201003,580,218
Belgium,201004,1,13669
Belgium,201005,5300,40049
Belgium,201006,2818,181
Belgium,201008,66,3976993
Belgium,201009,2832269,19015
Belgium,201010,45390,18021
Belgium,201011,39325,4120813
Belgium,201101,162667,120000
Belgium,201102,75840,28000
Belgium,201103,400,31000
Belgium,201104,25482,18000
Belgium,201105,400,32000
Belgium,201107,116637,397000
Belgium,201108,1854923,5608000
Belgium,201109,428106,1386000
Belgium,201110,324427,1059000
Belgium,201111,1166091,4624000
Belgium,201112,1319275,4313000
Belgium,201201,2233655,7948038
Belgium,201202,663908,1420409
Belgium,201203,44067,363374
Belgium,201205,178200,585065
Belgium,201206,3412,55206
Belgium,201207,703997,2550711
Belgium,201208,1881968,9808364
Belgium,201209,157774,478227
Belgium,201210,308745,1265881
Belgium,201211,1860358,9788675
Belgium,201212,136281,576025
Belgium,201301,482857,2941180
Belgium,201302,16211,39134
Belgium,201303,101348,231919
Belgium,201305,855360,3655674
Belgium,201306,785902,3416048
Bosnia Herzegovina,201211,787572,869765
Brazil,201001,1048,1613378
Brazil,201006,2818,46583
Brazil,201009,2832269,4269
Brazil,201102,58474,397000
Brazil,201103,19000,19000
Brazil,201104,145026,535000
Brazil,201105,225000,19000
Brazil,201106,90000,8000
Brazil,201107,169629,572000
