partner_country,period,net_weight,usd_value
Antigua and Barbuda,201001,69479,18527
Antigua and Barbuda,201002,20000,2609
Argentina,201001,640,4257
Austria,201001,1153,76054
Austria,201002,4101,190565
Austria,201003,3264,120944
Bahrain,201002,20000,2609
Belgium,201001,3296,3878959
Belgium,201002,392930,3851425
Belgium,201003,590,4985702
Bosnia Herzegovina,201001,220,157
Brazil,201001,15,7
Bulgaria,201001,13,7
Bulgaria,201002,68,11145
Bulgaria,201003,28,1738
Cameroon,201001,66200,23461
Cameroon,201002,15212348,514409
Cameroon,201003,298517,46096
Canada,201001,72946,166124
Canada,201002,564721,51356506
Canada,201003,1125185,17479582
China,201001,8380740,6297819
China,201002,12812854,2051172
China,201003,16162523,7872277
"China, Hong Kong SAR",201001,3642,64725
"China, Hong Kong SAR",201002,127722,175597
"China, Hong Kong SAR",201003,89522,260777
Colombia,201002,45000,2609
Colombia,201003,300000,2699
Croatia,201001,46,674
Croatia,201002,77,911
Croatia,201003,303,5812
Cyprus,201001,20000,2609
Cyprus,201002,45000,5218
Czech Rep.,201001,40,693
Czech Rep.,201002,204,3905
Czech Rep.,201003,479,7691
Denmark,201001,21949,10708
Denmark,201002,4698,21928
Denmark,201003,30694,124151
Egypt,201002,225,613
Egypt,201003,201,135
Estonia,201001,259,1079
Ethiopia,201001,1,10
Ethiopia,201003,1,92
Finland,201001,232,2213
Finland,201002,1638,2882
Finland,201003,223,1657
France,201001,4296212,44703241
France,201002,709602,37276921
France,201003,171113,704411
Georgia,201001,7,123
Germany,201001,6908168,2200774
Germany,201002,412760,1631220
Germany,201003,18719484,20682194
Greece,201001,946,1016
Greece,201002,223956,106127
Greece,201003,43883,23915
Hungary,201001,723,8142
Hungary,201002,265,1984
Hungary,201003,374,3293
Iceland,201001,4,490
Iceland,201002,32,740
Iceland,201003,7,660
India,201001,446898,127675
India,201002,902003,298606
India,201003,543087,242372
Indonesia,201002,473475,148209
Ireland,201001,4,127
Ireland,201002,2,62
Ireland,201003,4,1711
Israel,201002,95103,232252
Israel,201003,18,20065424
Italy,201001,3030614,3860694
Italy,201002,14327268,23265008
Italy,201003,6281168,17870591
Japan,201001,82562,192168
Japan,201002,1299113,6876911
Japan,201003,1257724,6586393
Kazakhstan,201003,150,10060
Kenya,201001,370,28239
Kenya,201002,290195,139473
Kenya,201003,2092,17818
Lithuania,201001,260028,61107
Lithuania,201002,4323,51055
Lithuania,201003,96587,131932
Luxembourg,201002,24,1360
Malaysia,201001,8166864,19583402
Malaysia,201002,128568,50462
Malaysia,201003,353887,113805
Mali,201003,1,13
Malta,201002,1621,5271
Malta,201003,40000,2699
Mauritius,201001,15409,28406
Mauritius,201002,98182,79907
Mauritius,201003,60632,111987
Mexico,201001,51,2009
Mexico,201002,8770,9390
Mexico,201003,374,26823
Morocco,201001,6,473566
Mozambique,201001,3055380,2575551
Mozambique,201002,413536,391847
Mozambique,201003,143100,139023
Netherlands,201001,1515165,6311897
Netherlands,201002,440478,1101363
Netherlands,201003,7415413,17824663
New Zealand,201003,137,6873
Nigeria,201001,26276877,535851
Nigeria,201002,11639696,308791
Nigeria,201003,26223434,581239
Norway,201001,46092,206373
Norway,201002,64304,537831
Norway,201003,170127,787333
Pakistan,201001,19,65
Pakistan,201003,44453,33390
Panama,201001,236855,75776
Panama,201002,80801,92368
Panama,201003,16900,344257
Paraguay,201001,1416,6262
Philippines,201001,289103,278637
Philippines,201003,42018,5657
Poland,201001,741892,285133
Poland,201002,577248,261900
Poland,201003,471725,221791
Portugal,201001,686977,1707428
Portugal,201002,570951,2378063
Portugal,201003,974397,4636788
Rep. of Korea,201003,20686,11626
Romania,201001,51,1136
Romania,201002,1008,8756
Russian Federation,201001,354434,688771
Russian Federation,201002,22922,105138
Russian Federation,201003,25477,99257
Rwanda,201001,4,391
Rwanda,201002,4220,6653
Rwanda,201003,1,20
Senegal,201003,1,7
Singapore,201001,804,3635
Singapore,201002,8943,76719
Singapore,201003,954031,8155
Slovakia,201001,224,2763
Slovakia,201002,525,6461
Slovakia,201003,1,283
South Africa,201001,57793348,98622565
South Africa,201002,67798487,120938061
South Africa,201003,109994483,143891656
Spain,201001,4555241,16697434
Spain,201002,6575479,25470308
Spain,201003,5917963,26052410
Sri Lanka,201001,5,1
Sri Lanka,201002,1,1
Sweden,201001,24,1885
Sweden,201002,3119,6640889
Sweden,201003,2919,14655
Switzerland,201001,152836,492126
Switzerland,201002,217355,743570
Switzerland,201003,76160,147064
Thailand,201001,5,6631
Thailand,201002,19,20
Thailand,201003,1965345,594693
Turkey,201002,14,31
Turkey,201003,39700,41411
Ukraine,201002,5061,5848
United Kingdom,201001,1557483,50777453
United Kingdom,201002,2217573,3307345
United Kingdom,201003,1656662,106067633
United Rep. of Tanzania,201001,54650,62757
United Rep. of Tanzania,201002,338,5036
United Rep. of Tanzania,201003,54759,75605
Uruguay,201001,125624,183779
Uruguay,201003,71286,294075
USA,201001,36819,1087810
USA,201002,33657,8948437
USA,201003,285800,15340214
Zambia,201001,1037011,1421325
Zambia,201002,994497,1308495
Zambia,201003,1260157,1948613
Zimbabwe,201001,428320,412006
Zimbabwe,201002,600991,667121
Zimbabwe,201003,771659,794316
