partner_country,period,net_weight,usd_value
Albania,201001,1531600,7928356
Albania,201002,1135900,6546757
Albania,201003,797400,5683937
Albania,201004,784700,6961105
Albania,201005,601700,3398646
Albania,201006,843800,5962555
Albania,201007,823600,8487497
Albania,201008,638600,4543601
Albania,201009,590600,3697189
Albania,201010,639100,5395044
Albania,201011,824400,4879101
Albania,201012,1073900,5383034
Albania,201101,1413600,4880858
Albania,201102,1285600,4121738
Albania,201103,1343400,4697972
Albania,201104,612200,2785345
Albania,201105,865100,4825199
Albania,201106,738200,4286990
Albania,201107,562400,3935204
Albania,201108,703700,3105458
Albania,201109,786800,4016217
Albania,201110,738700,3658656
Albania,201111,1079900,5066137
Albania,201112,934400,3253859
Albania,201201,1348800,3557233
Albania,201202,878200,2851369
Albania,201203,905700,3703081
Albania,201204,580600,2679427
Albania,201205,823500,3114644
Albania,201206,802200,6308149
Albania,201207,1114300,6362521
Albania,201208,726100,3349945
Albania,201209,853600,3626232
Albania,201210,760200,3764634
Albania,201211,1015000,3907994
Albania,201212,1132400,6119507
Albania,201301,1515700,3814695
Albania,201302,1148000,3448644
Albania,201303,978300,3382672
Albania,201304,1026500,4465131
Albania,201305,950400,5802501
Albania,201306,878400,5302179
Albania,201307,1336400,6743180
Albania,201308,1112000,3243723
Albania,201309,1080100,3343736
Albania,201310,1021800,4490263
Albania,201311,851100,3789314
Algeria,201001,28282600,39185846
Algeria,201002,20853300,54546127
Algeria,201003,19671100,43731799
Algeria,201004,9892900,33888178
Algeria,201005,10225600,32697540
Algeria,201006,9685000,43186776
Algeria,201007,9341400,61589964
Algeria,201008,9629500,32357916
Algeria,201009,36246300,49143221
Algeria,201010,6151700,26966818
Algeria,201011,68411400,79375939
Algeria,201012,55239400,71610254
Algeria,201101,23439500,51011309
Algeria,201102,8336700,27017023
Algeria,201103,12218200,46065610
Algeria,201104,11265000,57329372
Algeria,201105,13657600,51260822
Algeria,201106,11175100,39010641
Algeria,201107,38994300,65742190
Algeria,201108,12976100,55776521
Algeria,201109,28175100,57038527
Algeria,201110,15691900,40270285
Algeria,201111,72215500,91296532
Algeria,201112,68763700,82561804
Algeria,201201,49190900,55397325
Algeria,201202,10882300,48106682
Algeria,201203,41754100,81514354
Algeria,201204,39568600,82549981
Algeria,201205,9803900,60631149
Algeria,201206,56503300,83062710
Algeria,201207,18108800,54805375
Algeria,201208,21409200,49206740
Algeria,201209,25177800,59766374
Algeria,201210,126469900,163646100
Algeria,201211,64209800,94125248
Algeria,201212,136515500,145060646
Algeria,201301,130895100,163258614
Algeria,201302,77236100,119276179
Algeria,201303,72603300,119433693
Algeria,201304,52976400,110600902
Algeria,201305,145165200,180260742
Algeria,201306,177682700,209651653
Algeria,201307,24318300,77336208
Algeria,201308,44594100,100547197
Algeria,201309,49729300,104792589
Algeria,201310,102235200,153072215
Algeria,201311,75670900,111674058
Antigua and Barbuda,201001,4525900,3044578
Antigua and Barbuda,201002,147000,225710
Antigua and Barbuda,201003,128100,144490
Antigua and Barbuda,201004,81800,145384
Antigua and Barbuda,201005,143700,168164
Antigua and Barbuda,201006,253000,387318
Antigua and Barbuda,201007,192400,274348
Antigua and Barbuda,201008,166900,235639
Antigua and Barbuda,201009,181600,332924
Antigua and Barbuda,201010,137900,185887
Antigua and Barbuda,201011,175000,346949
Antigua and Barbuda,201012,109200,195461
Antigua and Barbuda,201101,177500,353318
Antigua and Barbuda,201102,108700,282154
Antigua and Barbuda,201103,135600,316757
Antigua and Barbuda,201104,133300,257733
Antigua and Barbuda,201105,145700,256724
Antigua and Barbuda,201106,170900,239646
Antigua and Barbuda,201107,199400,725582
Antigua and Barbuda,201108,131200,258833
Antigua and Barbuda,201109,147900,483404
Antigua and Barbuda,201110,184400,272914
Antigua and Barbuda,201111,138500,424532
Antigua and Barbuda,201112,160500,257464
