partner_country,period,net_weight,usd_value
Antigua and Barbuda,201108,229,1688
Australia,201001,631283181,10092980
Australia,201002,54652071,2704518
Australia,201003,160117379,7165833
Australia,201004,189193447,7747845
Australia,201005,144949395,10055734
Australia,201006,149443775,7065734
Australia,201007,177854841,9289528
Australia,201008,208854849,10193425
Australia,201009,248162796,14862430
Australia,201010,265415881,16693264
Australia,201011,296395689,16729740
Australia,201012,206453981,14953365
Australia,201101,563267,2911166
Australia,201102,94566698,8583792
Australia,201103,195371315,12295862
Australia,201104,172816245,27577048
Australia,201105,208886922,24552073
Australia,201106,215698819,15985882
Australia,201107,352184589,13413843
Australia,201108,225791550,12139767
Australia,201109,227322823,32717119
Australia,201110,256208350,18927008
Australia,201111,270768605,15437857
Australia,201112,33446957,13491255
Australia,201201,59141976,18265012
Australia,201202,150530075,23349296
Australia,201203,205925997,16784489
Australia,201204,107041704,4228554
Australia,201205,142366886,11270737
Australia,201206,135337807,10124067
Australia,201207,222991342,7868755
Australia,201208,231382817,11937847
Australia,201209,109245,880215
Australia,201210,222531698,8971049
Australia,201211,114395448,8430877
Australia,201212,71518410,5259332
Australia,201301,109175971,4839308
Australia,201302,112718066,17372752
Australia,201303,5226100,14469410
Australia,201304,205375286,18342532
Australia,201305,213143179,16183397
Austria,201001,72,4508
Austria,201006,1,314
Austria,201207,1,1853
Austria,201305,9,334
Bahrain,201011,29,4547
Belgium,201001,446355,2018280
Belgium,201002,430529,2235816
Belgium,201003,1508082,7424314
Belgium,201004,1298820,6713837
Belgium,201005,1049522,5119173
Belgium,201006,1299810,5816386
Belgium,201007,1674216,7322449
Belgium,201008,845304,4478695
Belgium,201009,875002,4360148
Belgium,201010,860990,4686698
Belgium,201012,2104030,10617429
Belgium,201101,1287680,6896577
Belgium,201102,793499,4730782
Belgium,201103,1681160,9054870
Belgium,201104,303310,1677060
Belgium,201105,1691385,9178607
Belgium,201106,1359801,6922955
Belgium,201107,1600812,8014954
Belgium,201108,1256000,6273878
Belgium,201109,789200,3372999
Belgium,201110,1726200,6835530
Belgium,201111,1074154,4478112
Belgium,201112,626840,2720494
Belgium,201201,1619626,5750924
Belgium,201202,1669550,7485309
Belgium,201203,1411747,6321135
Belgium,201204,848190,3638036
Belgium,201205,1120119,4142478
Belgium,201206,1254205,3712827
Belgium,201207,1547140,5517666
Belgium,201208,1544520,5697674
Belgium,201209,1290740,4184730
Belgium,201210,647498,2220667
Belgium,201211,627770,2200837
Belgium,201212,1545873,5318434
Belgium,201301,1312110,4551086
Belgium,201302,2145900,8284017
Belgium,201303,2177290,7951642
Belgium,201304,1912347,7738803
Belgium,201305,1625452,5769210
Brazil,201107,618491,1833888
Brazil,201205,12,556
Brazil,201206,32,271
Brazil,201210,350,14305
Brunei Darussalam,201204,2600,45052
Cameroon,201203,1200,2723
Cameroon,201305,4,121
Canada,201002,12,12
Canada,201003,3,1387
Canada,201005,5800,152096
Canada,201007,1106,43704
Canada,201009,2020,34651
Canada,201010,17,1087
Canada,201011,22,6
Canada,201012,5834,80876
Canada,201101,52,1634
Canada,201103,96,4145
Canada,201104,25,1799
Canada,201105,25563,1559
Canada,201106,2,24
Canada,201107,31,20017
Canada,201108,1,1527
Canada,201109,1,475
Canada,201201,2220,56639
Canada,201202,192,5300
Canada,201203,1500,28695
Canada,201204,3474,60415
Canada,201205,6205,74346
Canada,201206,1400,50489
Canada,201207,2013,61516
Canada,201209,16,1185
Canada,201210,3448,79053
Canada,201211,8000,315
Canada,201301,3100,52856
Canada,201302,4110,95124
Canada,201303,2900,48992
Canada,201305,1457,32829
Chile,201210,4,1950
Chile,201212,2499,36649
China,201001,1351461,5892929
China,201002,439811,2245554
China,201003,1728692,8647052
China,201004,3047660,15722391
China,201005,1307029,6235062
China,201006,2209031,9814230
China,201007,27,378
China,201008,447590,2017909
China,201009,37018,185042
China,201011,458040,2176978
China,201012,481959,2864213
China,201101,522900,2682395
China,201102,42943,187979
China,201103,18041,89402
China,201104,808794,4994933
China,201105,1348048,7280200
China,201106,1785830,8953124
China,201107,919963,4406264
China,201108,1317859,6810315
China,201109,2933737,13454079
China,201110,3587692,15891281
China,201111,73096679,19071193
China,201112,2797158,13977301
China,201201,4164909,19747695
China,201202,2002389,8681640
China,201203,3192975,26626174
China,201204,2075415,13231421
China,201205,1711697,7011386
China,201206,896222,6883083
China,201207,2387879,8248834
China,201208,2397513,6999211
China,201209,2284082,7802256
China,201210,2430087,6518425
China,201211,2268834,7375159
China,201212,3579102,21943068
China,201301,1490747,16064741
China,201302,1098969,11423746
China,201303,1218988,14140719
China,201304,573559,3497747
China,201305,290941,310884
"China, Hong Kong SAR",201001,19283,221206
"China, Hong Kong SAR",201002,5355,195676
"China, Hong Kong SAR",201003,1196,83865
"China, Hong Kong SAR",201004,3216,188727
"China, Hong Kong SAR",201005,33312,185846
"China, Hong Kong SAR",201006,8800,125727
"China, Hong Kong SAR",201007,4183,304341
"China, Hong Kong SAR",201008,2174,171410
"China, Hong Kong SAR",201009,4461,378226
"China, Hong Kong SAR",201010,3191,279135
"China, Hong Kong SAR",201011,30859,316340
"China, Hong Kong SAR",201012,1544,133272
"China, Hong Kong SAR",201101,3321,282835
"China, Hong Kong SAR",201102,24217,39630
"China, Hong Kong SAR",201103,2027,181059
"China, Hong Kong SAR",201104,71997,653640
"China, Hong Kong SAR",201105,30319,389989
"China, Hong Kong SAR",201106,26790,493576
"China, Hong Kong SAR",201107,26858,571939
"China, Hong Kong SAR",201108,5281,422904
"China, Hong Kong SAR",201109,31621,371254
"China, Hong Kong SAR",201110,3537,339037
"China, Hong Kong SAR",201111,1673,217854
"China, Hong Kong SAR",201112,18606,189734
"China, Hong Kong SAR",201201,1678,174743
"China, Hong Kong SAR",201202,3488,327537
"China, Hong Kong SAR",201203,24885,281676
"China, Hong Kong SAR",201204,838,84202
"China, Hong Kong SAR",201205,45846,449573
"China, Hong Kong SAR",201206,127867,819808
"China, Hong Kong SAR",201207,2210,225361
"China, Hong Kong SAR",201208,1506,128291
"China, Hong Kong SAR",201209,2339,300453
"China, Hong Kong SAR",201210,28954,87874
"China, Hong Kong SAR",201211,2451,214804
"China, Hong Kong SAR",201212,1026,73166
"China, Hong Kong SAR",201301,1419,123794
"China, Hong Kong SAR",201302,77893,591925
"China, Hong Kong SAR",201303,119748,453989
"China, Hong Kong SAR",201304,25429,256878
"China, Hong Kong SAR",201305,80955,642216
Czech Rep.,201202,2,530
Denmark,201009,200,2187
Denmark,201011,603,7751
Denmark,201012,397,5514
Denmark,201107,21,5618
Finland,201012,1,606
Finland,201101,1,658
Finland,201112,5,2665
Finland,201204,227,522
