partner_country,period,net_weight,usd_value
Albania,201001,24002,85725
Albania,201002,50187,155597
Albania,201003,72108,231437
Albania,201004,48004,140632
Albania,201005,117673,345367
Albania,201006,43031,128424
Albania,201007,76465,271712
Albania,201009,552434,11920
Albania,201010,61000,111969
Albania,201011,10780,95330
Albania,201012,64504,200933
Albania,201101,97314,437486
Albania,201102,65320,302375
Albania,201103,12355,53399
Albania,201104,54513,291809
Albania,201105,61570,207721
Albania,201106,63462,194205
Albania,201107,25148,127751
Albania,201108,49966,243114
Albania,201109,75929,353555
Albania,201111,45535,144968
Albania,201202,25056,109208
Albania,201204,10,2257
Albania,201210,25024,84250
Albania,201211,25305,125862
Albania,201212,24561,84340
Albania,201303,24481,84187
Albania,201305,24451,82035
Albania,201307,11,1922
Albania,201310,48936,154677
Algeria,201001,5846525,16284772
Algeria,201002,4962775,13514122
Algeria,201003,8013600,23756158
Algeria,201004,4589168,12764537
Algeria,201005,5050515,13867257
Algeria,201006,2007347,7474741
Algeria,201007,2692185,8699216
Algeria,201008,1903575,6797355
Algeria,201009,1591625,6209668
Algeria,201010,6777635,23588977
Algeria,201011,3612991,13306556
Algeria,201012,6214625,21540814
Algeria,201101,8218832,29617888
Algeria,201102,6608846,23168890
Algeria,201103,9888014,36418007
Algeria,201104,18787082,83017745
Algeria,201105,8895651,41012488
Algeria,201106,6271467,30329033
Algeria,201107,4830622,20997405
Algeria,201108,913476,3582523
Algeria,201109,2420686,10442125
Algeria,201110,4623020,18877050
Algeria,201111,12450703,44598838
Algeria,201112,13677912,49131034
Algeria,201201,6015097,22661878
Algeria,201202,4239299,15860075
Algeria,201203,11357187,41887544
Algeria,201204,5062811,18578838
Algeria,201205,6600158,21021697
Algeria,201206,6012463,20162177
Algeria,201207,19829204,58344443
Algeria,201208,2717125,7018268
Algeria,201209,2336666,6446898
Algeria,201210,5599435,16375574
Algeria,201211,11867759,37459784
Algeria,201212,23374392,79376178
Algeria,201301,14144014,49353935
Algeria,201302,6779008,22104905
Algeria,201303,6530698,20850298
Algeria,201304,9581948,32770652
Algeria,201305,5553142,19166033
Algeria,201306,2971336,9800732
Algeria,201307,4069202,17168071
Algeria,201308,1190250,3096087
Algeria,201309,1179961,4425726
Algeria,201310,5274867,25336419
Algeria,201311,4789690,22658040
Algeria,201312,3253996,14861745
Antigua and Barbuda,201001,1130064,9939
Antigua and Barbuda,201002,40322,203169
Antigua and Barbuda,201003,13531,147276
Antigua and Barbuda,201004,53,3088
Antigua and Barbuda,201005,801177,4782
Antigua and Barbuda,201006,14198,93585
Antigua and Barbuda,201007,12195,64209
Antigua and Barbuda,201008,875238,1376
Antigua and Barbuda,201009,14148,93726
Antigua and Barbuda,201010,12418,65089
Antigua and Barbuda,201011,657006,149949
Antigua and Barbuda,201012,14214,405960
Antigua and Barbuda,201101,4450,708589
Antigua and Barbuda,201102,1918,463225
Antigua and Barbuda,201103,1174,150659
Antigua and Barbuda,201104,12559,68004
Antigua and Barbuda,201105,11293,68797
Antigua and Barbuda,201106,14379,76968
Antigua and Barbuda,201107,4,1124
Antigua and Barbuda,201109,14185,77630
Antigua and Barbuda,201110,85,3162
Antigua and Barbuda,201111,25590,143881
Antigua and Barbuda,201112,207,17438
Antigua and Barbuda,201201,13,4203
Antigua and Barbuda,201202,12301,212961
Antigua and Barbuda,201203,16245,117673
Antigua and Barbuda,201204,221,9741
Antigua and Barbuda,201205,14703,74921
Antigua and Barbuda,201206,260,11453
Antigua and Barbuda,201208,20,6708
Antigua and Barbuda,201209,6,2931
Antigua and Barbuda,201210,16697,116098
Antigua and Barbuda,201211,13690,75120
Antigua and Barbuda,201212,600,142088
Antigua and Barbuda,201301,239,24776
Antigua and Barbuda,201302,1307,361494
Antigua and Barbuda,201303,292,32268
Antigua and Barbuda,201304,14414,96239
Antigua and Barbuda,201305,16316,95642
Antigua and Barbuda,201306,9,4326
Antigua and Barbuda,201307,15129,82282
Antigua and Barbuda,201309,17,8791
Antigua and Barbuda,201310,31381,178571
Antigua and Barbuda,201311,13,3659
Antigua and Barbuda,201312,25,10245
Argentina,201001,25201,443891
Argentina,201002,89128,710121
Argentina,201003,46095,546910
Argentina,201004,167,657916
Argentina,201005,40513,3376129
Argentina,201006,323746,1944862
Argentina,201007,53174,1017189
Argentina,201008,96668,1392988
Argentina,201009,24087,1690636
Argentina,201010,266330,1506988
Argentina,201011,69436,800217
Argentina,201012,139329,1613257
Argentina,201101,146368,492115
Argentina,201102,187196,642037
Argentina,201103,138891,952624
Argentina,201104,214239,3483661
Argentina,201105,212346,864987
Argentina,201106,474982,1364897
Argentina,201107,369304,1397863
Argentina,201108,232646,3056096
Argentina,201109,470751,1896630
Argentina,201110,175527,2225195
Argentina,201111,203604,1608751
Argentina,201112,393507,1747242
Argentina,201201,365703,1645493
Argentina,201202,94855,435870
