partner_country,period,net_weight,usd_value
Antigua and Barbuda,201005,4339,6036
Antigua and Barbuda,201010,7351,9826
Antigua and Barbuda,201101,280,4398
Antigua and Barbuda,201103,7661,11226
Antigua and Barbuda,201109,7928,13011
Antigua and Barbuda,201304,7623,10876
Antigua and Barbuda,201305,90,280
Antigua and Barbuda,201306,125,132
Argentina,201003,214,1000
Argentina,201005,128,1333
Argentina,201007,8,105
Argentina,201008,40,321
Argentina,201009,198,743
Argentina,201010,8,709
Argentina,201011,275,1113
Argentina,201012,5430,2839
Argentina,201102,428,1375
Argentina,201108,747,14126
Argentina,201109,26,370
Argentina,201110,610,30000
Argentina,201111,13,60
Argentina,201112,389,13773
Argentina,201304,3761,17825
Argentina,201306,57,200
Aruba,201101,6,315
Aruba,201104,8058,11941
Aruba,201107,42078,44708
Aruba,201108,7581,10604
Aruba,201111,15186,23130
Aruba,201302,8234,15881
Australia,201001,230773,401860
Australia,201002,183095,500806
Australia,201003,421750,849086
Australia,201004,286970,771718
Australia,201005,122286,329676
Australia,201007,213769,533848
Australia,201008,152553,382795
Australia,201009,499310,713012
Australia,201010,434555,581461
Australia,201011,439735,681649
Australia,201012,195504,281347
Australia,201101,86443,313258
Australia,201102,210219,522258
Australia,201103,486214,1107254
Australia,201104,346982,653511
Australia,201105,129284,268302
Australia,201106,296753,723672
Australia,201107,236786,548513
Australia,201108,229513,600519
Australia,201109,302384,665099
Australia,201110,220036,310719
Australia,201111,105875,353599
Australia,201112,438306,906270
Australia,201301,507676,1126899
Australia,201302,320634,932806
Australia,201303,304272,856030
Australia,201304,249298,715063
Australia,201305,643067,1543454
Australia,201306,417580,987128
Austria,201001,252,730
Austria,201002,381,3360
Austria,201003,822,6161
Austria,201007,84,741
Austria,201008,1359,2417
Austria,201010,11483,47499
Austria,201101,804,5967
Austria,201106,19572,144635
Austria,201107,10,600
Austria,201108,453,2025
Austria,201110,14828,62994
Austria,201112,4025,5575
Austria,201302,8,1893
Austria,201303,658,6055
Austria,201305,38203,174570
Austria,201306,19794,88343
Azerbaijan,201005,9638,1899
Barbados,201001,7364,9111
Barbados,201004,9,360
Barbados,201007,7438,10253
Barbados,201011,18068,27788
Barbados,201012,35949,54503
Barbados,201104,6573,10000
Barbados,201107,7438,10422
Barbados,201108,7438,10433
Barbados,201111,15248,28175
Belgium,201001,535368,1685682
Belgium,201002,1318725,4229559
Belgium,201003,963286,2855115
Belgium,201004,925243,2929765
Belgium,201005,618599,2205217
Belgium,201007,486363,1609919
Belgium,201008,182567,458936
Belgium,201009,158319,408162
Belgium,201010,246952,757375
Belgium,201011,147140,485465
Belgium,201012,506401,2121003
Belgium,201101,730364,3177461
Belgium,201102,1017583,4762100
Belgium,201103,806764,3996710
Belgium,201104,892879,4858775
Belgium,201105,1025900,5887232
Belgium,201106,366232,2086986
Belgium,201107,624616,3051595
Belgium,201108,436372,1579401
Belgium,201109,52469,345519
Belgium,201110,481396,1703531
Belgium,201111,182565,698574
Belgium,201112,446626,1986411
Belgium,201301,1000356,3086145
Belgium,201302,551902,1895324
Belgium,201303,443823,1693320
Belgium,201304,779834,2819135
Belgium,201305,475758,1827728
Belgium,201306,345926,1203876
Bolivia (Plurinational State of),201001,48,201
Bolivia (Plurinational State of),201002,27000,24900
Bolivia (Plurinational State of),201003,20161,35785
Bolivia (Plurinational State of),201004,18840,36568
Bolivia (Plurinational State of),201005,77087,112652
Bolivia (Plurinational State of),201007,78293,122528
Bolivia (Plurinational State of),201008,64,250
Bolivia (Plurinational State of),201009,18396,22090
Bolivia (Plurinational State of),201010,15,7137
Bolivia (Plurinational State of),201011,16736,23544
Bolivia (Plurinational State of),201012,38533,46777
Bolivia (Plurinational State of),201105,1580,7500
Bolivia (Plurinational State of),201107,60546,56434
Bolivia (Plurinational State of),201108,1682,1955
Bolivia (Plurinational State of),201109,33127,69610
Bolivia (Plurinational State of),201110,17680,17942
Bolivia (Plurinational State of),201112,49561,49583
Bolivia (Plurinational State of),201304,20150,140000
Bosnia Herzegovina,201112,420,350
Brazil,201001,306,9520
Brazil,201002,131,1888
Brazil,201003,697,2000
Brazil,201004,624,22602
Brazil,201005,392,2775
Brazil,201007,532,1000
Brazil,201008,587,4334
Brazil,201009,9695,56373
Brazil,201011,10663,82205
Brazil,201102,795,9255
Brazil,201103,409,7872
Brazil,201104,16910,26380
Brazil,201105,193663,276361
Brazil,201106,159356,233225
Brazil,201107,17182,33823
Brazil,201108,254881,357021
Brazil,201109,53193,155756
Brazil,201110,25,100
Brazil,201111,260490,375343
Brazil,201112,395,4481
Brazil,201301,20752,164693
Brazil,201302,690,25747
Brazil,201303,542,14645
Brazil,201304,981,38027
Brazil,201305,236,11063
Brazil,201306,1342,67015
Canada,201001,570168,6190754
Canada,201002,927219,8928788
Canada,201003,1019666,11369807
Canada,201004,804950,9495107
Canada,201005,1073669,10528739
Canada,201007,478503,12151254
Canada,201008,549762,14438669
Canada,201009,148166,13157658
Canada,201010,392028,14592662
Canada,201011,146783,21726904
Canada,201012,595356,20658195
Canada,201101,968150,20689268
Canada,201102,1134772,19089358
Canada,201103,30145027,33274031
Canada,201104,1146006,21152205
Canada,201105,793746,24929110
Canada,201106,586352,20243857
Canada,201107,477467,18759004
Canada,201108,484910,23191496
Canada,201109,138425,19764448
Canada,201110,145441,21355967
Canada,201111,157189,24894209
Canada,201112,465745,26019698
Canada,201301,1136559,24802049
Canada,201302,863439,24237418
Canada,201303,10712571,32358705
Canada,201304,776561,24205958
Canada,201305,952239,22234519
Canada,201306,667980,24935870
Chile,201001,6676,13367
Chile,201002,393733,637301
Chile,201003,38753,5134
Chile,201004,266543,370482
Chile,201005,177871,358639
Chile,201007,1014497,678959
Chile,201008,884711,993678
Chile,201009,1013060,467363
Chile,201010,715917,347872
Chile,201011,593810,670879
Chile,201012,960149,669322
Chile,201101,752134,347470
Chile,201102,2248445,1094076
Chile,201103,2634490,1542888
Chile,201104,1051825,494708
Chile,201105,5247,2000
Chile,201106,79382,106158
Chile,201107,2137057,1564132
Chile,201108,1375735,717103
Chile,201109,1003059,442093
Chile,201110,382698,230845
Chile,201111,1222675,651895
Chile,201112,1795604,1083133
Chile,201301,48564,83571
Chile,201302,1054484,1110576
Chile,201303,66640,104685
Chile,201304,121745,266656
Chile,201305,53845,86365
Chile,201306,518494,247972
China,201001,2606624,2090320
China,201002,999361,441038
China,201003,672209,254670
China,201004,894028,393428
China,201005,904619,524518
China,201007,1198155,618404
China,201008,902285,562859
China,201009,1274096,612507
China,201010,1193516,768003
China,201011,1507694,803427
China,201012,1615570,672066
China,201101,491132,169866
China,201102,1696648,625828
China,201103,1813098,811647
China,201104,1764651,793074
China,201105,3881783,3516914
China,201106,3644887,3742699
China,201107,2009612,829728
