partner_country,period,net_weight,usd_value
Algeria,201101,8735495,7320317
Algeria,201102,7512052,6575035
Algeria,201103,219700,1012849
Algeria,201105,449244,453677989
Algeria,201107,570100,979047094
Algeria,201108,1505200,361901632
Algeria,201109,4674188,803543185
Algeria,201110,2072878,331384483
Algeria,201111,14505798,92046677
Algeria,201112,7766566,27055389
Antigua and Barbuda,201105,6653587,358589449
Antigua and Barbuda,201111,19838623,79456311
Antigua and Barbuda,201112,989372057,59950046
Argentina,201101,8837245,3486516
Argentina,201102,219042,1084369
Argentina,201103,125000,480122
Argentina,201105,133600,224750
Argentina,201107,2026254,11241381
Argentina,201108,30000,16639
Argentina,201109,300754,1496397
Argentina,201110,523187,1296060
Argentina,201111,342049,2265633
Argentina,201112,244451,1230962
Australia,201101,1107653,5066103
Australia,201102,1389296,75929142
Australia,201103,515400,1046779
Australia,201105,703937,83742810
Australia,201107,117000,477256664
Australia,201108,1796300,314852939
Australia,201109,110421692,1581724520
Australia,201110,252686,329420820
Australia,201111,4954627,338490740
Australia,201112,1382096,428494025
Austria,201101,50452,121218
Austria,201102,292046,1251596
Austria,201103,431600,2617460
Austria,201105,17600,117375
Austria,201107,1293621,6263505
Austria,201109,51235,226350
Austria,201110,18391,305347
Austria,201111,262819,1826184
Austria,201112,808,8
Bahrain,201101,620700,993789
Bahrain,201102,7689550,2479736
Bahrain,201103,776000,2132673
Bahrain,201105,351600,524916
Bahrain,201107,227500,908980
Bahrain,201108,71400,128522
Bahrain,201109,13800,636667
Bahrain,201110,12,14563
Bahrain,201111,733548,4280933
Bahrain,201112,13047510,22380370
Barbados,201101,36965584,119116819
Barbados,201102,26270685,108506094
Barbados,201103,3417500,12937757
Barbados,201105,52797534,428988109
Barbados,201109,3724981,524306807
Barbados,201110,7280019,399180026
Barbados,201111,25751500,136435303
Barbados,201112,266865405,777742014
Belarus,201103,59200,92380
Belarus,201109,424,1983068
Belgium,201101,2487244,7455800
Belgium,201102,1783478,8922526
Belgium,201103,18841712,15631747
Belgium,201105,1369500,2512672
Belgium,201107,483500,1882172
Belgium,201108,21972400,121524816
Belgium,201109,1868841,7336499
Belgium,201110,4536678,18270754
Belgium,201111,6850382,26351013
Belgium,201112,7348650,64001131
Bolivia (Plurinational State of),201101,580685,2611927
Bolivia (Plurinational State of),201102,255196,811254
Bolivia (Plurinational State of),201103,362900,3927786
Bolivia (Plurinational State of),201107,98900,107958430
Bolivia (Plurinational State of),201108,712900,783568
Bolivia (Plurinational State of),201109,238107,105277498
Bolivia (Plurinational State of),201111,187082,4791603
Bolivia (Plurinational State of),201112,397874,2058692
Brazil,201101,3353151,591676088
Brazil,201102,2494011,599677728
Brazil,201103,2999600,413765566
Brazil,201105,2783905,647542250
Brazil,201107,1063700,514852364
Brazil,201108,3035600,612386995
Brazil,201109,2386255,2677040263
Brazil,201110,34959483,998598515
Brazil,201111,13316439,1360606059
Brazil,201112,7458190,680500513
Brunei Darussalam,201102,8360121,308338
Brunei Darussalam,201107,25000,18685
Brunei Darussalam,201109,29400,174363
Brunei Darussalam,201110,1000,26065
Brunei Darussalam,201112,2923,1008233
Bulgaria,201111,125466,867200
Burkina Faso,201101,738800,3077245
Burkina Faso,201102,970500,3569136
Burkina Faso,201103,514500,7967346
Burkina Faso,201105,72400,413898
Burkina Faso,201110,15000,97916
Burkina Faso,201111,210400,201878
Burkina Faso,201112,14200,78733
Cabo Verde,201112,25025,22160
Cameroon,201102,88000,147997444
Cameroon,201103,59200,48541242
Cameroon,201110,6866,68502509
Cameroon,201111,125466,132158855
Cameroon,201112,60401,9550593
Canada,201101,32500,233422769
Canada,201102,88000,286823061
Canada,201103,59200,317902246
Canada,201110,6866,442092007
Canada,201111,125466,192020018
Central African Rep.,201101,87900,431753
Central African Rep.,201102,41800,272029
Central African Rep.,201103,66200,1320071
Central African Rep.,201105,22400,173751
Central African Rep.,201107,1483200,3986505
Central African Rep.,201108,178000,997711
Central African Rep.,201109,1700800,14203483
Central African Rep.,201110,203600,1338821
Central African Rep.,201111,184300,1111744
Central African Rep.,201112,124600,703721
Chile,201111,2700832,18777759
Chile,201112,735782,5315446
China,201101,76480358,201740322
China,201102,12130064,211098487
China,201103,216800,2521841
China,201105,11280408,30868051
China,201107,1112500,2521868
China,201108,1904761,6235683
China,201109,1890802,650150023
China,201110,8143802,875587517
China,201111,155298750,23581377
China,201112,5869941,184182381
"China, Hong Kong SAR",201101,73854,6113674
"China, Hong Kong SAR",201102,41483,3825921
"China, Hong Kong SAR",201103,223800,853124
"China, Hong Kong SAR",201105,499840,12094911
"China, Hong Kong SAR",201107,1324700,7644704
"China, Hong Kong SAR",201108,2517900,9258760
"China, Hong Kong SAR",201109,948235,10496902
"China, Hong Kong SAR",201110,156677,101752897
"China, Hong Kong SAR",201111,789859,11720818
"China, Hong Kong SAR",201112,546254,33815027
Colombia,201112,117400,402165
Croatia,201105,23000,38510
Cyprus,201101,20000,5253
Cyprus,201108,30000,14790
Cyprus,201111,77361,449956
Denmark,201109,8000,6
Dominica,201111,90800,360209
Dominican Rep.,201109,75532,47470
Dominican Rep.,201112,28635215,22277249
Ecuador,201110,120,4
Egypt,201101,325680,683500
Egypt,201109,77,650
Egypt,201110,1146115,767509
Egypt,201111,332,4
Egypt,201112,570900,695902
Estonia,201101,704000,2788547
Estonia,201102,60000,231289
Estonia,201103,51200,419429
Estonia,201112,325600,1050502
Ethiopia,201112,377,22784
France,201101,2906650,61338705
France,201102,2319069,249326982
France,201103,1345000,152735804
France,201105,755632,333136667
France,201107,3523000,1172648703
France,201108,8864700,1166642344
France,201109,3488822,1195154085
France,201110,2149896,739221298
France,201111,18036344,1132360763
France,201112,3114790,689549132
Georgia,201102,492443,70982900
Georgia,201111,4600,12086
Germany,201101,6294553,14489275
Germany,201102,8359031,294822727
Germany,201103,3470600,3192629
Germany,201107,2167600,250087256
Germany,201108,1362600,213756439
Germany,201109,36271769,132619494
Germany,201110,150824089,220121229
Germany,201111,93555,133497976
Germany,201112,185477,11001974
Greece,201101,790400,1114542
Greece,201102,162370,747548
Greece,201103,215400,319309
Greece,201105,54000,104837
Greece,201107,1039204,359751
Greece,201108,240000,129412
Greece,201109,143659,2754007
Greece,201110,18000,34165
Greece,201111,5212156,35222779
Greece,201112,287596,1536191
Hungary,201109,25,1
Hungary,201110,43369,49880
Hungary,201111,909965,6367552
Iceland,201101,48097,49916
