partner_country,period,net_weight,usd_value
Albania,201001,8,24358
Albania,201002,62,152334
Albania,201003,296,138391
Albania,201004,1611,114695
Albania,201005,41768,44868
Albania,201006,22571,37499
Albania,201007,24,24450
Albania,201008,32956,264811
Albania,201009,33345,486918
Albania,201010,1733,125322
Albania,201011,98,120230
Albania,201012,31,76303
Albania,201101,13620,249787
Albania,201102,26141,135616
Albania,201103,41,113141
Albania,201104,42473,32099
Albania,201105,16,2554
Albania,201106,38076,34965
Albania,201107,15,9190
Albania,201108,20757,98601
Albania,201109,38108,178305
Albania,201110,36,34449
Albania,201111,25635,258690
Albania,201112,53,111032
Albania,201201,24924,133679
Albania,201202,37741,36011
Albania,201203,48,122228
Albania,201204,38202,59481
Albania,201205,7289,11133
Albania,201206,1781,45554
Albania,201207,13491,14894
Albania,201208,706,56374
Albania,201209,81034,94410
Albania,201210,212,18959
Albania,201211,37620,145650
Albania,201212,38316,173692
Albania,201301,25009,100882
Albania,201302,728,145043
Albania,201303,37076,160222
Albania,201304,37232,130383
Albania,201305,51605,26190
Albania,201306,51,11243
Albania,201307,36356,62193
Albania,201308,1,7917
Albania,201309,36476,134910
Albania,201310,25291,17139
Algeria,201001,21767,867844
Algeria,201002,14869,1265800
Algeria,201003,30577,806468
Algeria,201004,15456,397765
Algeria,201005,73679,464292
Algeria,201006,40592,178196
Algeria,201007,34349,901649
Algeria,201008,35136,2904017
Algeria,201009,69156,501618
Algeria,201010,9160,551971
Algeria,201011,44659,554319
Algeria,201012,65616,1897958
Algeria,201101,183,141518
Algeria,201102,14567,1473222
Algeria,201103,64223,405577
Algeria,201104,91453,1937786
Algeria,201105,62913,741965
Algeria,201106,29026,595204
Algeria,201107,88754,3902773
Algeria,201108,2202,499671
Algeria,201109,458,113848
Algeria,201110,37839,896676
Algeria,201111,4331969,35528657
Algeria,201112,3042708,96991957
Algeria,201201,12951,2893477
Algeria,201202,137814,3662900
Algeria,201203,35933,2405022
Algeria,201204,516,76861
Algeria,201205,5439701,112572570
Algeria,201206,68297,8070451
Algeria,201207,28214,472955
Algeria,201208,5800685,47097616
Algeria,201209,56005,97865066
Algeria,201210,87750,2355696
Algeria,201211,195573,3746276
Algeria,201212,124943,2441659
Algeria,201301,3260639,25756003
Algeria,201302,84258,1067922
Algeria,201303,90013,2072095
Algeria,201304,41247,663348
Algeria,201305,129543,3256507
Algeria,201306,72680,2932511
Algeria,201307,103510,1385902
Algeria,201308,42026,929392
Algeria,201309,93668,1068339
Algeria,201310,46915,1277546
Antigua and Barbuda,201001,9018,50523
Antigua and Barbuda,201002,6313,39046
Antigua and Barbuda,201003,19810,107876
Antigua and Barbuda,201004,6308,34681
Antigua and Barbuda,201005,450,188695
Antigua and Barbuda,201006,19708,116383
Antigua and Barbuda,201007,52,2965
Antigua and Barbuda,201008,10,8542
Antigua and Barbuda,201009,16125,107941
Antigua and Barbuda,201010,10474,56232
Antigua and Barbuda,201011,11250,53256
Antigua and Barbuda,201012,13339,71702
Antigua and Barbuda,201101,12,980
Antigua and Barbuda,201102,2500,14656
Antigua and Barbuda,201103,24263,286239
Antigua and Barbuda,201105,455,256725
Antigua and Barbuda,201106,12158,65383
Antigua and Barbuda,201108,3375,25644
Antigua and Barbuda,201109,12158,66840
Antigua and Barbuda,201110,3,5199
Antigua and Barbuda,201201,16639,163742
Antigua and Barbuda,201202,1,1103
Antigua and Barbuda,201203,70435,1266193
Antigua and Barbuda,201204,12159,64306
Antigua and Barbuda,201205,72,8690
Antigua and Barbuda,201206,426,182962
Antigua and Barbuda,201207,1456,27567
Antigua and Barbuda,201208,115,9168
Antigua and Barbuda,201209,22696,122189
Antigua and Barbuda,201210,127,4144
Antigua and Barbuda,201211,18360,26266
Antigua and Barbuda,201301,1,1360
Antigua and Barbuda,201302,22696,120176
Antigua and Barbuda,201303,161,14308
Antigua and Barbuda,201304,1687,44538
Antigua and Barbuda,201305,396,390017
Antigua and Barbuda,201306,1500,8152
Antigua and Barbuda,201307,22770,135710
Antigua and Barbuda,201308,1690,66570
Argentina,201001,2148696,2493770
Argentina,201002,963321,1310705
Argentina,201003,1273245,852256
Argentina,201004,23608249,8573662
Argentina,201005,119430,699601
Argentina,201006,126817,1008602
Argentina,201007,1439345,1044877
Argentina,201008,15645272,5035217
Argentina,201009,1439901,1214340
Argentina,201010,9528815,4259381
Argentina,201011,385184,1161513
Argentina,201012,441036,898023
Argentina,201101,1532279,1355125
Argentina,201102,141520,808638
Argentina,201103,1232304,2025058
Argentina,201104,924773,2406098
Argentina,201105,16726911,7933270
Argentina,201106,1093147,1656492
Argentina,201107,9944179,5162512
Argentina,201108,24262626,12960082
Argentina,201109,15340584,7726396
Argentina,201110,888521,1357327
Argentina,201111,536712,1625793
Argentina,201112,638916,1450137
Argentina,201201,782480,1675632
Argentina,201202,368563,842077
Argentina,201203,755930,1861500
Argentina,201204,158616,495415
Argentina,201205,11230153,5433284
Argentina,201206,21145308,10009438
Argentina,201207,5783328,3334328
Argentina,201208,1123713,1549879
Argentina,201209,84478989,50704889
Argentina,201210,398172,1142836
Argentina,201211,501012,926248
Argentina,201212,106401,1036251
Argentina,201301,133003,349531
Argentina,201302,35988,242323
Argentina,201303,866164,1732506
Argentina,201304,16446024,7870199
Argentina,201305,417000,902314
Argentina,201306,611960,1404885
Argentina,201307,811996,1399786
Argentina,201308,89018460,58490532
Argentina,201309,383334,1358985
Argentina,201310,11983830,4658812
Armenia,201001,94012,145140
Armenia,201002,123171,196704
Armenia,201004,45901,70388
Armenia,201005,48585,58006
Armenia,201006,45458,59103
Armenia,201007,8102,1010774
Armenia,201009,26121,27658
Armenia,201010,1776,3875
Armenia,201011,25053,45930
Armenia,201012,14077,23165
