partner_country,period,net_weight,usd_value
Albania,201002,205544,205753
Albania,201003,15589,135
Albania,201004,9291,155137
Albania,201005,12,133169
Albania,201006,4181,18326
Albania,201007,100000,115054
Albania,201008,911257,7646
Albania,201009,6267,390325
Albania,201010,16171,147030
Albania,201011,95000,58285
Albania,201012,109270,132451
Albania,201101,106261,74346
Albania,201102,125000,62779
Albania,201103,80000,52090
Albania,201104,20480,268463
Albania,201105,239049,189203
Albania,201106,12400,396262
Albania,201107,470,20672
Albania,201108,455,101580
Albania,201109,50296,165006
Albania,201111,108213,90147
Albania,201112,744689,596375
Albania,201201,50000,21357
Albania,201202,674578,340021
Albania,201203,112659,219150
Albania,201205,37500,111368
Albania,201206,5701,169932
Albania,201207,122750,77538
Albania,201208,21119275,5287
Albania,201209,152658,396880
Albania,201210,42707,195174
Albania,201211,11640,239671
Albania,201212,470256,205417
Albania,201301,211000,192827
Albania,201302,165592,223971
Albania,201303,180426,147196
Albania,201304,145501,371377
Albania,201305,49510,207460
Albania,201306,119250,238403
Albania,201307,119500,98006
Albania,201308,95559,296690
Algeria,201001,931907,2080188
Algeria,201002,401259,1340068
Algeria,201003,508491,2491279
Algeria,201004,276321,1888900
Algeria,201005,465410,2151051
Algeria,201006,496421,9683701
Algeria,201007,1175407,3844106
Algeria,201008,485270,2920047
Algeria,201009,282595,1997439
Algeria,201010,1930432,3751880
Algeria,201011,1139553,2347826
Algeria,201012,1655327,2837075
Algeria,201101,164898,1312619
Algeria,201102,2628331,2966283
Algeria,201103,775316,1965889
Algeria,201104,796880,2556761
Algeria,201105,247103,2929914
Algeria,201106,68315,2577938
Algeria,201107,90631,2604142
Algeria,201108,272388,3170516
Algeria,201109,932973,2015007
Algeria,201110,1562524,2471779
Algeria,201111,538150,1125727
Algeria,201112,673699,1855010
Algeria,201201,1155148,2947922
Algeria,201202,653552,3420763
Algeria,201203,1365515,4025704
Algeria,201204,1101752,3388395
Algeria,201205,599920,5523431
Algeria,201206,122198,4048672
Algeria,201207,291252,3858999
Algeria,201208,442744,4333053
Algeria,201209,135904,1605513
Algeria,201210,84119,1858594
Algeria,201211,140116,2740043
Algeria,201212,220536,1713712
Algeria,201301,548534,3289613
Algeria,201302,316229,3246708
Algeria,201303,196332,2016019
Algeria,201304,519673,2413415
Algeria,201305,211644,2832812
