partner_country,period,net_weight,usd_value
Albania,201101,22000,155190
Albania,201102,20836,16078
Albania,201103,22000,157564
Albania,201108,16000,98400
Albania,201112,22000,146800
Albania,201201,23000,146800
Albania,201303,24000,137278
Antigua and Barbuda,201103,227,4029
Antigua and Barbuda,201108,322,5159
Antigua and Barbuda,201112,3015,35151
Antigua and Barbuda,201304,5827,60132
Antigua and Barbuda,201306,4942,19000
Antigua and Barbuda,201307,50,185
Argentina,201003,188,3626
Argentina,201109,17645,24064
Argentina,201305,10870,30000
Argentina,201306,36000,117950
Argentina,201307,18180,69150
Argentina,201308,25000,150000
Argentina,201309,25000,150000
Aruba,201001,23836,22739
Aruba,201002,22876,25407
Aruba,201003,69841,54100
Aruba,201004,63078,77681
Aruba,201101,88501,61154
Aruba,201102,110404,81291
Aruba,201103,66965,51556
Aruba,201104,88954,78846
Aruba,201105,114156,94079
Aruba,201106,67833,60936
Aruba,201107,44501,40430
Aruba,201108,22615,38725
Aruba,201109,155119,139152
Aruba,201110,87436,67430
Aruba,201111,46122,54794
Aruba,201112,110242,98492
Aruba,201201,30005,30282
Aruba,201202,88162,64519
Aruba,201206,75621,70654
Aruba,201211,69852,97758
Aruba,201212,91123,103891
Aruba,201301,186798,209032
Aruba,201302,131926,108697
Aruba,201303,200872,186278
Aruba,201304,167326,195065
Aruba,201305,256540,212880
Aruba,201306,169571,145610
Aruba,201307,72598,107408
Aruba,201308,51871,87612
Aruba,201309,114742,88233
Australia,201001,10548,22585
Australia,201002,36000,143429
Australia,201003,39405,117912
Australia,201004,36000,144000
Australia,201101,11031,25047
Australia,201102,36000,142858
Australia,201103,31645,132595
Australia,201104,18481,103305
Australia,201105,10667,24906
Australia,201106,10819,53386
Australia,201107,377,23965
Australia,201108,28205,138328
Australia,201109,11130,26553
Australia,201110,10373,25252
Australia,201201,28834,154419
Australia,201202,10152,24784
Australia,201206,48929,239973
Australia,201211,30295,112402
Australia,201301,28121,110160
Australia,201302,10596,25578
Australia,201304,29428,146953
Australia,201305,48654,214148
Australia,201306,58847,382197
Australia,201307,103804,696465
Australia,201308,40878,199015
Australia,201309,29114,109063
Barbados,201003,860,11956
Barbados,201102,5512,33673
Barbados,201103,338,4161
Barbados,201105,422,7941
Barbados,201109,618,11819
