partner_country,period,net_weight,usd_value
Albania,201001,57879,137203
Albania,201002,26680,107844
Albania,201003,176440,419748
Albania,201004,87366,211558
Albania,201005,171762,433529
Albania,201007,162321,486285
Albania,201010,116903,481863
Albania,201104,59000,249560
Albania,201105,58648,272908
Albania,201106,29500,122801
Albania,201109,29500,89050
Albania,201112,29101,131350
Albania,201204,83911,325281
Albania,201205,27990,146181
Albania,201206,56008,116241
Albania,201207,111997,494597
Albania,201208,27996,107889
Albania,201209,28000,105475
Albania,201210,139978,316619
Albania,201211,55894,99363
Albania,201212,84015,282857
Albania,201301,28000,48829
Albania,201302,27999,48826
Albania,201303,53531,90544
Albania,201304,52159,81024
Albania,201305,26026,39630
Albania,201306,28000,130000
Albania,201307,81991,112336
Albania,201308,26006,37529
Albania,201309,105885,228292
Albania,201310,26579,41738
Albania,201312,55985,162160
Algeria,201009,15361235,2907421
Algeria,201011,20150,41832
Algeria,201101,6440910,1771250
Algeria,201107,90720,149150
Algeria,201112,10000000,12496762
Algeria,201201,16500000,19038797
Algeria,201203,21706915,5170138
Algeria,201212,100000,200000
Algeria,201301,1184039,1317184
Algeria,201303,7000000,7481530
Algeria,201304,1500000,1438461
Algeria,201305,14781512,15089283
Algeria,201307,12471219,9814353
Algeria,201311,3988707,608996
Algeria,201312,4000000,3107880
Antigua and Barbuda,201212,209,5266
Argentina,201001,90746291,17482526
Argentina,201002,170103476,44797801
Argentina,201003,251803452,73310310
Argentina,201004,176556966,46026325
Argentina,201005,153174832,53303931
Argentina,201006,151867871,36815800
Argentina,201007,146414430,35568327
Argentina,201008,273670001,60804638
Argentina,201009,166748227,33457871
Argentina,201010,191569164,50639493
Argentina,201011,185765589,46766211
Argentina,201012,131691758,39156576
Argentina,201101,116662744,27429364
Argentina,201102,197173317,65870796
Argentina,201103,263351019,94865804
Argentina,201104,246091208,100878630
Argentina,201105,241568848,94521336
Argentina,201106,218130295,80135811
Argentina,201107,253330432,94280257
Argentina,201108,313483056,118397962
Argentina,201109,211635435,72435345
Argentina,201110,244217559,76467878
Argentina,201111,285255154,93761707
Argentina,201112,128402595,53573961
Argentina,201201,109100860,53199069
Argentina,201202,17488405,38325437
Argentina,201203,25865014,46315410
Argentina,201204,26350927,44456063
Argentina,201205,50629479,49385056
Argentina,201206,46140260,53186130
Argentina,201207,53568885,52323669
Argentina,201208,33215946,54710270
Argentina,201209,52795863,44593395
Argentina,201210,64850065,54306120
Argentina,201211,62468045,46119254
Argentina,201212,66231752,67374838
Argentina,201301,73226648,52531168
Argentina,201302,104094889,72764433
Argentina,201303,39645702,51394697
Argentina,201304,80864467,54884535
Argentina,201305,80021917,56055751
Argentina,201306,85520942,79637387
Argentina,201307,138788570,77730067
Argentina,201308,283596926,135026889
Argentina,201309,320508742,132692563
Argentina,201310,299489105,129752838
Argentina,201311,258541376,132823292
Argentina,201312,121023524,95561728
Armenia,201001,25195,41036
Armenia,201308,26015,40667
Armenia,201312,26020,43278
Aruba,201001,169239,1244886
Aruba,201002,158174,1088046
Aruba,201003,203446,1268035
Aruba,201004,175833,1320699
Aruba,201005,115358,781932
Aruba,201006,120894,851921
Aruba,201007,64276,422900
Aruba,201008,31931,241021
Aruba,201009,99840,555692
Aruba,201010,150530,1021221
Aruba,201011,137337,857122
Aruba,201012,209110,1399571
Aruba,201101,209814,1470569
Aruba,201102,255183,1585714
Aruba,201103,329513,2269687
Aruba,201104,252706,1805326
Aruba,201105,240220,1622124
Aruba,201106,316500,2174052
Aruba,201107,287720,1987322
Aruba,201108,369432,2220878
Aruba,201109,326988,2151687
Aruba,201110,304867,2089234
Aruba,201111,416587,2898479
Aruba,201112,353526,2500523
Aruba,201201,127881,1431924
Aruba,201202,305256,3398051
Aruba,201203,325234,3787453
Aruba,201204,430965,4678864
Aruba,201205,441283,4930410
Aruba,201206,285728,3458684
Aruba,201207,266967,2958213
Aruba,201208,153716,1641887
Aruba,201209,512417,5797522
Aruba,201210,387240,4060941
Aruba,201211,438472,4789496
Aruba,201212,281554,2984482
Aruba,201301,226040,2441886
Aruba,201302,277070,2998546
Aruba,201303,431939,4317233
Aruba,201304,389155,3978353
Aruba,201305,159415,1883191
Aruba,201306,278687,2887939
Aruba,201307,99262,1105534
Aruba,201308,233430,2663030
Aruba,201309,196936,2244591
Aruba,201310,138582,1438486
Aruba,201311,149998,1539974
Aruba,201312,39970,301990
Australia,201001,141740,87740
Australia,201005,125388,67103
Australia,201006,602,8580
Australia,201007,36320,56835
Australia,201008,270733,210002
Australia,201009,91244,85789
Australia,201010,20000,14000
Australia,201011,1183,8853
Australia,201012,40435,70782
Australia,201108,10100,25000
Australia,201110,22176,31900
Australia,201111,82000,29000
Australia,201203,19,461
Australia,201204,21500,19692
Australia,201205,57,2171
Australia,201208,19330,10423
Australia,201209,20050,25640
Australia,201210,44260,48650
Australia,201211,1050,7259
Australia,201212,1656,9245
Australia,201305,3400,59274
Australia,201306,22150,31957
Australia,201307,3500,13000
Australia,201308,20096,16207
Australia,201309,120050,818804
Australia,201311,72000,348100
Australia,201312,19690,12870
Austria,201003,118,7861
Austria,201005,2,884
Austria,201006,21600,165869
Austria,201009,21600,176634
Austria,201010,2673,22559
Austria,201011,21842,200675
Austria,201101,21816,216297
Austria,201103,32068,225884
Austria,201104,2984,73511
Austria,201105,21600,199146
Austria,201106,10,3000
Austria,201108,21600,225161
Austria,201111,8600,42925
Austria,201201,20800,185521
Austria,201203,20800,189348
Austria,201205,108,7173
Austria,201207,20800,135644
Austria,201210,41649,261487
Austria,201211,105,7271
Austria,201212,20850,146037
Austria,201303,20800,159318
Austria,201304,62400,391712
Austria,201305,20914,133080
Austria,201308,61600,283340
Austria,201310,84,6872
Azerbaijan,201112,28993,188432
Bahrain,201002,6963,53390
Bahrain,201003,29982,139140
Bahrain,201004,6963,42580
Bahrain,201005,29547,130960
Bahrain,201006,3485,24020
Bahrain,201007,29782,158685
Bahrain,201008,3482,27900
Bahrain,201010,2532,12300
Bahrain,201011,3471,26670
Bahrain,201012,68591,439489
Bahrain,201102,3482,24280
Bahrain,201105,3482,30040
Bahrain,201106,1245,6370
Bahrain,201107,2395,15654
Bahrain,201108,1207,9485
Bahrain,201109,3465,27311
Bahrain,201111,26070,173034
Bahrain,201204,25600,159223
Bahrain,201205,25500,151822
Bahrain,201208,1300,10230
Bahrain,201210,2600,19185
Bahrain,201301,26800,150470
Bahrain,201302,52026,279327
Bahrain,201303,26300,183867
Bahrain,201304,73399,416026
Bahrain,201306,25000,162647
Bahrain,201307,1300,11090
Bahrain,201309,27884,175696
Bahrain,201310,1300,10275
Bahrain,201311,82440,359222
Bahrain,201312,139963,305545
Belgium,201001,1327750,573791
Belgium,201002,1386324,690344
Belgium,201003,940880,669433
Belgium,201004,396200,200932
Belgium,201005,430868,717364
Belgium,201006,444230,336851
Belgium,201007,1530860,832001
Belgium,201008,1571084,457511
Belgium,201009,2622727,1058119
Belgium,201010,2473392,1132027
Belgium,201011,2380033,774523
Belgium,201012,1762347,605934
Belgium,201101,1455847,755880
Belgium,201102,1464192,1436935
Belgium,201103,846382,414585
Belgium,201104,31664289,15420836
Belgium,201105,598104,432487
Belgium,201106,1072117,603015
Belgium,201107,1278886,604100
Belgium,201108,898447,941092
Belgium,201109,422072,688452
Belgium,201110,839096,1335272
Belgium,201111,59641,132178
Belgium,201112,408283,558435
Belgium,201201,120000,163675
Belgium,201202,282000,374599
Belgium,201203,547710,170106
Belgium,201204,987380,461183
Belgium,201205,687780,271396
Belgium,201206,1127987,559036
Belgium,201207,1225560,423839
Belgium,201208,113500,145860
