partner_country,period,net_weight,usd_value
Albania,201001,2029,46098
Albania,201004,6370,10800
Albania,201007,24,2938
Albania,201009,197,5889
Albania,201011,1580,40866
Albania,201104,23550,25759
Albania,201107,13000,17548
Albania,201111,20522,138223
Albania,201206,18717,42960
Albania,201208,20501,91023
Albania,201210,19916,32252
Albania,201211,25840,96670
Algeria,201001,7352722,4492596
Algeria,201002,7392085,4941029
Algeria,201004,7324730,5182839
Algeria,201005,14755167,9733737
Algeria,201006,18183,56322
Algeria,201007,7424161,4642038
Algeria,201008,7312370,4717541
Algeria,201009,7343454,4484305
Algeria,201010,69000,75210
Algeria,201011,4603248,2917731
Algeria,201012,7541186,5400182
Algeria,201102,11431634,8706278
Algeria,201103,4619594,3637246
Algeria,201104,12918056,10209548
Algeria,201105,5497123,3856541
Algeria,201106,26992,38742
Algeria,201107,7389728,5994086
Algeria,201108,47960,73120
Algeria,201109,117992,166428
Algeria,201110,7252854,5232425
Algeria,201111,7324799,4944006
Algeria,201112,7330075,4424591
Algeria,201202,7295056,4418338
Algeria,201203,20150,72246
Algeria,201205,7507782,4699349
Algeria,201206,7414734,4811653
Algeria,201207,7270393,4469679
Algeria,201208,7518108,4618251
Algeria,201209,112092,215411
Algeria,201211,7442774,4739887
Algeria,201212,27006,32254
Antigua and Barbuda,201001,286,1369
Antigua and Barbuda,201002,21336,18390
Antigua and Barbuda,201003,934,12122
Antigua and Barbuda,201004,38970,50266
Antigua and Barbuda,201005,19385,25118
Antigua and Barbuda,201006,26570,22506
Antigua and Barbuda,201007,58898,76402
Antigua and Barbuda,201008,18494,25326
Antigua and Barbuda,201009,47010,67460
Antigua and Barbuda,201010,58606,69996
Antigua and Barbuda,201011,57104,78710
Antigua and Barbuda,201012,39925,50657
Antigua and Barbuda,201101,660,14331
Antigua and Barbuda,201102,209,2650
Antigua and Barbuda,201103,38872,54579
Antigua and Barbuda,201104,57865,95345
Antigua and Barbuda,201105,88031,128961
Antigua and Barbuda,201106,59217,85765
Antigua and Barbuda,201107,59721,94338
Antigua and Barbuda,201108,21176,29000
Antigua and Barbuda,201109,40274,79057
Antigua and Barbuda,201110,40445,63526
Antigua and Barbuda,201111,43256,54303
Antigua and Barbuda,201112,99010,151658
Antigua and Barbuda,201201,22791,38366
Antigua and Barbuda,201202,21528,23453
Antigua and Barbuda,201203,23557,27910
Antigua and Barbuda,201204,39848,144987
Antigua and Barbuda,201205,21888,23381
Antigua and Barbuda,201206,39832,73198
Antigua and Barbuda,201207,21668,27764
Antigua and Barbuda,201208,43517,49963
Antigua and Barbuda,201210,301,1417
Antigua and Barbuda,201211,19916,38618
Antigua and Barbuda,201212,40734,62905
Argentina,201001,3606522,5693794
Argentina,201002,4154305,8262298
Argentina,201003,4326325,7919548
Argentina,201004,10449618,12104352
Argentina,201005,4559640,8447094
Argentina,201006,4345178,11845072
Argentina,201007,12172702,24111668
Argentina,201008,11138303,18726474
Argentina,201009,4463770,15994551
Argentina,201010,10854306,18539042
Argentina,201011,4249240,9670245
Argentina,201012,4279908,10079268
Argentina,201101,4613190,12285459
Argentina,201102,22089196,15365898
Argentina,201103,24973808,14267537
Argentina,201104,5003165,14001840
