partner_country,period,net_weight,usd_value
Albania,201006,11220,25755
Albania,201008,12480,110280
Albania,201009,23889,22504
Albania,201010,48739,103134
Albania,201011,340,10000
Albania,201012,12625,62781
Albania,201101,1282,83884
Albania,201104,143500,37529
Albania,201105,6200,5857
Albania,201108,14500,31472
Albania,201111,743029,110032
Albania,201112,313514,21464
Albania,201201,54720,1361
Albania,201202,95735,11688
Albania,201203,70335,104549
Albania,201205,248632,8054
Albania,201207,16973,270
Albania,201208,70849,5296
Albania,201209,45564,33938
Albania,201210,91078,500
Albania,201302,27000,15196
Albania,201303,146493,12727
Albania,201306,1,9678
Albania,201307,20,4910
Albania,201308,2,22577
Albania,201309,18180,420
Algeria,201001,7192,32597
Algeria,201002,3712326,111514
Algeria,201003,300000,754978
Algeria,201004,3200896,850
Algeria,201005,3351297,104076
Algeria,201008,4351761,108595
Algeria,201010,3755678,14046
Algeria,201012,3813702,161720
Algeria,201102,3990,172642
Algeria,201103,128460,102912
Algeria,201104,40000,234803
Algeria,201105,2972379,135657
Algeria,201106,2710241,166117
Algeria,201107,40000,372142
Algeria,201108,5109285,224387
Algeria,201109,4599969,220642
Algeria,201110,40000,443277
Algeria,201112,3513225,218689
Algeria,201201,40000,339555
Algeria,201202,37356,181476
Algeria,201203,19800,256014
Algeria,201204,61654,613957
Algeria,201205,5364727,200382
Algeria,201206,3120,6825
Algeria,201207,192,89263
Algeria,201208,4741048,420904
Algeria,201209,4372271,336
Algeria,201210,14713,251610
Algeria,201211,9640671,119235
Algeria,201212,30332,136348
Algeria,201301,3930,144126
Algeria,201302,3475,321605
Algeria,201303,46184,472969
Algeria,201304,71200,394592
Algeria,201305,33235,299566
Algeria,201306,55517,1343085
Algeria,201307,68016,313063
Algeria,201308,82214,102984
Algeria,201309,17636,266377
Algeria,201310,59364,278966
Antigua and Barbuda,201006,372511,755
Antigua and Barbuda,201008,792998,565
Antigua and Barbuda,201011,933930,23088
Antigua and Barbuda,201103,40410405,19619
Antigua and Barbuda,201109,372380,49600
Antigua and Barbuda,201110,45371836,1280
Antigua and Barbuda,201111,10487419,5920
Antigua and Barbuda,201112,155080,12640
Antigua and Barbuda,201202,232024,494881
Antigua and Barbuda,201203,357484,4781
Antigua and Barbuda,201204,491826,50351
Antigua and Barbuda,201208,1280,23305
Antigua and Barbuda,201209,1901,1740
Antigua and Barbuda,201303,3888,46646
Antigua and Barbuda,201304,1280,5992
Antigua and Barbuda,201305,456,2000
Argentina,201001,58763,3185910
Argentina,201002,50600,4308011
Argentina,201003,42701,4093237
Argentina,201004,14500,3708004
Argentina,201005,85207,3445462
Argentina,201006,106429,1656554
Argentina,201007,40883,2041516
Argentina,201008,67262,2652908
Argentina,201009,113140,2454613
Argentina,201010,79289,2921146
Argentina,201011,99825,4071584
Argentina,201012,32994,2238526
Argentina,201101,86380,23289383
Argentina,201102,65249,2530058
Argentina,201103,47193,3882012
Argentina,201104,54251,1700458
