partner_country,period,net_weight,usd_value
Albania,201001,390800,1773435
Albania,201002,326700,1457730
Albania,201003,451400,2244137
Albania,201004,411600,1944152
Albania,201005,466400,1870708
Albania,201006,505600,1925203
Albania,201007,520000,2136230
Albania,201008,536600,1952886
Albania,201009,600600,2158068
Albania,201010,603100,2979627
Albania,201011,425000,2433175
Albania,201012,596700,3126520
Albania,201101,541910,2009563
Albania,201102,299940,1425500
Albania,201103,444697,2591128
Albania,201104,452105,2272642
Albania,201105,525026,2572319
Albania,201106,445857,2242261
Albania,201107,363617,2225133
Albania,201108,425363,2234024
Albania,201109,570788,2799215
Albania,201110,585963,2419822
Albania,201111,503457,2454796
Albania,201112,500370,2231486
Albania,201201,623384,3431727
Albania,201202,459117,3256348
Albania,201203,555339,3472317
Albania,201204,510796,3292847
Albania,201205,681436,4111011
Albania,201206,627452,3844943
Albania,201207,586980,3569263
Albania,201208,638335,3291928
Albania,201209,615436,3174487
Albania,201210,565133,3959199
Albania,201211,728733,5302886
Albania,201212,565865,3785115
Albania,201301,347284,2887203
Albania,201302,668734,4062468
Albania,201303,456019,3495594
Albania,201304,556762,3874846
Albania,201305,565393,3332167
Albania,201306,689208,4890765
Albania,201307,575092,5771246
Albania,201308,699732,3972455
Albania,201309,455500,3995787
Albania,201310,835700,5206422
Albania,201311,756700,6619552
Algeria,201001,28221600,13612121
Algeria,201002,2654800,5118542
Algeria,201003,23387000,19149527
Algeria,201004,53755500,23415356
Algeria,201005,29020500,18399787
Algeria,201006,62005800,39604570
Algeria,201007,5250700,16816061
Algeria,201008,51061300,32632567
Algeria,201009,6079500,15289826
Algeria,201010,23768600,16564753
Algeria,201011,8779000,15926104
Algeria,201012,4941200,18201517
Algeria,201101,63058459,44145579
Algeria,201102,30758631,30749619
Algeria,201103,4918119,18522627
Algeria,201104,31426766,30616116
Algeria,201105,1733452,10211447
Algeria,201106,51820558,41853912
Algeria,201107,46319573,32725635
Algeria,201108,65892096,42399192
Algeria,201109,39325550,40108223
Algeria,201110,6160103,21486890
Algeria,201111,35328516,23715543
Algeria,201112,4939224,17018958
Algeria,201201,3407267,11994618
Algeria,201202,4588297,18922788
Algeria,201203,7651687,24344783
Algeria,201204,19566816,30367036
Algeria,201205,36256905,35173137
Algeria,201206,36258124,29275974
Algeria,201207,37567086,29393608
Algeria,201208,29111643,23943008
Algeria,201209,41675414,25721806
Algeria,201210,9524644,19181364
Algeria,201211,77932591,45451376
Algeria,201212,43660333,26540399
Algeria,201301,5122917,18440429
Algeria,201302,53655679,39018230
Algeria,201303,34488847,19960007
Algeria,201304,38279791,30028887
Algeria,201305,39266573,27716497
Algeria,201306,89563519,41788324
Algeria,201307,84108063,44471075
Algeria,201308,26824814,33149699
Algeria,201309,60950400,28973195
Algeria,201310,18734600,21227668
Algeria,201311,1361400,18277855
Antigua and Barbuda,201001,1775800,8545370
Antigua and Barbuda,201002,1089900,1882276
Antigua and Barbuda,201003,6900,37149
Antigua and Barbuda,201005,1369000,988252
Antigua and Barbuda,201006,2135400,10469394
Antigua and Barbuda,201007,1900,3104
Antigua and Barbuda,201008,2152100,5526496
Antigua and Barbuda,201009,3305100,11258727
Antigua and Barbuda,201010,4307100,24573773
Antigua and Barbuda,201011,2000,14560
Antigua and Barbuda,201012,3234300,10432357
Antigua and Barbuda,201101,23,1562
Antigua and Barbuda,201102,11538090,7398250
Antigua and Barbuda,201103,962704,1491475
Antigua and Barbuda,201104,1217794,7607334
Antigua and Barbuda,201105,7719684,14136906
Antigua and Barbuda,201106,3286009,10458416
Antigua and Barbuda,201107,4498369,11477604
Antigua and Barbuda,201108,124,6836
Antigua and Barbuda,201109,51000,359607
Antigua and Barbuda,201110,9196907,32656035
Antigua and Barbuda,201111,1721889,8072291
Antigua and Barbuda,201112,2706233,1361371
Antigua and Barbuda,201202,3895000,20409874
Antigua and Barbuda,201203,3217000,2177383
Antigua and Barbuda,201204,26819,15040
Antigua and Barbuda,201205,27294,16618
Antigua and Barbuda,201206,1224347,6971526
Antigua and Barbuda,201207,6015633,19695680
Antigua and Barbuda,201208,11554000,41379843
Antigua and Barbuda,201209,4522430,10827752
Antigua and Barbuda,201210,4448504,6163508
Antigua and Barbuda,201211,2123,21441
Antigua and Barbuda,201212,3892512,2299977
Antigua and Barbuda,201301,3635199,18820020
Antigua and Barbuda,201302,4487015,10735890
Antigua and Barbuda,201303,3519,130606
Antigua and Barbuda,201304,2964815,10069804
Antigua and Barbuda,201305,2104594,2460653
Antigua and Barbuda,201306,5198521,22732427
Antigua and Barbuda,201307,3628404,5274538
Antigua and Barbuda,201308,3626020,5102954
Antigua and Barbuda,201309,1976100,42792714
Antigua and Barbuda,201310,1600,17626038
Antigua and Barbuda,201311,600,17597681
Argentina,201001,547600,2650286
Argentina,201002,682700,3821038
Argentina,201003,1284500,6761055
Argentina,201004,1129200,5597759
Argentina,201005,5571500,4067833
Argentina,201006,22039500,12471422
Argentina,201007,9489100,8947347
Argentina,201008,1253700,6410329
Argentina,201009,7374800,11750770
Argentina,201010,1024400,6328150
Argentina,201011,6857600,9126115
Argentina,201012,993900,5525558
Argentina,201101,7716433,8889836
Argentina,201102,942284,5501855
Argentina,201103,980856,6576533
Argentina,201104,36090768,21955267
Argentina,201105,1101356,7079983
Argentina,201106,8375327,11059631
Argentina,201107,679348,5245080
Argentina,201108,6663201,8713916
Argentina,201109,617835,6831065
Argentina,201110,777642,5147554
Argentina,201111,677460,4024827
Argentina,201112,7414412,10531570
Argentina,201201,834511,5731847
Argentina,201202,590303,5691550
Argentina,201203,1036418,7563845
Argentina,201204,1470756,13645079
Argentina,201205,10246361,5883984
Argentina,201206,15590954,18384551
Argentina,201207,3718643,10268406
Argentina,201208,703693,7803588
Argentina,201209,16392319,7445070
Argentina,201210,3978390,9200053
Argentina,201211,1745519,18209885
Argentina,201212,733985,5150840
Argentina,201301,649317,5429960
Argentina,201302,1380569,4952589
