partner_country,period,net_weight,usd_value
Albania,201001,1681,235388
Albania,201002,320853,247278
Albania,201003,9122,74009
Albania,201004,35028,48659
Albania,201005,68030,229610
Albania,201006,271726,297992
Albania,201007,542823,307267
Albania,201008,10765,34434
Albania,201009,388497,370272
Albania,201010,33997,127921
Albania,201011,31227,90583
Albania,201012,35571,117177
Albania,201101,439,54280
Albania,201102,5622,129794
Albania,201103,370867,464992
Albania,201104,567782,336883
Albania,201105,13604,80371
Albania,201106,1109,96106
Albania,201107,102057,236380
Albania,201108,12835,335075
Albania,201109,61529,371571
Albania,201110,21945,273244
Albania,201111,88674,178668
Albania,201112,623,82507
Albania,201201,63686,226492
Albania,201202,25483,58810
Albania,201203,30633,137292
Albania,201204,71788,142831
Albania,201205,41503,158658
Albania,201206,194824,274167
Albania,201207,94117,272626
Albania,201208,8057,28913
Albania,201209,70113,291520
Albania,201210,261235,450547
Albania,201211,175012,324160
Albania,201212,204376,412842
Albania,201301,358877,473465
Albania,201302,54929,140099
Albania,201303,55460,222272
Albania,201304,221351,576749
Albania,201305,211145,190491
Albania,201306,271072,404809
Albania,201307,140965,493575
Albania,201308,129025,310206
Albania,201309,218953,322682
Albania,201310,174344,341761
Albania,201311,136471,173822
Algeria,201001,14948805,16727778
Algeria,201002,18352112,20329600
Algeria,201003,42305188,28014100
Algeria,201004,59476289,30707885
Algeria,201005,65918041,21093663
Algeria,201006,32733089,11188427
Algeria,201007,51699982,22829202
Algeria,201008,27417389,18713229
Algeria,201009,25268150,21465465
Algeria,201010,20119225,22574274
Algeria,201011,37343323,34015633
Algeria,201012,32457955,29364116
Algeria,201101,16559612,25789529
Algeria,201102,28717776,19004068
Algeria,201103,83951163,72587036
Algeria,201104,70068003,74208752
Algeria,201105,68479170,51706466
Algeria,201106,93278755,56403094
Algeria,201107,47975831,37619755
Algeria,201108,50955843,29092019
Algeria,201109,62094424,36968707
Algeria,201110,49337951,32630515
Algeria,201111,49691602,40702045
Algeria,201112,28626434,25116461
Algeria,201201,55028557,29788014
Algeria,201202,72797224,34854569
Algeria,201203,98799410,33717434
Algeria,201204,130499220,37602822
Algeria,201205,180367063,55851105
Algeria,201206,186259087,45174824
Algeria,201207,115457889,32998992
Algeria,201208,147594221,55926393
Algeria,201209,75779260,38014466
Algeria,201210,128844549,66259473
Algeria,201211,128011259,58278387
Algeria,201212,133787860,61261152
Algeria,201301,182305657,73985168
Algeria,201302,186842231,72733148
Algeria,201303,223218805,82139870
Algeria,201304,234922983,76420389
Algeria,201305,196404797,53611269
Algeria,201306,192826473,46308897
Algeria,201307,161120994,48650140
Algeria,201308,192764962,64712083
Algeria,201309,129268437,40799017
Algeria,201310,110414340,48688191
Algeria,201311,70780408,49556165
Antigua and Barbuda,201001,4403600,31336579
Antigua and Barbuda,201002,260,6499
Antigua and Barbuda,201003,2237,11780
Antigua and Barbuda,201004,225,3963
Antigua and Barbuda,201005,34720,62722
Antigua and Barbuda,201007,185,4230
Antigua and Barbuda,201009,6705,16645
