partner_country,period,net_weight,usd_value
Albania,201301,711861,2235450
Albania,201302,804033,1772930
Albania,201303,252334,1284800
Albania,201304,114721,831290
Algeria,201301,16205032,86002840
Algeria,201302,17847817,87647001
Algeria,201303,17242780,91574941
Algeria,201304,18691897,105749144
Antigua and Barbuda,201301,15560,618940
Antigua and Barbuda,201302,56112,482590
Antigua and Barbuda,201303,2444810,29594320
Antigua and Barbuda,201304,51890,382030
Argentina,201301,12494346,60207096
Argentina,201302,13597489,79543347
Argentina,201303,21047325,90196438
Argentina,201304,16970049,97997078
Armenia,201301,346239,2439528
Armenia,201302,209581,1922710
Armenia,201303,346626,2387660
Armenia,201304,271979,1875850
Aruba,201301,202580,1772030
Aruba,201302,271000,1920020
Aruba,201303,169262,1330150
Aruba,201304,124382,927560
Australia,201301,480575413,800733217
Australia,201302,479242642,874751790
Australia,201303,338109179,698408327
Australia,201304,598671443,903851615
Austria,201301,3235091,56053277
Austria,201302,2919361,68625290
Austria,201303,2561412,63602473
Austria,201304,3119961,58658888
Azerbaijan,201301,4846783,25914997
Azerbaijan,201302,2884061,21991650
Azerbaijan,201303,3287600,20774093
Azerbaijan,201304,4273340,25965107
Bahrain,201301,3455543,20894130
Bahrain,201302,2925642,21770663
Bahrain,201303,2008287,14463210
Bahrain,201304,5104799,16673063
Barbados,201301,57524,551790
Barbados,201302,149043,973280
Barbados,201303,81996,655110
Barbados,201304,149705,1033770
Belarus,201301,174173,3251561
Belarus,201302,1281865,5311770
Belarus,201303,1261691,5517228
Belarus,201304,1262163,3673014
Belgium,201301,61637397,168790568
Belgium,201302,96922461,272646776
Belgium,201303,61600102,170066530
Belgium,201304,69273021,200247820
Bolivia (Plurinational State of),201301,726758,3422341
Bolivia (Plurinational State of),201302,367951,2390939
Bolivia (Plurinational State of),201303,436949,2954490
Bolivia (Plurinational State of),201304,566196,3310881
Bosnia Herzegovina,201301,22632,1066331
Bosnia Herzegovina,201302,17049,485760
Bosnia Herzegovina,201303,36525,1384828
Bosnia Herzegovina,201304,16997,1083920
Brazil,201301,98465410,695274471
Brazil,201302,84886153,655893492
Brazil,201303,183151187,891566640
Brazil,201304,149050148,857802652
Brunei Darussalam,201301,3157189,8377918
Brunei Darussalam,201302,637132,3152159
Brunei Darussalam,201303,1081229,7641670
Brunei Darussalam,201304,1366025,9095274
Bulgaria,201301,3977483,9222533
Bulgaria,201302,3532359,10668150
Bulgaria,201303,2526796,8350608
Bulgaria,201304,3652968,9323190
Burkina Faso,201301,1095511,4432190
Burkina Faso,201302,1240870,3990360
Burkina Faso,201303,420440,1462570
Burkina Faso,201304,784740,3287360
Burundi,201301,246,12900
Burundi,201302,76,690
Burundi,201303,8690,97650
Burundi,201304,510,3300
Cabo Verde,201301,330,10960
Cabo Verde,201302,70800,287170
Cabo Verde,201303,50,5350
Cabo Verde,201304,350,21060
Cameroon,201301,1938176,6324470
Cameroon,201302,777490,2228254
Cameroon,201303,1656464,3345860
Cameroon,201304,1519934,5141675
Canada,201301,96651831,465554155
Canada,201302,84366440,394315296
Canada,201303,148620471,446598186
Canada,201304,86586052,482371752
Central African Rep.,201301,98376014,93890410
Central African Rep.,201302,640,32400
Central African Rep.,201304,9330,47800
Chile,201301,206069664,187069446
Chile,201302,187179326,166911670
Chile,201303,153991235,245092813
Chile,201304,71747037,194907018
China,201301,3260139823,11424795178
China,201302,3177483572,10391200933
China,201303,3355508252,11698578500
China,201304,3409095237,12151848663
"China, Hong Kong SAR",201301,280650379,2214374158
"China, Hong Kong SAR",201302,294383280,1910074925
"China, Hong Kong SAR",201303,488988999,2566947921
"China, Hong Kong SAR",201304,181066482,2164883052
Colombia,201301,27791810,115916299
Colombia,201302,58697295,112040789
Colombia,201303,42236019,116703233
Colombia,201304,24437841,100997649
Croatia,201301,993619,3332365
Croatia,201302,750500,2763828
Croatia,201303,438943,1546443
Croatia,201304,3623794,4519000
Cyprus,201301,527519,3078271
Cyprus,201302,560910,3260328
Cyprus,201303,413032,2192775
Cyprus,201304,386834,2871254
Czech Rep.,201301,19789224,160689814
Czech Rep.,201302,20633926,150381638
Czech Rep.,201303,18475272,129936176
Czech Rep.,201304,19167860,126762102
Denmark,201301,4922211,26889002
Denmark,201302,5302225,30634096
Denmark,201303,6773366,33435694
Denmark,201304,5158741,29917949
Dominica,201301,95930,223540
Dominica,201302,84416,188700
Dominica,201303,76836,359010
Dominica,201304,22090,123330
Dominican Rep.,201301,2460256,10443977
Dominican Rep.,201302,1989708,9919870
Dominican Rep.,201303,3058084,13637600
Dominican Rep.,201304,3351819,12599209
Ecuador,201301,16578833,68198884
Ecuador,201302,53872340,91660111
Ecuador,201303,21943320,78990150
Ecuador,201304,51109413,111092180
