partner_country,period,net_weight,usd_value
Albania,201001,52460,40983
Albania,201004,13400,56107
Albania,201005,50000,147500
Albania,201006,50000,125000
Albania,201007,97920,85962
Albania,201009,3314939,729287
Albania,201010,3309460,875799
Albania,201011,48820,60537
Albania,201012,5914330,1478583
Albania,201102,146774,216004
Albania,201103,47356,69140
Albania,201104,134335,116633
Albania,201105,238653,216850
Albania,201106,212623,400562
Albania,201107,314104,223559
Albania,201109,37250,20296
Albania,201110,163170,180803
Albania,201111,197480,233026
Albania,201112,7359,11332
Albania,201204,8918,10108
Albania,201205,5117,8009
Albania,201206,7177,10122
Albania,201208,97390,44925
Albania,201209,64450,31974
Albania,201210,65990,33724
Albania,201301,10272,21905
Albania,201302,20000,52185
Albania,201308,57830,27207
Algeria,201201,20000,192050
Algeria,201202,40000,364400
Algeria,201203,40000,362400
Algeria,201204,50000,452400
Algeria,201206,10000,89500
Argentina,201006,404220,2629
Argentina,201011,59333,206611
Argentina,201012,139129,511222
Argentina,201207,37,4377
Argentina,201211,222884,4888
Armenia,201001,204,46187
Armenia,201002,38744,64039
Armenia,201003,67903,73204
Armenia,201005,26765,126567
Armenia,201006,76388,128286
Armenia,201007,9121,21491
Armenia,201008,64725,224446
Armenia,201009,158158,284692
Armenia,201010,117968,225871
Armenia,201011,83032,142615
Armenia,201012,51127,58741
Armenia,201101,671,15515
Armenia,201102,20287,88107
Armenia,201103,87879,189735
Armenia,201104,52284,473438
Armenia,201105,118121,445030
Armenia,201106,79024,134002
Armenia,201107,20816,100546
Armenia,201108,60510,135131
Armenia,201109,75014,904972
Armenia,201110,98790,322947
Armenia,201111,111914,55815
Armenia,201112,10105,21447
Armenia,201201,50640,34264
Armenia,201202,69693,78949
Armenia,201203,346568,228799
Armenia,201204,501815,224735
Armenia,201205,132968,97004
Armenia,201206,67393,90338
Armenia,201208,5571,230652
Armenia,201209,18739,24334
Armenia,201210,28000,73219
Armenia,201211,106356,195426
Armenia,201212,40494,105838
Armenia,201301,410,351
Armenia,201302,16579,147339
Armenia,201303,24744,48565
Armenia,201304,20764,77705
Armenia,201305,2485,64377
Armenia,201306,521,27299
Armenia,201307,18329,70953
Armenia,201308,2430,17057
Armenia,201309,46512,105911
Australia,201003,8418,12455
Australia,201005,9349,27961
Australia,201010,14448,40828
Australia,201011,57,13979
Australia,201012,4,1740
Australia,201102,10645,36779
Australia,201103,18796,55295
Australia,201106,6791,60581
Australia,201107,9532,29325
Australia,201108,42,3241
Australia,201109,35,12182
Australia,201110,12113,22435
Australia,201111,9397,37942
Australia,201201,2,3655
Australia,201202,9421,33969
Australia,201204,10163,74314
Australia,201205,14834,70225
Australia,201206,14916,101093
Australia,201207,13642,23159
Australia,201208,39,2949
Australia,201209,22,6509
Australia,201210,10259,33536
Australia,201211,10000,80000
Australia,201212,4512,22073
Australia,201301,31,40
Australia,201302,4651,21631
Australia,201303,9840,33559
Australia,201304,18,21
Australia,201305,11271,17669
Australia,201307,78,8065
Australia,201308,6305,46912
Australia,201309,35,2740
Austria,201001,273040,663725
Austria,201002,253866,447434
Austria,201003,421454,761941
Austria,201004,173410,323903
Austria,201005,147387,467868
Austria,201006,90651,721446
Austria,201007,233847,382118
Austria,201008,169530,78316
Austria,201009,434564,571905
Austria,201010,961616,1298996
Austria,201011,1224216,2875269
Austria,201012,882079,2195286
Austria,201101,177640,421515
Austria,201102,365921,601836
Austria,201103,1036145,1376282
Austria,201104,564765,1463856
Austria,201105,252611,1034656
Austria,201106,251971,708359
Austria,201107,105907,448810
Austria,201108,303169,458934
Austria,201109,768820,986629
Austria,201110,790043,1314199
Austria,201111,1450509,3188024
Austria,201112,245564,503967
Austria,201201,139374,949137
Austria,201202,354957,621362
Austria,201203,527689,1606614
Austria,201204,130319,226740
