partner_country,period,net_weight,usd_value
Albania,201001,6965211,6953095
Albania,201002,2682043,4917213
Albania,201003,5353851,6239972
Albania,201005,1740600,4549452
Albania,201006,5508400,3775716
Albania,201007,1794900,4206980
Albania,201008,4629700,5731108
Albania,201009,7298400,5744891
Albania,201010,4071900,4621973
Albania,201011,1923700,4960358
Albania,201012,2003600,3898131
Albania,201101,1020418,2500099
Albania,201102,1577722,2449918
Albania,201103,6683787,7944757
Albania,201104,4835104,6262738
Albania,201105,1937651,4408910
Albania,201106,1415759,4617693
Albania,201107,3678088,6519034
Albania,201108,1946567,5325539
Albania,201109,1500268,4757375
Albania,201110,2021340,4544878
Albania,201111,3108772,5912201
Albania,201112,2887034,5592984
Albania,201201,3669578,4482804
Albania,201202,3043401,4519154
Albania,201203,3944959,6301379
Albania,201204,3561009,5115451
Albania,201205,2546966,4786930
Albania,201206,2455416,4604265
Albania,201207,1893716,3710873
Albania,201208,6636378,6264473
Albania,201209,1954351,3281690
Albania,201210,2341770,4567847
Albania,201211,8502742,6669894
Albania,201212,1815758,2953869
Albania,201301,2118739,3415300
Albania,201302,4914304,4174296
Albania,201303,5027964,4931778
Albania,201304,1763672,3187317
Albania,201305,1663631,3715820
Albania,201306,3994974,4760445
Albania,201307,6284700,6643449
Albania,201308,1443600,2684584
Albania,201309,4239100,6004073
Albania,201310,1496500,3803060
Albania,201311,4581500,5113076
Algeria,201001,25984821,27212855
Algeria,201002,48142643,30895154
Algeria,201003,32780816,25047779
Algeria,201005,18349800,12841251
Algeria,201006,10616300,13506127
Algeria,201007,11125000,15134692
Algeria,201008,25217700,15317525
Algeria,201009,13921200,18488353
Algeria,201010,21072900,28131249
Algeria,201011,17705500,17696172
Algeria,201012,18258100,19466459
Algeria,201101,16486176,17169580
Algeria,201102,25198802,19660766
Algeria,201103,9938487,15132758
Algeria,201104,23214236,30592474
Algeria,201105,22999069,28179641
Algeria,201106,13151220,18657409
Algeria,201107,13288629,23591952
Algeria,201108,2458709,4907251
Algeria,201109,6196061,15471854
Algeria,201110,70895880,43830415
Algeria,201111,35225625,45112568
Algeria,201112,17108570,25168592
Algeria,201201,29253006,28527557
Algeria,201202,33603011,32520799
Algeria,201203,28575560,43018263
Algeria,201204,4210515,18970422
Algeria,201205,62595779,73563640
Algeria,201206,9083645,30827287
Algeria,201207,12093136,48032256
Algeria,201208,5930848,26645182
Algeria,201209,13019365,33029629
Algeria,201210,37680250,65433541
Algeria,201211,41910770,47003521
Algeria,201212,42072335,40622670
Algeria,201301,49250555,49037140
Algeria,201302,36731895,50722078
Algeria,201303,23983606,30963705
Algeria,201304,23862323,73567134
Algeria,201305,19899226,66271782
Algeria,201306,9644993,21260594
Algeria,201307,11289100,33097069
Algeria,201308,40988300,85899136
Algeria,201309,10488300,21787685
Algeria,201310,55299500,48116288
Algeria,201311,35998200,13162632
Antigua and Barbuda,201001,430,3574
Antigua and Barbuda,201002,2576,13900
Antigua and Barbuda,201003,133,731
Antigua and Barbuda,201008,2000,13895938
Antigua and Barbuda,201009,346600,13714606
Antigua and Barbuda,201011,6352500,11456
Antigua and Barbuda,201101,37,11434
Antigua and Barbuda,201102,20,5439
Antigua and Barbuda,201103,77,6276
Antigua and Barbuda,201105,39,156
Antigua and Barbuda,201108,206,21969
Antigua and Barbuda,201109,22,754
Antigua and Barbuda,201111,118,15854
Antigua and Barbuda,201112,7560,34314
Antigua and Barbuda,201202,290,2086
Antigua and Barbuda,201205,150,1233
Antigua and Barbuda,201206,2,220
Antigua and Barbuda,201210,42,13490
Antigua and Barbuda,201211,42,872
Antigua and Barbuda,201301,55,18834
Antigua and Barbuda,201310,28000,15353
Antigua and Barbuda,201311,1547300,202
Argentina,201001,53521,302124
Argentina,201002,49998,249301
Argentina,201003,530979,4121810
Argentina,201005,106600,284181
Argentina,201006,185100,444985
Argentina,201007,158200,338709
Argentina,201008,174100,406067
Argentina,201009,207600,465312
Argentina,201010,643300,1278317
Argentina,201011,69600,134474
Argentina,201012,178000,528727
Argentina,201101,89262,351268
Argentina,201102,88425,449071
Argentina,201103,63887,318988
Argentina,201104,99748,348530
Argentina,201105,89193,175661
Argentina,201106,177108,745759
Argentina,201107,95341,519937
Argentina,201108,27614061,9567838
Argentina,201109,91982,317115
Argentina,201110,96387,500803
Argentina,201111,207486,1043192
Argentina,201112,278851,1953225
Argentina,201201,273743,2356458
Argentina,201202,230527,2231693
Argentina,201203,292118,2362324
Argentina,201204,187917,2177527
Argentina,201205,175225,2135851
Argentina,201206,141178,1664382
Argentina,201207,226975,1647519
Argentina,201208,159443,1781204
Argentina,201209,22655897,7437664
Argentina,201210,147408,1549081
Argentina,201211,216399,1029231
Argentina,201212,153833,1192135
Argentina,201301,290417,2441135
Argentina,201302,164888,1786054
Argentina,201303,342340,2979234
Argentina,201304,344723,2529063
Argentina,201305,418094,2776855
Argentina,201306,468873,3372417
Argentina,201307,411900,3947047
Argentina,201308,576700,1699781
Argentina,201309,647600,1920432
Argentina,201310,640000,1483403
Argentina,201311,443100,331061
Armenia,201001,1006820,356820
Armenia,201002,249776,427709
Armenia,201003,136862,308579
Armenia,201005,1424100,1784128
Armenia,201006,1041400,396219
Armenia,201007,107900,441846
Armenia,201008,1164500,868117
Armenia,201009,28100,294538
Armenia,201010,7521600,2154146
Armenia,201011,9502500,2923920
Armenia,201012,510500,2339872
Armenia,201101,66336,194028
Armenia,201102,55008,203997
Armenia,201103,41861,217122
Armenia,201104,153044,427301
Armenia,201105,26945,252354
Armenia,201106,898335,1748323
Armenia,201107,339463,967933
Armenia,201108,117712,901163
Armenia,201109,531946,1132572
Armenia,201110,532336,991101
Armenia,201111,1012087,1199341
Armenia,201112,141100,563011
Armenia,201201,37757,169757
Armenia,201202,86068,125766
Armenia,201203,122550,468068
Armenia,201204,261637,1014551
Armenia,201205,213673,1537354
Armenia,201206,193221,623208
Armenia,201207,218867,411944
Armenia,201208,250181,336107
Armenia,201209,92672,429459
Armenia,201210,395738,604083
Armenia,201211,561354,737932
Armenia,201212,614354,796809
Armenia,201301,20715,75305
Armenia,201302,412696,718144
Armenia,201303,570827,539310
Armenia,201304,517708,708795
Armenia,201305,633481,591288
Armenia,201306,587382,676525
Armenia,201307,445500,939001
Armenia,201308,167100,478270
Armenia,201309,266300,1133806
Armenia,201310,220400,710473
Armenia,201311,130100,371936
Aruba,201110,17,6154
Aruba,201201,28,11736
Aruba,201203,48,392
Australia,201001,118699,924186
Australia,201002,199067,2506105
Australia,201003,256660,2169830
Australia,201005,216000,1707345
Australia,201006,492900,2184190
Australia,201007,207800,1010665
Australia,201008,176500,980617
Australia,201009,285400,1488579
Australia,201010,233700,1138315
Australia,201011,178000,1535483
Australia,201012,230400,1546338
Australia,201101,324593,1085503
Australia,201102,237331,1682785
Australia,201103,253868,2403605
Australia,201104,222280,2670300
Australia,201105,381579,3395039
Australia,201106,323566,3565191
Australia,201107,333589,3867253
Australia,201108,328952,4266394
Australia,201109,523872,6146409
Australia,201110,421304,1715682
Australia,201111,352577,1977570
Australia,201112,218465,1974392
Australia,201201,339812,1748847
Australia,201202,417552,2157777
Australia,201203,566610,3095878
Australia,201204,477681,1637424
Australia,201205,565374,4772097
Australia,201206,793192,2838522
Australia,201207,819958,4309498
Australia,201208,797516,2665294
Australia,201209,1103313,2501513
Australia,201210,749328,3395618
Australia,201211,348060,2218768
Australia,201212,896360,2413788
Australia,201301,682480,3206198
Australia,201302,587726,2772889
Australia,201303,660972,2658153
Australia,201304,492906,2580368
Australia,201305,682535,3107702
Australia,201306,608876,2411627
Australia,201307,439200,2850741
Australia,201308,466100,2625376
Australia,201309,498700,3184270
Australia,201310,421700,3994066
Australia,201311,608200,3001008
Austria,201001,29159759,82485140
Austria,201002,37779566,78604682
Austria,201003,34471342,92686563
Austria,201005,40058700,93997939
Austria,201006,39806500,96401359
Austria,201007,49772900,98864753
Austria,201008,55338100,93258887
Austria,201009,53117400,101421724
Austria,201010,52825500,115907514
Austria,201011,54688200,114529361
Austria,201012,40046500,83992889
Austria,201101,61373919,97209943
Austria,201102,66147347,110167047
Austria,201103,70764890,126075791
Austria,201104,139550330,118386232
Austria,201105,160563313,129672010
Austria,201106,147418835,131365721
Austria,201107,160910304,128670355
Austria,201108,137108982,116119602
Austria,201109,146975931,121503226
Austria,201110,127876554,121342077
Austria,201111,71106128,118013640
Austria,201112,53846869,78775224
Austria,201201,72653271,104010279
Austria,201202,63066518,110567310
Austria,201203,89944943,117583352
Austria,201204,54546465,103783237
Austria,201205,65144546,115726870
Austria,201206,55530752,112197609
Austria,201207,54656559,104869379
Austria,201208,50104634,90484961
Austria,201209,68196798,122049340
Austria,201210,83422545,138118475
Austria,201211,67877760,123106475
Austria,201212,55671026,83721959
Austria,201301,57631396,107359835
Austria,201302,62334537,114504371
Austria,201303,74070884,116166288
Austria,201304,78647818,122381059
Austria,201305,80134169,128662528
Austria,201306,73620724,129155823
Austria,201307,97008100,155937604
Austria,201308,70334800,119573722
Austria,201309,84586900,151577398
Austria,201310,77712400,161472383
Austria,201311,89293700,155853232
Azerbaijan,201001,510080,1343013
