partner_country,period,net_weight,usd_value
Albania,201301,2871683,813319
Albania,201302,15322631,5041317
Albania,201303,5248867,1738993
Albania,201304,11181842,3264073
Algeria,201301,31233658,81125037
Algeria,201302,34598597,69492905
Algeria,201303,17819927,333897170
Algeria,201304,137320612,129953159
Argentina,201301,43092664,40464633
Argentina,201302,2578045,2373441
Argentina,201303,10908543,6378701
Argentina,201304,9520439,5864429
Armenia,201301,14595127,83702268
Armenia,201302,23492810,93052956
Armenia,201303,16298992,76010968
Armenia,201304,17423338,63942659
Australia,201301,1072065,2235779
Australia,201302,2095267,3467309
Australia,201303,3849497,4591880
Australia,201304,12371528,7638825
Austria,201301,12434977,166255745
Austria,201302,12830001,178626679
Austria,201303,18411985,214487105
Austria,201304,15731168,64965263
Azerbaijan,201301,158937523,147725480
Azerbaijan,201302,149935175,168180458
Azerbaijan,201303,168140743,312018285
Azerbaijan,201304,226200979,462111014
Bahrain,201301,14804923,8004095
Bahrain,201302,151209,177233
Bahrain,201303,213460,103851
Belarus,201301,2141643014,1607156766
Belarus,201302,2101583439,1596567053
Belarus,201303,2490281775,1633703627
Belarus,201304,2523885248,1468940398
Belgium,201301,573276222,598252936
Belgium,201302,528735629,645620852
Belgium,201303,532357908,737747354
Belgium,201304,733807544,744442908
Bolivia (Plurinational State of),201301,367458,730160
Bolivia (Plurinational State of),201302,706192,431565
Bolivia (Plurinational State of),201303,229028,351950
Bolivia (Plurinational State of),201304,351480,683487
Bosnia Herzegovina,201301,93557094,86849048
Bosnia Herzegovina,201302,37338528,42398477
Bosnia Herzegovina,201303,60551548,56020283
Bosnia Herzegovina,201304,35579399,32190067
Brazil,201301,376319444,110837798
Brazil,201302,373430351,116938290
Brazil,201303,507387671,181174893
Brazil,201304,472548182,170012096
Bulgaria,201301,351511219,319866812
Bulgaria,201302,328821347,315178008
Bulgaria,201303,309366654,301237062
Bulgaria,201304,97341103,76803576
Burkina Faso,201303,240,4904
Burundi,201302,33192,11854
Burundi,201303,33331,11904
Cameroon,201301,122189,70654
Cameroon,201302,5472092,1867234
Cameroon,201303,10298489,4214924
Cameroon,201304,4036300,1987634
Canada,201301,34594251,26562409
Canada,201302,6734098,22434020
Canada,201303,6862344,33848600
Canada,201304,25761321,43222907
Chile,201301,875919,1967055
Chile,201302,7206711,3891186
Chile,201303,5756794,3850051
Chile,201304,10043611,5319421
China,201301,5973196530,2293914546
China,201302,7660745845,2821417963
China,201303,7779662466,3373134975
China,201304,7191386162,2807488358
"China, Hong Kong SAR",201301,20745086,82920117
"China, Hong Kong SAR",201302,5167869,63436517
"China, Hong Kong SAR",201303,3429877,136514878
"China, Hong Kong SAR",201304,6685154,143328819
Colombia,201301,7770962,7797636
Colombia,201302,42920092,18004623
Colombia,201303,58719214,23211123
Colombia,201304,32384980,13890602
Croatia,201301,168084301,130158410
Croatia,201302,17576134,19205580
Croatia,201303,114679507,94009454
Croatia,201304,2438544,9578122
Cyprus,201301,57448794,60538398
Cyprus,201302,352205268,325623473
Cyprus,201303,188947492,196748685
Cyprus,201304,182615238,171701378
Czech Rep.,201301,419282508,386214379
Czech Rep.,201302,370684033,307417007
Czech Rep.,201303,352442236,271973998
Czech Rep.,201304,388637011,374280703
Denmark,201301,276611557,114835895
Denmark,201302,257619810,84093840
Denmark,201303,201225020,86788996
Denmark,201304,441068604,259220534
Dominica,201304,57600,180534
Dominican Rep.,201301,675292,372622
Dominican Rep.,201302,956906,558280
Dominican Rep.,201303,260040,215256
Dominican Rep.,201304,3649561,2360115
Ecuador,201301,10759579,4962089
Ecuador,201302,8779772,4161716
Ecuador,201303,29002077,10821779
Ecuador,201304,30413320,12725427
Egypt,201301,213196824,122034848
Egypt,201302,160845518,94449269
Egypt,201303,152213494,183519253
Egypt,201304,195768108,114348416
El Salvador,201301,95172,78495
El Salvador,201302,42722,25969
El Salvador,201303,10211026,4872181
Estonia,201301,332253162,259854428
Estonia,201302,557214675,363164569
Estonia,201303,528143689,358119405
Estonia,201304,579430385,437641342
Ethiopia,201301,318558,2173410
Ethiopia,201302,119594,4653586
Ethiopia,201303,54578,1221869
Ethiopia,201304,3156982,2186260
Faeroe Isds,201301,296133,252919
Faeroe Isds,201302,332782,240607
Faeroe Isds,201303,227294,219242
Faeroe Isds,201304,202735,249885
Finland,201301,1436871238,873095942
