partner_country,period,net_weight,usd_value
Algeria,201001,8000,73933
Algeria,201008,168,323
Argentina,201210,8,4
Australia,201002,626,58960
Australia,201006,350,74142
Australia,201007,150,23523
Australia,201010,759,1284
Australia,201011,15000,92743
Australia,201012,9094,60940
Australia,201101,817,170028
Australia,201102,18704,223383
Australia,201104,338,50046
Australia,201105,17652,212051
Australia,201106,22300,120380
Australia,201107,25323,363676
Australia,201108,43283,532272
Australia,201109,11089,777119
Australia,201110,58140,1245504
Australia,201112,935,19487
Australia,201201,27452,416686
Australia,201204,253,2000
Australia,201205,25,10
Australia,201206,1145,299665
Australia,201208,270,84
Australia,201210,24,10
Australia,201211,1858,33982
Australia,201301,954,293681
Australia,201304,239,7226
Australia,201305,145,1442
Australia,201307,1,443
Australia,201310,5,643
Australia,201311,904,5730
Australia,201312,908,135252
Austria,201009,24640,236284
Austria,201010,2,10
Austria,201203,14,110
Austria,201304,360,6
Bahrain,201010,1,8395
Bahrain,201108,227440,347600
Bahrain,201111,148065,213954
Bahrain,201202,67616,65594
Bahrain,201207,25981,51509
Belgium,201001,43879,271045
Belgium,201002,150208,801365
Belgium,201003,53292,491838
Belgium,201004,298497,1203011
Belgium,201005,807302,2764092
Belgium,201006,1218563,3699150
Belgium,201007,1440083,4539538
Belgium,201008,1242886,3915400
Belgium,201009,517763,2541139
Belgium,201010,341226,1826256
Belgium,201011,287793,2032889
Belgium,201012,268945,2205214
Belgium,201101,162839,1377030
Belgium,201102,157630,2526654
Belgium,201103,285259,4666013
Belgium,201104,83379,799113
Belgium,201105,278671,2537056
Belgium,201106,591521,4787892
Belgium,201107,916520,6938928
Belgium,201108,811183,5936081
Belgium,201109,329484,2622906
Belgium,201110,560769,4595582
Belgium,201111,544842,5085364
Belgium,201112,441200,5038704
Belgium,201201,180617,2293410
Belgium,201202,1678,61905
Belgium,201203,7783,119799
Belgium,201204,25560,149383
Belgium,201205,18547,57095
Belgium,201206,21695,79821
Belgium,201207,111490,178151
Belgium,201208,64694,109308
Belgium,201209,54361,71737
Belgium,201210,4673,65497
Belgium,201211,5395,20832
Belgium,201212,355681,480859
Belgium,201301,47781,170718
Belgium,201302,5108,3368
Belgium,201303,41250,96394
Belgium,201304,14234,113018
Belgium,201305,65177,109232
Belgium,201306,41724,101198
Belgium,201307,25853,80490
Belgium,201308,25929,43789
Belgium,201309,36866,98703
Belgium,201310,4112,8757
Belgium,201311,19961,79676
Belgium,201312,13603,30856
Bolivia (Plurinational State of),201201,112,20
Bosnia Herzegovina,201212,20,4253
Bosnia Herzegovina,201307,134,1999
Brazil,201106,95,1
Brazil,201107,216,2004
Brazil,201309,12500,10497
Bulgaria,201112,4500,34621
Burkina Faso,201003,395,3784
Burkina Faso,201005,363,2459
Burkina Faso,201007,1537,6775
Burkina Faso,201009,292,493
Burkina Faso,201010,796,1978
Burkina Faso,201101,1833,16656
Burkina Faso,201103,449,2000
Burkina Faso,201105,1794,1431118
Burkina Faso,201108,357,1000
Burkina Faso,201208,5628,131905
Burkina Faso,201311,214,8858
Burundi,201001,571035,209694
Burundi,201002,667743,281400
Burundi,201003,726911,589139
Burundi,201004,1231173,421918
Burundi,201005,723418,219669
