partner_country,period,net_weight,usd_value
Albania,201001,3483,21694
Albania,201002,1989,12237
Albania,201003,4151,25237
Albania,201004,37574,219797
Albania,201005,3515,27399
Albania,201006,2518,14650
Albania,201007,16370,41157
Albania,201008,14367,61687
Albania,201009,1653,15866
Albania,201010,1247,12639
Albania,201011,2327,24948
Albania,201012,6013,21206
Albania,201101,11273,20354
Albania,201102,4837,51129
Albania,201103,29619,96238
Albania,201104,6887,68626
Albania,201105,3264,28835
Albania,201106,26363,185750
Albania,201107,5305,59086
Albania,201108,7467,127286
Albania,201109,2704,30045
Albania,201110,1948,27182
Albania,201111,40209,81206
Albania,201112,430138,571641
Albania,201201,364950,451618
Albania,201202,181561,241716
Albania,201203,193082,249530
Albania,201204,317387,400930
Albania,201205,451280,549402
Albania,201206,96818,121013
Albania,201208,9762,35515
Albania,201209,6350,32144
Albania,201210,12950,46095
Albania,201211,7300,51736
Albania,201212,21245,79712
Albania,201301,301688,713449
Albania,201302,485662,692130
Albania,201303,581210,1008008
Albania,201304,315475,442955
Albania,201305,491275,605722
Albania,201306,129845,207119
Albania,201307,17117,65685
Albania,201308,396,3858
Albania,201309,6950,63238
Albania,201310,2253,5479
Algeria,201002,24150,30794
Algeria,201008,27038,44158
Algeria,201009,26962,42930
Algeria,201012,27020,42378
Algeria,201102,27081,403014
Algeria,201103,710,8702
Algeria,201104,23279,66053
Algeria,201105,2000,3797
Algeria,201106,54022,102338
Algeria,201107,27209,52279
Algeria,201108,131,739
Algeria,201109,54401,94059
Algeria,201110,27291,48127
Algeria,201112,17787,17997
Algeria,201201,27155,45011
Algeria,201203,27721,56763
Algeria,201205,96,761
Algeria,201206,25994,46325
Algeria,201207,467,2148
Algeria,201208,26768,46419
Algeria,201211,24023,34977
Algeria,201212,631,4625
Algeria,201302,1007,6228
Algeria,201303,669,2792
Algeria,201304,1724,19857
Algeria,201305,770,5396
Algeria,201306,27642,59050
Algeria,201307,55635,124676
Algeria,201308,54042,117774
Algeria,201309,40865,90278
Algeria,201310,419,2674
Antigua and Barbuda,201009,545,3192
Antigua and Barbuda,201010,285,2308
Antigua and Barbuda,201011,480,3963
Antigua and Barbuda,201105,2,202
Antigua and Barbuda,201106,8766,9433
Antigua and Barbuda,201107,12700,13574
Antigua and Barbuda,201109,11400,69188
Antigua and Barbuda,201110,11808,71210
Antigua and Barbuda,201206,484,3853
Antigua and Barbuda,201210,87,1300
Antigua and Barbuda,201301,377,3651
Antigua and Barbuda,201302,456,1441
Antigua and Barbuda,201303,23498,135882
Antigua and Barbuda,201304,25660,33014
Antigua and Barbuda,201305,20380,108572
Antigua and Barbuda,201306,23262,108921
Antigua and Barbuda,201309,84056,509831
Antigua and Barbuda,201310,20000,3150
Argentina,201003,2000,6926
Argentina,201105,10000,45533
Argentina,201111,10000,37874
Argentina,201112,6000,22439
Argentina,201201,10000,35721
Argentina,201207,10000,35901
Argentina,201210,10000,37914
Argentina,201211,26976,72127
Argentina,201310,10000,42276
Armenia,201203,473,5635
Armenia,201204,881,11165
Armenia,201210,252,2306
Armenia,201301,1140,15134
Armenia,201305,667,7793
Australia,201006,98,419
Australia,201007,170,390
Australia,201009,203,8
Australia,201010,96,809
Australia,201012,1311,725
Australia,201103,1623,2575
Australia,201106,20070,64466
Australia,201107,310,1050
Australia,201109,314,94779
Australia,201111,29,2034
Australia,201202,1265,3523
Australia,201203,355,6311
Australia,201204,72813,267025
Australia,201205,200,487
Australia,201206,83000,6605
Australia,201207,88,946
Australia,201210,26,244
Australia,201212,9800,67383
Australia,201301,192,975
Australia,201302,590,2204
Australia,201303,175,454
Australia,201306,275,603
Australia,201307,8690,87034
Australia,201308,250,292
Austria,201001,15,1160
Austria,201002,10,582
Austria,201004,3092,32606
Austria,201012,1000,3023
Austria,201102,3500,20474
Austria,201106,76,4991
Austria,201108,132,34536
Austria,201109,34,1147
Austria,201111,535,7863
Austria,201206,67,286
Austria,201212,4600,37925
Austria,201304,6710,57958
Austria,201308,1000,1086
Austria,201310,2500,3119
