partner_country,period,net_weight,usd_value
Albania,201001,16178468,7603997
Albania,201002,13331235,8228658
Albania,201003,19947502,7604650
Albania,201004,19619435,7792539
Albania,201005,32599415,14710962
Albania,201006,19147381,7795443
Albania,201007,33542501,10853449
Albania,201008,25670572,16606772
Albania,201009,27755464,14627799
Albania,201010,27021843,12783577
Albania,201011,28182669,11253867
Albania,201012,26530951,11337736
Albania,201101,14213008,7256018
Albania,201102,16074703,8141655
Albania,201103,15891438,9025015
Albania,201104,19459411,10990578
Albania,201105,18492472,15766994
Albania,201106,19674202,11516217
Albania,201107,26259410,13825973
Albania,201108,34213951,16745259
Albania,201109,19307098,10389442
Albania,201110,9146971,8837674
Albania,201111,12168907,6364941
Albania,201112,15778564,7758470
Albania,201201,8089656,3435462
Albania,201202,5992534,3655428
Albania,201203,10144274,6000271
Albania,201204,12606487,7518924
Albania,201205,11243467,7004687
Albania,201206,17953132,10512586
Albania,201207,20287080,9896862
Albania,201208,20344955,9403919
Albania,201209,27461844,11519958
Albania,201210,9837442,5739283
Albania,201211,13175051,6433778
Albania,201212,11416667,6141991
Albania,201301,7745975,4983600
Albania,201302,13918215,7617095
Albania,201303,16903603,9490545
Albania,201304,15909495,12802144
Albania,201305,12574714,7578552
Albania,201306,17182922,9534893
Albania,201307,20005948,10160919
Albania,201308,20006100,12884883
Albania,201309,21055183,12114239
Algeria,201001,116259,391317
Algeria,201002,282529,1865344
Algeria,201003,159699,684605
Algeria,201004,7352,411486
Algeria,201005,1542,138824
Algeria,201006,985877,1192156
Algeria,201007,91009,197826
Algeria,201008,105916,763501
Algeria,201009,57928,806692
Algeria,201010,82693,739593
Algeria,201011,28504,160581
Algeria,201012,73428,3421083
Algeria,201101,33171,211689
Algeria,201103,21346,123341
Algeria,201104,122543,793462
Algeria,201105,37225,700627
Algeria,201106,147526,1100804
Algeria,201107,148252,920932
Algeria,201108,147703,778737
Algeria,201109,359918,627117
Algeria,201110,26445,776607
Algeria,201111,76523,648677
Algeria,201112,84474,1328224
Algeria,201201,172641,1499102
Algeria,201202,189531,1622119
Algeria,201203,36379,1113100
Algeria,201204,232494,1194233
Algeria,201205,245814,1542548
Algeria,201206,22775,404003
Algeria,201207,54136,805302
Algeria,201208,135685,881532
Algeria,201209,47371,1133615
Algeria,201210,305839,8614129
Algeria,201211,300563,3742992
Algeria,201212,113455,3446349
Algeria,201301,41159,717144
Algeria,201302,187479,1314620
Algeria,201303,306326,1901828
Algeria,201304,26262,643584
Algeria,201305,21805,589740
Algeria,201306,76084,938793
Algeria,201307,101470,986185
Algeria,201308,31150,484338
Algeria,201309,184257,1666011
Argentina,201002,4142,103333
Argentina,201004,2184,37214
Argentina,201005,38,779
Argentina,201006,2,213
Argentina,201007,45,684
Argentina,201008,7441,56150
Argentina,201009,27,147
Argentina,201010,3656,91606
Argentina,201011,42,245
Argentina,201101,3,651
Argentina,201102,6074,112348
Argentina,201103,17000,35212
Argentina,201104,20491,70393
Argentina,201106,10245,67660
Argentina,201107,17,4083
Argentina,201108,8300,18719
Argentina,201109,5880,11097
Argentina,201110,480,37473
Argentina,201111,5974,44147
Argentina,201112,3546,62387
Argentina,201201,19052,159349
Argentina,201203,6201,115982
Argentina,201205,94,1727
Argentina,201208,6209,105474
Argentina,201209,28,1007
Argentina,201210,18,2
Argentina,201211,6386,105910
Argentina,201212,15,932
Argentina,201301,69,4546
Argentina,201302,2203,15096
Argentina,201303,711,75857
Argentina,201304,8005,27234
Argentina,201305,19000,44690
Argentina,201306,1275,26097
Argentina,201307,7221,28970
Argentina,201308,8092,227796
Armenia,201002,3812,91900
Armenia,201003,3801,67175
Armenia,201004,2632,32216
Armenia,201005,2801,57251
Armenia,201006,3660,75139
Armenia,201008,1332,32529
Armenia,201009,7517,78387
Armenia,201010,2045,55907
Armenia,201012,7371,158452
Armenia,201101,17,55
Armenia,201102,4135,103989
Armenia,201104,7118,55399
Armenia,201105,450,1323
Armenia,201106,15519,151307
Armenia,201108,1844,60356
Armenia,201109,1100,32104
Armenia,201110,3884,108678
Armenia,201112,6377,146417
Armenia,201201,269,20052
Armenia,201202,3163,77412
Armenia,201204,3736,95386
Armenia,201205,2922,48432
Armenia,201206,3175,74799
Armenia,201207,8852,137917
Armenia,201208,11089,99807
Armenia,201209,3977,36616
Armenia,201210,11675,137376
Armenia,201211,14440,93254
Armenia,201212,26623,255206
Armenia,201301,50,11717
Armenia,201302,12612,229253
Armenia,201303,233,12116
Armenia,201304,37288,450116
Armenia,201306,25479,324537
Armenia,201307,2274,22110
Armenia,201308,8424,261916
Armenia,201309,22840,226086
Australia,201001,148396,282975
Australia,201002,85598,250714
Australia,201003,198038,902785
Australia,201004,90186,203361
Australia,201005,41006,98292
Australia,201006,85148,413204
Australia,201007,170373,697903
Australia,201008,128690,365564
Australia,201009,96434,208453
Australia,201010,132421,444978
Australia,201011,105672,353473
Australia,201012,149263,431135
Australia,201101,109050,677353
Australia,201102,137671,476374
Australia,201103,178860,471901
Australia,201104,138582,638912
Australia,201105,123568,445649
Australia,201106,38801,415264
Australia,201107,153540,487207
Australia,201108,163741,594276
Australia,201109,152982,467790
Australia,201110,187185,776845
Australia,201111,176002,482682
Australia,201112,165172,670105
Australia,201201,92660,184691
Australia,201202,62808,189057
Australia,201203,264207,904149
Australia,201204,345215,1007357
Australia,201205,232681,780676
Australia,201206,82991,486806
Australia,201207,162402,652203
Australia,201208,156461,665611
Australia,201209,231873,723437
Australia,201210,248280,1011483
Australia,201211,170588,546414
Australia,201212,250591,905442
Australia,201301,180720,362875
Australia,201302,266841,1029086
Australia,201303,293267,1435935
Australia,201304,145116,540070
Australia,201305,145169,562582
Australia,201306,158759,797192
Australia,201307,249455,841652
Australia,201308,183799,884163
Australia,201309,118791,263426
Austria,201001,24092856,27971274
Austria,201002,19878719,25552699
Austria,201003,27267486,30408412
Austria,201004,19560743,25240912
Austria,201005,25630982,31002868
Austria,201006,28737580,30418618
Austria,201007,24184220,26091976
Austria,201008,18595545,25343094
Austria,201009,19332898,28433803
Austria,201010,22896937,31089466
Austria,201011,18230531,31638142
Austria,201012,24088898,25226523
Austria,201101,23634694,23367177
Austria,201102,20614954,30721250
Austria,201103,26245738,41660957
Austria,201104,16519599,32173600
Austria,201105,22292707,35111398
Austria,201106,19814512,33040089
Austria,201107,19667598,35122126
Austria,201108,15021590,35403644
Austria,201109,13238256,25683569
Austria,201110,15975335,26257693
Austria,201111,12676232,25924736
Austria,201112,13804306,27174457
Austria,201201,17023636,21424886
Austria,201202,9916425,18957902
Austria,201203,14789570,27277519
Austria,201204,11698616,23164184
Austria,201205,9310736,21985230
Austria,201206,11899918,24022578
Austria,201207,9823637,23039669
Austria,201208,9186572,22510470
Austria,201209,8795444,22811037
Austria,201210,8085469,26903822
Austria,201211,8311064,26003611
Austria,201212,7723170,25480725
Austria,201301,8306376,28913177
Austria,201302,9372300,27833232
Austria,201303,10372873,22840057
Austria,201304,11499779,24796408
Austria,201305,9466019,21413359
