partner_country,period,net_weight,usd_value
Albania,201101,921,2700
Albania,201102,120,5361
Albania,201103,200,4673
Albania,201104,515450,72755
Albania,201105,54000,62385
Albania,201106,11,1599
Albania,201107,60070,207797
Albania,201108,20000,94103
Albania,201109,20000,143033
Albania,201110,598718,88817
Albania,201111,25350,81755
Albania,201112,20000,80020
Albania,201201,900,1468
Albania,201202,350,2119
Albania,201203,370,3167
Albania,201204,206400,237538
Albania,201205,74720,158313
Albania,201206,40020,138374
Albania,201207,10,5792
Albania,201208,100330,308245
Albania,201209,80320,220766
Albania,201210,60180,182445
Albania,201211,20010,134633
Albania,201212,90720,5350
Albania,201301,4,17190
Albania,201303,77132,62682
Albania,201304,25860,37744
Albania,201305,300,19401
Albania,201306,94800,101040
Algeria,201001,14463,6264096
Algeria,201002,32728,29573853
Algeria,201003,20113,8462616
Algeria,201004,28976,24974553
Algeria,201005,8345,34813876
Algeria,201006,61781,25023518
Algeria,201007,11230,9463778
Algeria,201008,52104,14974504
Algeria,201009,33488,7999611
Algeria,201010,33520,16499329
Algeria,201011,7200,7110041
Algeria,201012,68310,14584236
Algeria,201101,345497,20263413
Algeria,201102,500371,2466537
Algeria,201103,669651,2585993
Algeria,201104,698764,8732533
Algeria,201105,198170,3233943
Algeria,201106,274482,5252739
Algeria,201107,289090,6269674
Algeria,201108,232174,3451974
Algeria,201109,231165,2665658
Algeria,201110,154506,4170309
Algeria,201111,387086,115010047
Algeria,201112,180200,8157564
Algeria,201201,180060,2308409
Algeria,201202,27402,1694064
Algeria,201203,97825,3385073
Algeria,201204,77995,8702962
Algeria,201205,52459,4336315
Algeria,201206,22587,5102056
Algeria,201207,60568,6752024
Algeria,201208,49950,2282191
Algeria,201209,80184,3544382
Algeria,201210,40232,1357512
Algeria,201211,94968,2037977
Algeria,201212,197412,2691458
Algeria,201301,120905,6601635
Algeria,201302,14116,1927702
Algeria,201303,78590,6174171
Algeria,201304,16674,5198738
Algeria,201305,15977,7094229
Algeria,201306,102381,4575166
Antigua and Barbuda,201001,850645,43695283
Antigua and Barbuda,201002,2,51417726
Antigua and Barbuda,201003,2002,46774971
Antigua and Barbuda,201004,3501,45524604
Antigua and Barbuda,201005,152,58340653
Antigua and Barbuda,201006,787,49618995
Antigua and Barbuda,201007,579,58631450
Antigua and Barbuda,201008,315,51290031
Antigua and Barbuda,201009,222,53062991
Antigua and Barbuda,201010,74070,48011972
Antigua and Barbuda,201011,3,46273217
Antigua and Barbuda,201012,161,39940484
Antigua and Barbuda,201101,720,61049187
Antigua and Barbuda,201102,972802,53884014
Antigua and Barbuda,201103,886599,60749039
Antigua and Barbuda,201104,2419471,63319414
Antigua and Barbuda,201105,1450867,55931270
Antigua and Barbuda,201106,1799877,56717239
Antigua and Barbuda,201107,1454957,53913515
Antigua and Barbuda,201108,1415795,60446915
Antigua and Barbuda,201109,61696000,53263404
Antigua and Barbuda,201110,1779442,55736373
Antigua and Barbuda,201111,600,53492696
Antigua and Barbuda,201112,1402457,41782889
Antigua and Barbuda,201201,1897862,61995097
Antigua and Barbuda,201202,808372,54643615
Antigua and Barbuda,201203,1599460,42111659
Antigua and Barbuda,201204,2149734,62299285
Antigua and Barbuda,201205,681213,68789196
Antigua and Barbuda,201206,909648,56396475
Antigua and Barbuda,201207,1130503,35459582
Antigua and Barbuda,201208,595243,47756454
Antigua and Barbuda,201209,1551532,42592561
Antigua and Barbuda,201210,2136258,26641987
Antigua and Barbuda,201211,1892317,41086289
Antigua and Barbuda,201212,6203,35503119
Antigua and Barbuda,201301,1955475,34468885
Antigua and Barbuda,201302,53408000,45273767
Antigua and Barbuda,201303,35574000,35820716
Antigua and Barbuda,201304,42696000,40997260
Antigua and Barbuda,201305,1658148,32188323
Antigua and Barbuda,201306,1499968,31078549
Argentina,201001,723734,9581296
Argentina,201002,611522,8338194
Argentina,201003,667526,11274126
Argentina,201004,2465770,23879476
Argentina,201005,2200847,14370580
Argentina,201006,3639818,30022564
Argentina,201007,3409031,29218112
Argentina,201008,2822507,23366118
Argentina,201009,2857205,24759105
Argentina,201010,2800331,16848268
Argentina,201011,3096040,19972192
Argentina,201012,915142,13187069
Argentina,201101,662555,12092784
Argentina,201102,1137859,18517319
Argentina,201103,7267259,26831878
Argentina,201104,1755529,16247586
Argentina,201105,682092,11800181
Argentina,201106,1045381,11955323
Argentina,201107,769866,15794957
Argentina,201108,297041,14196088
Argentina,201109,387487,19861292
Argentina,201110,275714,22774042
Argentina,201111,339265,13307015
Argentina,201112,184057,20894781
Argentina,201201,336333,25973708
Argentina,201202,133268,7589466
Argentina,201203,141261,9828360
Argentina,201204,234671,10477756
Argentina,201205,19487817,35994520
Argentina,201206,400185,17071668
Argentina,201207,155169,15901706
Argentina,201208,7886623,28277432
Argentina,201209,198112,11453115
Argentina,201210,178483,19229790
Argentina,201211,355487,15298770
Argentina,201212,414883,8954636
Argentina,201301,199850,13339258
Argentina,201302,147733,11054051
Argentina,201303,296169,11874428
Argentina,201304,282196,13991706
Argentina,201305,123599,17523617
Argentina,201306,294521,13328521
Armenia,201101,54875,944934
Armenia,201102,63600,354288
Armenia,201103,71485,270414
Armenia,201104,89706,490800
Armenia,201105,72085,322881
Armenia,201106,36010,199607
Armenia,201107,46880,211498
Armenia,201108,15213,507772
Armenia,201109,89720,311597
Armenia,201110,38120,444595
Armenia,201111,69262,257228
Armenia,201112,19000,121647
Armenia,201201,19001,230839
Armenia,201202,38000,108711
Armenia,201203,59440,684137
Armenia,201204,88520,336703
Armenia,201205,53256,233968
Armenia,201206,19000,505788
Armenia,201207,37760,1294885
Armenia,201208,38000,615532
Armenia,201209,37930,235612
Armenia,201210,19313,53240
Armenia,201211,89014,258453
Armenia,201212,18719,139261
Armenia,201301,37812,129653
Armenia,201302,55450,156576
Armenia,201303,74620,200867
Armenia,201304,51806,195239
Armenia,201306,31318,102343
Aruba,201103,10408,37665
Aruba,201105,261,14281
Aruba,201106,67,35666
Aruba,201107,26,921
Aruba,201108,1983,2062
Aruba,201109,65538840,78045
Aruba,201110,31554850,23092
Aruba,201112,145829130,22413
Aruba,201201,2095123,5684
Aruba,201203,14370,86880
Aruba,201204,26440850,10782
Aruba,201208,13570,79207
Aruba,201301,222069950,27507
Aruba,201302,31039340,11710
Aruba,201303,959120,3956
Aruba,201304,40,24542
Aruba,201305,59090785,26914
Australia,201001,21912541,1108725109
Australia,201002,20780785,1175326836
Australia,201003,28461729,1418235350
Australia,201004,29016164,1555119051
Australia,201005,22777402,1485194878
Australia,201006,27382888,1613738183
Australia,201007,24410535,1236496477
Australia,201008,30541721,1272560351
Australia,201009,27756111,1498075561
Australia,201010,37788881,1859892100
Australia,201011,28510990,1427759538
Australia,201012,25078125,1459542051
Australia,201101,831977504,1432455795
Australia,201102,621409812,1193711462
Australia,201103,796909086,1734377240
Australia,201104,807065784,1797145265
Australia,201105,801613683,1881083067
Australia,201106,722849817,1549794299
Australia,201107,927732897,1856543813
Australia,201108,752712327,1640117811
Australia,201109,892072760,1889790044
Australia,201110,847132771,1778278938
Australia,201111,665500157,1618198071
Australia,201112,826596764,1774171040
Australia,201201,711709625,1541029479
Australia,201202,1022348704,1904132505
Australia,201203,780498997,1768551685
Australia,201204,788070082,1759380599
Australia,201205,759332315,1835980586
Australia,201206,858064475,1800953000
Australia,201207,717187431,1512886224
Australia,201208,649722164,1500764152
Australia,201209,724433318,1710059707
Australia,201210,1189458740,2265908155
Australia,201211,882809808,2020490636
Australia,201212,861836489,1699405884
Australia,201301,935109335,1923689092
Australia,201302,691919769,1505180712
Australia,201303,834409484,1878448725
Australia,201304,828024989,1799597192
Australia,201305,776258540,1582316279
Australia,201306,524936763,1250156992
Austria,201001,4525464,10951500
Austria,201002,28134,9944450
Austria,201003,853646,14495237
Austria,201004,42743,9498362
Austria,201005,117017,7885228
Austria,201006,6765227,9953204
Austria,201007,175423,12830639
Austria,201008,175675,7958340
Austria,201009,10508,8055009
Austria,201010,10611268,13835750
Austria,201011,622512,55846635
Austria,201012,429299,8786309
Austria,201101,6098,24853966
Austria,201102,9360,17069656
Austria,201103,13538,23837344
Austria,201104,9907,24744613
Austria,201105,13909,13264915
Austria,201106,9581,14048988
Austria,201107,7801,10053702
Austria,201108,7453,12453560
Austria,201109,2791,19762973
Austria,201110,3649,17624047
Austria,201111,5808,19110915
Austria,201112,14808,13595131
Austria,201201,17413,15545364
Austria,201202,11774,10257662
Austria,201203,12499,11815795
Austria,201204,12003,17215402
Austria,201205,9623,10797943
Austria,201206,32537,16000204
Austria,201207,18218,10357404
Austria,201208,10894,16955669
Austria,201209,1317,11949878
Austria,201210,12165,16077690
Austria,201211,12336,12614665
Austria,201212,18128,12795836
Austria,201301,1418,9436871
Austria,201302,13439,10887351
Austria,201303,8159,10898129
Austria,201304,19855,8986469
Austria,201305,31962,13650057
Austria,201306,7916,10981974
Azerbaijan,201101,125928,2838068
Azerbaijan,201102,72590,1539661
Azerbaijan,201103,147887,1452067
Azerbaijan,201104,110268,3939637
Azerbaijan,201105,128564,911073
Azerbaijan,201106,39940,3089920
Azerbaijan,201107,132875,2488822
Azerbaijan,201108,344939,3565913
Azerbaijan,201109,39502,2557832
Azerbaijan,201110,743362,6149292
Azerbaijan,201111,276004,4064311
Azerbaijan,201112,96660,1591402
Azerbaijan,201201,50415,974649
Azerbaijan,201202,117444,9758105
Azerbaijan,201203,123299,1934437
Azerbaijan,201204,110918,2071188
Azerbaijan,201205,138498,2388485
Azerbaijan,201206,173429,2039950
Azerbaijan,201207,255117,7074324
Azerbaijan,201208,239613,2248731
Azerbaijan,201209,228374,2757849
Azerbaijan,201210,119660,2667406
Azerbaijan,201211,123994,2217758
Azerbaijan,201212,72849,5182044
Azerbaijan,201301,111151,3952399
Azerbaijan,201302,185259,1670699
Azerbaijan,201303,175152,4175931
Azerbaijan,201304,152682,1560438
Azerbaijan,201305,166726,3826076
Azerbaijan,201306,51490,2126204
Bahrain,201001,236286,27044029
Bahrain,201002,426461,10910127
Bahrain,201003,316860,8042148
Bahrain,201004,415517,6619250
Bahrain,201005,375258,8458133
Bahrain,201006,334245,11957008
Bahrain,201007,353338,9054927
