partner_country,period,net_weight,usd_value
Albania,201001,181900,4161518
Albania,201002,232500,4131646
Albania,201003,233800,2205087
Albania,201004,180400,2174111
Albania,201005,135300,1500461
Albania,201006,158800,1677790
Albania,201007,205200,584091
Albania,201008,204900,525345
Albania,201009,172900,609701
Albania,201010,349700,4359937
Albania,201011,257500,2150269
Albania,201012,100400,576561
Albania,201101,141600,1340407
Albania,201102,137300,3587067
Albania,201103,283800,3438744
Albania,201104,242800,1545351
Albania,201105,273000,3109778
Albania,201106,252700,2629993
Albania,201107,207400,1609920
Albania,201108,102800,979278
Albania,201109,102000,9338540
Albania,201110,164600,3757690
Albania,201111,191200,7360422
Albania,201112,265500,3207161
Albania,201201,163800,1657091
Albania,201202,281223,2539605
Albania,201203,228848,4690627
Albania,201204,306475,1931777
Albania,201205,324964,1826433
Albania,201206,252419,927557
Albania,201207,251600,853694
Albania,201208,102560,3255487
Albania,201209,138924,3240025
Albania,201210,155879,4407680
Albania,201211,265521,2720068
Albania,201212,91582,1267843
Albania,201301,90105,1166294
Albania,201302,255185,5032635
Albania,201303,122287,2367981
Albania,201304,191858,2891152
Albania,201305,264530,4310170
Albania,201306,131713,3909975
Albania,201307,241969,3149100
Albania,201308,113636,5629537
Albania,201309,234203,4656145
Albania,201310,236715000,6796895
Albania,201311,164200,8712128
Algeria,201001,290000,1976082
Algeria,201002,4225600,3173048
Algeria,201003,1623100,3325797
Algeria,201004,658000,1834132
Algeria,201005,165700,852867
Algeria,201006,2270700,3429560
Algeria,201007,302200,1004455
Algeria,201008,126200,567754
Algeria,201009,2223000,1834783
Algeria,201010,112800,306526
Algeria,201011,86600,397129
Algeria,201012,119000,320958
Algeria,201101,19900,105811
Algeria,201102,137900,620389
Algeria,201103,34000,302700
Algeria,201104,136000,844626
Algeria,201105,478600,1419102
Algeria,201106,354800,586197
Algeria,201107,917400,1497835
Algeria,201108,313000,1374663
Algeria,201109,1120400,1219166
Algeria,201110,341500,1307963
Algeria,201111,203300,571262
Algeria,201112,62500,340545
Algeria,201201,890025,8768734
Algeria,201202,1074774,7459230
Algeria,201203,3747256,33255990
Algeria,201204,5009556,38218022
Algeria,201205,2262288,23303845
Algeria,201206,5630030,4236439
Algeria,201207,1113308,2129364
Algeria,201208,244715,1422844
Algeria,201209,216386,1100079
Algeria,201210,383872,1650290
Algeria,201211,8272749,5278968
Algeria,201212,8185003,16508039
Algeria,201301,10807994,13235568
Algeria,201302,2210509,11950018
Algeria,201303,3955294,8460952
Algeria,201304,2728605,4527349
Algeria,201305,276382,2852364
Algeria,201306,1341047,8157511
Algeria,201307,392954,5569209
Algeria,201308,653015,5410868
Algeria,201309,913603,6994973
Algeria,201310,1067818000,4836181
Algeria,201311,536900,5971265
Antigua and Barbuda,201001,24000,29
Antigua and Barbuda,201101,9800,802
Antigua and Barbuda,201103,300,42305
Antigua and Barbuda,201202,3,1329
Antigua and Barbuda,201212,48,5660
Antigua and Barbuda,201301,30,3992
Antigua and Barbuda,201302,30,3135
Antigua and Barbuda,201303,45,3952
Antigua and Barbuda,201304,30,3684
Argentina,201001,159200,1264919
Argentina,201002,574200,5780250
Argentina,201003,396200,2874127
Argentina,201004,281600,2484835
Argentina,201005,221300,3858965
Argentina,201006,423400,2014036
Argentina,201007,311500,3028394
Argentina,201008,390600,4263591
Argentina,201009,121400,2411548
Argentina,201010,399600,3490662
Argentina,201011,132600,1423647
Argentina,201012,202300,2365332
Argentina,201101,156400,981721
Argentina,201102,167800,1313756
Argentina,201103,317600,2330987
Argentina,201104,101700,855514
Argentina,201105,170200,1986970
Argentina,201106,207800,1858082
Argentina,201107,145700,5157918
Argentina,201108,255400,4567830
Argentina,201109,222600,6004852
Argentina,201110,271600,3771865
Argentina,201111,171000,1743547
Argentina,201112,312000,2557989
Argentina,201201,200602,2341482
Argentina,201202,94914,941547
Argentina,201203,169659,1827115
Argentina,201204,164312,2234068
Argentina,201205,279235,2370825
Argentina,201206,226487,1869613
Argentina,201207,246532,3150868
Argentina,201208,206396,1359700
Argentina,201209,294855,5969286
Argentina,201210,281435,4851923
Argentina,201211,263698,3066025
Argentina,201212,238460,2885088
Argentina,201301,203322,2337006
Argentina,201302,212577,2550642
Argentina,201303,377060,3298421
Argentina,201304,364674,3954286
Argentina,201305,566970,5159278
Argentina,201306,553458,4572690
Argentina,201307,706357,9660379
Argentina,201308,301475,3747660
Argentina,201309,506509,4816038
Argentina,201310,621395000,10530201
Argentina,201311,380400,4974448
Armenia,201001,26300,82152
Armenia,201002,19500,37262
Armenia,201003,19600,422525
Armenia,201004,17700,174930
Armenia,201005,4500,94768
Armenia,201006,99700,278482
Armenia,201007,99600,173618
Armenia,201008,19500,872823
Armenia,201009,115700,2628020
Armenia,201010,40800,581825
Armenia,201011,11800,155338
Armenia,201012,47200,511953
Armenia,201101,27700,764300
Armenia,201102,60900,335326
Armenia,201103,17400,361230
Armenia,201104,26100,336366
Armenia,201105,33000,894882
Armenia,201106,74000,602770
Armenia,201107,76100,150087
Armenia,201108,60800,1360175
Armenia,201109,69900,266421
Armenia,201110,48700,1045849
Armenia,201111,9700,349513
Armenia,201112,127800,814396
Armenia,201201,760,39032
Armenia,201202,81579,442796
Armenia,201203,43104,405472
Armenia,201204,22445,344782
Armenia,201205,24817,386591
Armenia,201206,31774,338577
Armenia,201207,25163,326866
Armenia,201208,13069,226632
Armenia,201209,41962,341060
Armenia,201210,68458,784659
Armenia,201211,32944,317508
Armenia,201212,31585,214217
Armenia,201301,39010,414849
Armenia,201302,34359,399306
Armenia,201303,64770,362271
Armenia,201304,26051,1048806
Armenia,201305,11472,210755
Armenia,201306,40383,408379
Armenia,201307,69097,513635
Armenia,201308,44338,371432
Armenia,201309,39274,134822
Armenia,201310,122939000,634226
Armenia,201311,19900,495563
Aruba,201001,6300,89914
Aruba,201003,600,4717
Aruba,201004,200,18570
Aruba,201006,500,21851
Aruba,201008,23600,150807
Aruba,201009,10000,91162
Aruba,201010,7600,34034
Aruba,201011,400,3386
Aruba,201102,3800,40374
Aruba,201103,500,28614
Aruba,201106,300,13107
Aruba,201108,5300,51821
Aruba,201110,7200,83839
Aruba,201111,200,11767
Aruba,201112,18109900,3268
Aruba,201201,396,58027
Aruba,201202,14374,154633
Aruba,201204,558,12484
Aruba,201205,900,47240
Aruba,201206,550,37364
Aruba,201207,2374,21831
Aruba,201208,4364,40440
Aruba,201210,37,3774
Aruba,201211,7124,88350
Aruba,201212,3000,35505
Aruba,201302,3548,71003
Aruba,201303,2473,21972
Aruba,201306,7781,105907
Aruba,201307,720,12962
Aruba,201308,40,1062
Aruba,201309,6098,27422
Aruba,201311,25300,160087
Australia,201001,719400,7323346
Australia,201002,1033600,11858597
Australia,201003,883100,9717061
Australia,201004,793600,6486768
Australia,201005,661800,5832257
Australia,201006,746100,6653140
Australia,201007,639200,6961819
Australia,201008,523300,6142138
Australia,201009,1143400,12220610
Australia,201010,849000,11491193
Australia,201011,899400,11077318
Australia,201012,840000,9606963
Australia,201101,463900,4974517
Australia,201102,772900,10061134
Australia,201103,942200,9760776
Australia,201104,658600,9806563
Australia,201105,1128700,14458566
Australia,201106,998000,13508422
Australia,201107,927100,12118244
Australia,201108,913100,16485744
Australia,201109,961700,11310946
Australia,201110,932300,11993683
Australia,201111,1151500,14543446
Australia,201112,998500,10668259
Australia,201201,1160642,5418529
Australia,201202,965659,12844703
Australia,201203,1230547,15531187
Australia,201204,1319215,16693897
Australia,201205,1172773,13486815
Australia,201206,1830630,18020953
Australia,201207,2214048,19674582
Australia,201208,1253539,10204412
Australia,201209,2003113,15962220
Australia,201210,1804608,13581153
Australia,201211,1497093,12701739
Australia,201212,1062060,11559448
Australia,201301,709177,8425563
Australia,201302,1452294,15165022
Australia,201303,1361138,14183455
Australia,201304,2645521,37607904
Australia,201305,2488570,34939119
Australia,201306,2793792,35861896
Australia,201307,2024082,22808297
Australia,201308,1603958,21084151
Australia,201309,2379329,31719649
Australia,201310,2033812000,26350809
Australia,201311,2142300,27501845
Austria,201001,159749800,300905257
Austria,201002,171028200,298197321
Austria,201003,207489300,387911431
Austria,201004,211776200,404530451
Austria,201005,187009800,298291034
Austria,201006,198976600,325350017
Austria,201007,212811100,345250551
Austria,201008,206609000,366262790
Austria,201009,187759800,415034152
Austria,201010,310021800,451959239
Austria,201011,186098300,409840475
Austria,201012,145229500,403739997
Austria,201101,184442800,395142328
Austria,201102,208887600,424648767
Austria,201103,227891700,468576802
Austria,201104,292031300,410234388
Austria,201105,277234600,449412634
Austria,201106,302749100,410121238
Austria,201107,203633700,419399456
Austria,201108,275624600,468191952
Austria,201109,236479300,512400397
Austria,201110,219943400,487991285
Austria,201111,202839800,456708983
Austria,201112,177536600,373910871
Austria,201201,172941281,422145771
Austria,201202,188306263,441653385
Austria,201203,221328055,482455573
Austria,201204,211136925,446017847
Austria,201205,228403945,413224026
Austria,201206,206007563,456787204
Austria,201207,159758440,448336153
Austria,201208,164581337,457023558
Austria,201209,216749575,403036744
Austria,201210,205637093,545182843
Austria,201211,166876919,478286947
Austria,201212,111483522,399996616
Austria,201301,116029615,435971050
Austria,201302,129307057,425324487
Austria,201303,139830269,446157571
Austria,201304,199187892,479526731
Austria,201305,184794277,471259718
Austria,201306,154753988,424675481
Austria,201307,139396630,458650912
Austria,201308,133887880,440642969
Austria,201309,165205717,416851437
Austria,201310,175048679000,459600542
Austria,201311,285136400,402814745
Azerbaijan,201001,169300,532163
Azerbaijan,201002,252000,1261775
Azerbaijan,201003,187600,1371671
Azerbaijan,201004,199100,868164
Azerbaijan,201005,468300,2636734
Azerbaijan,201006,505700,1403376
Azerbaijan,201007,318200,2586206
Azerbaijan,201008,392600,4613338
Azerbaijan,201009,114100,1384770
Azerbaijan,201010,294100,2114302
Azerbaijan,201011,200000,2234823
Azerbaijan,201012,373300,2602062
Azerbaijan,201101,209700,954494
Azerbaijan,201102,251200,1668333
Azerbaijan,201103,300200,3356585
Azerbaijan,201104,171000,1865788
Azerbaijan,201105,315500,2150551
Azerbaijan,201106,277700,2834423
Azerbaijan,201107,171100,2536765
Azerbaijan,201108,231400,2317025
Azerbaijan,201109,266000,1781983
Azerbaijan,201110,589000,8727189
Azerbaijan,201111,215300,2176540
Azerbaijan,201112,308000,3998664
Azerbaijan,201201,125963,697778
Azerbaijan,201202,283972,1619524
Azerbaijan,201203,567357,1695109
Azerbaijan,201204,317277,2201946
Azerbaijan,201205,400634,1691116
Azerbaijan,201206,212521,2380500
Azerbaijan,201207,428904,3370318
Azerbaijan,201208,255076,2241987
Azerbaijan,201209,347771,4141515
Azerbaijan,201210,240791,1749988
Azerbaijan,201211,591048,3088686
Azerbaijan,201212,255504,2099332
Azerbaijan,201301,750732,2827156
Azerbaijan,201302,271495,2625135
Azerbaijan,201303,532305,3231077
Azerbaijan,201304,557634,3213044
Azerbaijan,201305,619880,3142785
Azerbaijan,201306,363667,3673702
Azerbaijan,201307,380713,2384943
Azerbaijan,201308,354698,3295330
Azerbaijan,201309,295448,2048125
Azerbaijan,201310,504042000,3545124
Azerbaijan,201311,670000,3935755
Bahrain,201001,59200,2131780
Bahrain,201002,37500,626400
Bahrain,201003,16800,83186
Bahrain,201004,18500,309073
Bahrain,201005,16800,279912
Bahrain,201006,18700,239430
Bahrain,201007,24200,987079
Bahrain,201008,34200,1200566
Bahrain,201009,41400,750479
Bahrain,201010,16700,828205
Bahrain,201011,34900,669081
Bahrain,201012,42300,619895
Bahrain,201101,112000,607944
Bahrain,201102,36600,767959
Bahrain,201103,35200,937583
Bahrain,201104,21900,390381
Bahrain,201105,12300,560450
Bahrain,201106,28600,542313
Bahrain,201107,29200,415724
Bahrain,201108,5700,60470
Bahrain,201109,16800,1248451
Bahrain,201110,28500,465922
