partner_country,period,net_weight,usd_value
Albania,201001,813122,2788478
Albania,201002,912959,4995445
Albania,201003,1426271,4830981
Albania,201004,1367351,4228617
Albania,201005,1340484,5291492
Albania,201006,1305078,4307857
Albania,201007,1322650,3876486
Albania,201008,1019747,4641429
Albania,201009,938084,4003286
Albania,201010,1105838,4887489
Albania,201011,1132399,4658754
Albania,201012,869217,4778401
Albania,201101,858881,3477389
Albania,201102,734374,3184100
Albania,201103,1102200,4146448
Albania,201104,801698,5645620
Albania,201105,912229,6125817
Albania,201106,878371,4394481
Albania,201107,1063532,4781212
Albania,201108,950445,4119350
Albania,201109,786769,4788180
Albania,201110,675076,3527069
Albania,201111,832577,4054549
Albania,201112,743801,5385585
Albania,201201,696645,3722106
Albania,201202,806947,3422565
Albania,201203,979117,4615893
Albania,201204,976291,4381172
Albania,201205,893664,3978915
Albania,201206,902085,4342623
Albania,201207,897985,3454116
Albania,201208,751642,2969500
Albania,201209,631016,3294887
Albania,201210,920876,4073671
Albania,201211,803995,4112452
Albania,201212,679145,3003613
Albania,201301,649283,3615237
Albania,201302,779903,3469032
Albania,201303,826422,4874914
Albania,201304,720302,3410294
Albania,201305,695469,4167379
Albania,201306,775123,3908556
Albania,201307,834400,4703463
Albania,201308,725899,3442729
Albania,201309,781483,4189709
Albania,201310,695342,3482895
Algeria,201001,17622840,8474710
Algeria,201002,11771672,4747872
Algeria,201003,29539145,10609957
Algeria,201004,18996390,7430163
Algeria,201005,16861841,8954491
Algeria,201006,26233617,14585190
Algeria,201007,28284579,14625759
Algeria,201008,21069588,9300716
Algeria,201009,25820986,10939185
Algeria,201010,17828885,9425972
Algeria,201011,32967159,14448640
Algeria,201012,18092228,10853614
Algeria,201101,12090351,9143189
Algeria,201102,29631986,16991583
Algeria,201103,27813861,14747241
Algeria,201104,39148052,20162744
Algeria,201105,21876640,14258166
Algeria,201106,23810449,16005551
Algeria,201107,22963846,13794995
Algeria,201108,17521313,11836585
Algeria,201109,34259948,19319349
Algeria,201110,16400893,12921255
Algeria,201111,19190878,10980518
Algeria,201112,25709592,10234044
Algeria,201201,9877055,11362416
Algeria,201202,25753077,19926048
Algeria,201203,10696875,20070598
Algeria,201204,30949710,23430647
Algeria,201205,26751877,32649596
Algeria,201206,32169166,23651562
Algeria,201207,25594977,37728614
Algeria,201208,24551446,19746842
Algeria,201209,22468320,36365818
Algeria,201210,27757546,22321201
Algeria,201211,14041221,6375545
Algeria,201212,42633505,18135202
Algeria,201301,32379203,33712553
Algeria,201302,32954946,23668743
Algeria,201303,43421022,22857069
Algeria,201304,28024198,23304073
Algeria,201305,29047483,20069249
Algeria,201306,9358127,5396114
Algeria,201307,54254000,24183635
Algeria,201308,5257010,3487245
Algeria,201309,24206964,25289239
Algeria,201310,17882936,21684566
Antigua and Barbuda,201003,27,7384
Antigua and Barbuda,201212,64,2518
Antigua and Barbuda,201308,460,4070
Argentina,201001,80145,1291898
Argentina,201002,112873,496485
Argentina,201003,133656,672343
Argentina,201004,168469,396287
Argentina,201005,106202,349246
Argentina,201006,49723,624520
Argentina,201007,33845,344253
Argentina,201008,98373,480181
Argentina,201009,184032,518348
Argentina,201010,113180,905268
Argentina,201011,162975,674005
Argentina,201012,97463,699749
Argentina,201101,204303,897881
Argentina,201102,102990,690140
Argentina,201103,143705,788716
Argentina,201104,156779,1806378
Argentina,201105,336682,2042125
Argentina,201106,283802,2121434
Argentina,201107,266136,2338066
Argentina,201108,276519,2902559
Argentina,201109,335141,3462085
Argentina,201110,433263,3540812
Argentina,201111,439212,4131899
Argentina,201112,269263,3284165
Argentina,201201,337792,2696999
Argentina,201202,230414,2015959
Argentina,201203,383132,3684273
Argentina,201204,292938,3046534
Argentina,201205,351410,2824615
Argentina,201206,167589,1828476
Argentina,201207,179169,2018581
Argentina,201208,274461,2718812
Argentina,201209,340211,2368241
Argentina,201210,241635,2553967
Argentina,201211,428908,2652504
Argentina,201212,481613,1909859
Argentina,201301,307709,1887525
Argentina,201302,302770,2194469
Argentina,201303,178147,1811506
Argentina,201304,478532,3147663
Argentina,201305,350239,2393612
Argentina,201306,427275,2325078
Argentina,201307,452800,2913347
Argentina,201308,402884,2103064
Argentina,201309,535345,7271664
Argentina,201310,390471,2514107
Armenia,201001,27209,203075
Armenia,201002,49655,359660
Armenia,201003,119501,1471187
Armenia,201004,53899,457028
Armenia,201005,39786,259147
Armenia,201006,63067,1135255
Armenia,201007,81700,397615
Armenia,201008,43766,157566
Armenia,201009,36304,310215
Armenia,201010,76505,729692
Armenia,201011,58620,461029
Armenia,201012,33179,669936
Armenia,201101,26159,85258
Armenia,201102,132335,974833
Armenia,201103,72284,671951
Armenia,201104,90886,492750
Armenia,201105,129796,937850
Armenia,201106,78061,891828
Armenia,201107,108197,498137
Armenia,201108,39182,447981
Armenia,201109,17208,501041
Armenia,201110,32672,480424
Armenia,201111,62560,798497
Armenia,201112,21859,712868
Armenia,201202,19355,832394
Armenia,201203,19628,524911
Armenia,201204,61097,633659
Armenia,201205,126783,707505
Armenia,201206,17705,724520
Armenia,201207,15116,197316
Armenia,201208,13252,276783
Armenia,201209,36351,663830
Armenia,201210,58602,162345
Armenia,201211,93760,860255
Armenia,201212,13681,798626
Armenia,201301,24261,170580
Armenia,201302,74934,859300
Armenia,201303,68670,1106311
Armenia,201304,57800,985641
Armenia,201305,11432,246180
Armenia,201306,72074,845196
Armenia,201307,85200,949912
Armenia,201308,86980,605842
Armenia,201309,111245,1024493
Armenia,201310,109105,490207
Aruba,201109,31,4164
Aruba,201111,635,337062
Aruba,201112,4,2714
Aruba,201201,5,7157
Aruba,201202,40,1629
Aruba,201203,1,1071
Aruba,201204,162,81594
Aruba,201205,74,8727
Aruba,201206,4,2858
Aruba,201208,2353,10139
Aruba,201211,2,1422
Aruba,201303,3590,18029
Aruba,201308,4,2009
Aruba,201310,6,5172
Australia,201001,403433,1776232
Australia,201002,430451,2196231
Australia,201003,460153,2414370
Australia,201004,471666,2721663
Australia,201005,723079,3905929
Australia,201006,434423,2058955
Australia,201007,673630,3713750
Australia,201008,566245,2306010
Australia,201009,615306,3519830
Australia,201010,446424,2847748
Australia,201011,325784,2568579
Australia,201012,632340,4806555
Australia,201101,383771,2541437
Australia,201102,638036,3145974
Australia,201103,589110,4037334
Australia,201104,604571,3468252
Australia,201105,556115,4847191
Australia,201106,756721,4727810
Australia,201107,681401,3937416
Australia,201108,513933,3289959
Australia,201109,537247,4480029
Australia,201110,467496,4132509
Australia,201111,408781,5614201
Australia,201112,280795,3613461
Australia,201201,450883,3420013
Australia,201202,690661,4373640
Australia,201203,558426,6556893
Australia,201204,656169,6213425
Australia,201205,641235,5098377
Australia,201206,929301,6957024
Australia,201207,1255786,9177684
Australia,201208,1075580,9118537
Australia,201209,627486,4381443
Australia,201210,910504,7518861
Australia,201211,929701,10949752
Australia,201212,702728,5331932
Australia,201301,662693,6906200
Australia,201302,1118082,10407112
Australia,201303,1314835,15606657
Australia,201304,963778,11229731
Australia,201305,721535,6463131
Australia,201306,1077463,9067416
Australia,201307,827700,8540869
Australia,201308,467431,4009092
Australia,201309,571951,6661195
Australia,201310,885373,9408476
Austria,201001,82465748,130239814
Austria,201002,92870882,135167291
Austria,201003,122181383,177392726
Austria,201004,120854918,171268244
Austria,201005,145174617,167723496
Austria,201006,149464645,174300565
Austria,201007,135390968,164738212
Austria,201008,124150038,144387733
Austria,201009,143974625,175902987
Austria,201010,143832683,187430783
Austria,201011,139896406,184931374
Austria,201012,120784123,161211438
Austria,201101,124000066,150812512
Austria,201102,126261833,160353678
Austria,201103,140495494,192015114
Austria,201104,143510177,195357189
Austria,201105,158847422,225515377
Austria,201106,134782926,189202615
Austria,201107,146964728,192460843
Austria,201108,136372617,166824957
Austria,201109,166720639,204363285
Austria,201110,171689942,198772238
Austria,201111,179759974,207281790
Austria,201112,126167224,162238320
Austria,201201,145553129,163793164
Austria,201202,131040208,175786893
Austria,201203,173450895,212742475
Austria,201204,160237107,189609894
Austria,201205,171015114,196761577
Austria,201206,159098298,181640955
Austria,201207,182634997,187468498
Austria,201208,161733403,164444329
Austria,201209,169707764,195094650
Austria,201210,191111244,210188592
Austria,201211,178114636,193417456
Austria,201212,135528157,154306915
Austria,201301,142818959,181644293
Austria,201302,119693883,169749293
Austria,201303,131774528,192602071
Austria,201304,171843142,210091494
Austria,201305,197723688,205449544
Austria,201306,184059517,206146829
Austria,201307,225346300,251951020
Austria,201308,200673978,193581531
