partner_country,period,net_weight,usd_value
Albania,201001,20,14003
Albania,201003,4237786,6031
Albania,201007,125,19926
Albania,201009,988250,117949
Albania,201011,14950,193646
Albania,201012,1359865,145763
Albania,201101,1988618,182355
Albania,201103,190820,38958
Albania,201104,29268,34031
Albania,201105,71500,109309
Albania,201107,981310,173480
Albania,201108,47360,63119
Albania,201109,625,25
Albania,201111,2020,23708
Albania,201112,52140,49767
Albania,201203,770,14250
Albania,201204,313,23583
Albania,201205,1222,53948
Albania,201207,25600,19033
Albania,201208,196971,332625
Albania,201209,74071,37896
Albania,201301,4378,20491
Albania,201304,471,1776
Albania,201305,148,5193
Albania,201306,49280,19984
Albania,201308,106,20765
Albania,201312,24432,54442
Algeria,201001,20,7729886
Algeria,201002,1266784,14889068
Algeria,201003,4237786,19625701
Algeria,201004,1120810,11045246
Algeria,201005,1320634,12962678
Algeria,201006,1498027,11976686
Algeria,201007,139225,15471891
Algeria,201008,246133,12157675
Algeria,201009,523731,5629556
Algeria,201010,695169,13420112
Algeria,201011,748938,24641671
Algeria,201012,146198,31404396
Algeria,201101,27640,17181290
Algeria,201102,576607,30513929
Algeria,201103,205703,37530061
Algeria,201104,478982,34603413
Algeria,201105,475290,22390508
Algeria,201106,359416,33463013
Algeria,201107,88551,41322794
Algeria,201108,219832,39815766
Algeria,201109,119816,41892747
Algeria,201110,699699,32561903
Algeria,201111,167734,26035940
Algeria,201112,375253,26743495
Algeria,201201,76585,17622313
Algeria,201202,205986,23959671
Algeria,201203,1065537,30559933
Algeria,201204,1350859,35375868
Algeria,201205,1469778,42012246
Algeria,201206,176200,39910563
Algeria,201207,885420,47934114
Algeria,201208,171661,31514971
Algeria,201209,264897,39317892
Algeria,201210,449651,19086464
Algeria,201211,147072,37763524
Algeria,201212,220211,20438323
Algeria,201301,103139,27433321
Algeria,201302,439778,30696380
Algeria,201303,1082442,40974688
Algeria,201304,1508324,40211354
Algeria,201305,597051,42820712
Algeria,201306,571786,28947220
Algeria,201308,267198,34341852
Algeria,201309,418593,9896807
Algeria,201310,271490,23709629
Algeria,201311,518175,41132984
Algeria,201312,528249,24209950
Antigua and Barbuda,201001,20,41613
Antigua and Barbuda,201002,1266784,48237
Antigua and Barbuda,201003,4237786,34408
Antigua and Barbuda,201004,20515,80110
Antigua and Barbuda,201005,223,36186
Antigua and Barbuda,201008,4,37610
Antigua and Barbuda,201009,708,10088
Antigua and Barbuda,201010,35500,6857
Antigua and Barbuda,201011,186,9672
Antigua and Barbuda,201012,73,45991
Antigua and Barbuda,201101,40,6425
Antigua and Barbuda,201102,56,6396
Antigua and Barbuda,201103,230,28736
Antigua and Barbuda,201104,459,46413
Antigua and Barbuda,201105,28,6409
