partner_country,period,net_weight,usd_value
Albania,201001,8440200,3439062
Albania,201002,4466800,2600457
Albania,201003,6693700,3466562
Albania,201004,8408700,3935878
Albania,201005,12061500,4811705
Albania,201006,11252100,3982722
Albania,201007,10886900,4613315
Albania,201008,10460100,6399564
Albania,201009,12469200,5383861
Albania,201010,9496000,4746951
Albania,201011,20360200,7013569
Albania,201012,5225000,3224761
Albania,201101,7861500,3886319
Albania,201102,11243700,4761716
Albania,201103,8128500,5755444
Albania,201104,9969700,8726812
Albania,201105,9355600,9038494
Albania,201106,12644000,8859588
Albania,201107,10487100,5832304
Albania,201108,13512700,7331424
Albania,201109,10289800,6544891
Albania,201110,10811900,5718117
Albania,201111,13510500,8404669
Albania,201112,5235200,3161958
Albania,201201,6447195,2925614
Albania,201202,3188680,2455877
Albania,201203,5065326,3485735
Albania,201204,7067094,4330440
Albania,201205,15193549,8035822
Albania,201206,8626382,8437511
Albania,201207,10354627,8125245
Albania,201208,12676677,6111476
Albania,201209,6898316,4908873
Albania,201210,7846741,5321224
Albania,201211,13395519,5317971
Albania,201212,5824002,3810229
Albania,201301,30058092,6761172
Albania,201302,5665700,3322044
Albania,201303,6324600,3432324
Albania,201304,12234300,4761027
Albania,201305,7044100,4860883
Albania,201306,8157200,4388448
Albania,201307,9111800,5741586
Albania,201308,12080700,4803292
Albania,201309,15086500,5574072
Albania,201310,1471300,6513239
Albania,201311,6627300,3794108
Algeria,201001,119356300,135959429
Algeria,201002,196801500,188740394
Algeria,201003,287655100,246993634
Algeria,201004,320668900,226649901
Algeria,201005,330705800,198060128
Algeria,201006,406676200,252808905
Algeria,201007,394542900,246792108
Algeria,201008,477456600,243214490
Algeria,201009,288900100,219379651
Algeria,201010,277523100,241592693
Algeria,201011,255916700,261723402
Algeria,201012,215800100,213326128
Algeria,201101,204891500,181208117
Algeria,201102,253627700,216588396
Algeria,201103,328576200,344639087
Algeria,201104,331377000,333557566
Algeria,201105,302466500,310809481
Algeria,201106,317704500,331065608
Algeria,201107,333076700,305074491
Algeria,201108,275160800,202854050
Algeria,201109,273997700,232109751
Algeria,201110,307892100,297829474
Algeria,201111,404786800,393767176
Algeria,201112,316980300,297524709
Algeria,201201,282497017,253209755
Algeria,201202,339866848,328076426
Algeria,201203,480136917,397442720
Algeria,201204,376328719,354987869
Algeria,201205,396967698,360738954
Algeria,201206,473516436,402160581
Algeria,201207,302797406,349363525
Algeria,201208,317491548,282575559
