partner_country,period,net_weight,usd_value
Albania,201201,11270,49013
Albania,201202,101750,317700
Algeria,201201,32980,150279
Algeria,201202,70269,173775
Antigua and Barbuda,201201,25,160782
Antigua and Barbuda,201202,7070,64699
Argentina,201201,108222,1128025
Argentina,201202,26208,433914
Armenia,201201,3664,33757
Armenia,201202,7252,57728
Australia,201201,1280785,11340783
Australia,201202,1243539,10506567
Austria,201201,137232,2953953
Austria,201202,138371,3173758
Azerbaijan,201201,930698,4082682
Azerbaijan,201202,622805,2668969
Bahrain,201201,149436,221684
Bahrain,201202,395272,998617
Barbados,201201,3933,19522
Belarus,201201,34400,201626
Belarus,201202,62352,454448
Belgium,201201,769434,33818747
Belgium,201202,976250,43654795
Bolivia (Plurinational State of),201201,7484,67182
Bolivia (Plurinational State of),201202,59030,150856
Bosnia Herzegovina,201201,11070,7019
Bosnia Herzegovina,201202,1050,1080
Brazil,201201,546688,3255323
Brazil,201202,590501,2917240
Brunei Darussalam,201201,3967,34458
Brunei Darussalam,201202,9206,23458
Bulgaria,201201,36038,298942
Bulgaria,201202,53769,222266
Burkina Faso,201201,17689,153425
Burkina Faso,201202,12240,97063
Burundi,201201,230,18
Cameroon,201201,7579,31014
Cameroon,201202,4500,55075
Canada,201201,1349109,11429410
Canada,201202,1579382,13324567
Chile,201201,736767,2950723
Chile,201202,651347,2493435
China,201201,12416069,7198437
China,201202,12320985,9112751
"China, Hong Kong SAR",201201,715699,8386490
"China, Hong Kong SAR",201202,4014458,11360763
Colombia,201201,126894,1069566
Colombia,201202,111198,353936
Croatia,201201,22970,69730
Croatia,201202,65652,197985
Cyprus,201201,14327,145749
Cyprus,201202,10224,158225
Czech Rep.,201201,78448,1278187
Czech Rep.,201202,75528,1246354
Denmark,201201,341927,1688936
Denmark,201202,498664,2089540
Dominica,201201,60959,47478
Dominica,201202,18870,59791
Ecuador,201201,96210,651727
Ecuador,201202,117708,357991
Egypt,201201,873141,2220571
Egypt,201202,530148,1246032
Estonia,201201,113123,451780
Estonia,201202,17600,81338
Ethiopia,201201,54671,241651
Ethiopia,201202,21600,131079
Finland,201201,187316,1046034
Finland,201202,359949,1223852
France,201201,1904196,16608851
France,201202,2004616,14118737
Georgia,201201,28316,177201
Georgia,201202,6838,102673
Germany,201201,3450723,41767320
Germany,201202,3416051,41794038
Greece,201201,180396,746424
Greece,201202,252169,791915
Guatemala,201201,79649,787021
Guatemala,201202,22250,172087
Hungary,201201,7088,549251
Hungary,201202,26489,474074
Iceland,201201,2212,43033
Iceland,201202,3738,137869
India,201201,26565455,88859837
India,201202,29362717,50228454
Indonesia,201201,16416031,9255404
Indonesia,201202,17915006,9394707
Ireland,201201,246552,2705061
Ireland,201202,200940,1993198
Israel,201201,497821,6758214
Israel,201202,702872,5445214
Italy,201201,1541992,56503102
Italy,201202,1942957,45958644
Japan,201201,8706662,21545762
Japan,201202,8386187,21267145
Jordan,201201,616066,2456515
Jordan,201202,887965,2905278
Kazakhstan,201201,110504,392423
Kazakhstan,201202,63645,287593
Kenya,201201,269704,660051
Kenya,201202,164189,203878
Kyrgyzstan,201201,38140,140205
Kyrgyzstan,201202,71250,282400
Latvia,201201,29948,648355
Latvia,201202,27200,703223
Lithuania,201201,26438,370156
Lithuania,201202,45598,601527
Luxembourg,201202,72,3452
Madagascar,201201,4,18991
Madagascar,201202,5,102
Malaysia,201201,8751131,5890843
Malaysia,201202,71602465,11907238
Mali,201201,227,13788
Malta,201201,580,77476
Malta,201202,12135,150282
Mauritius,201201,70450,75104
Mauritius,201202,117505,139545
Mexico,201201,855931,5852163
Mexico,201202,1156678,6281238
Morocco,201201,32,53848
Morocco,201202,66022,161309
Mozambique,201201,30420,43713
Netherlands,201201,2465582,13909959
Netherlands,201202,2885699,12979789
New Caledonia,201201,7497,32916
New Caledonia,201202,11532,4476
New Zealand,201201,384947,1640353
New Zealand,201202,629311,1767290
Nicaragua,201201,7040,59360
Nicaragua,201202,7000,58346
Nigeria,201201,137583,377484
Nigeria,201202,55253,298364
Norway,201201,111131,1312865
Norway,201202,96400,1695517
Pakistan,201201,7578813,9311984
Pakistan,201202,6106215,7770630
Panama,201201,21449,812528
Panama,201202,56257,617539
Paraguay,201201,6877,3589
Peru,201201,78645,569873
Peru,201202,119603,687611
Philippines,201201,97423,539691
Philippines,201202,99011,607079
Poland,201201,631843,4480238
Poland,201202,643465,4152047
Portugal,201201,105141,605309
Portugal,201202,185087,504301
