partner_country,period,net_weight,usd_value
Algeria,201106,729870,134708
Algeria,201107,554140,10126
Algeria,201109,144940,129665
Algeria,201110,325,1350301
Algeria,201111,84403,1308699
Algeria,201112,72450,3487406
Armenia,201103,165388,41997
Australia,201104,497040,2625
Australia,201107,554140,16837
Australia,201109,144940,16150
Austria,201101,3239287,3451
Austria,201102,20,59624
Austria,201110,325,80627
Bahrain,201105,48000,19741
Bahrain,201107,554140,6300
Bahrain,201110,325,17603
Bahrain,201112,72450,39001
Belgium,201102,20,196416
Belgium,201103,165388,166170
Belgium,201111,84403,85009
Belgium,201112,72450,323165
Brazil,201105,48000,2174
Brazil,201110,325,63154
Canada,201101,3239287,79789
Canada,201103,165388,242726
Canada,201105,48000,15886
Canada,201106,729870,9017
Canada,201107,554140,15782
Canada,201108,895180,1236389
Canada,201111,84403,81339
Canada,201112,72450,107761
Cyprus,201103,165388,9495
Czech Rep.,201104,497040,3900
Denmark,201101,3239287,33100
Denmark,201111,84403,2689
Egypt,201101,3239287,144269
Egypt,201102,20,47824
Egypt,201103,165388,98318
Egypt,201104,497040,67352
Egypt,201105,48000,119839
Egypt,201106,729870,74266
Egypt,201107,554140,80056
Egypt,201108,895180,107350
Egypt,201109,144940,42001
Egypt,201110,325,101224
Egypt,201111,84403,20360
Egypt,201112,72450,95621
France,201101,3239287,145706
France,201102,20,3469
France,201103,165388,229339
France,201104,497040,52298
France,201105,48000,43038
France,201106,729870,95327
France,201107,554140,120641
France,201108,895180,87818
France,201109,144940,82392
France,201110,325,35788
France,201111,84403,426760
France,201112,72450,30620
Germany,201101,3239287,126043
Germany,201102,20,87667
Germany,201103,165388,108630
Germany,201104,497040,51934
Germany,201105,48000,27855
Germany,201106,729870,81027
Germany,201107,554140,40877
Germany,201108,895180,84082
Germany,201109,144940,161595
Germany,201110,325,49015
Germany,201111,84403,47029
Germany,201112,72450,269159
Greece,201101,3239287,17700
Greece,201103,165388,22621
Guatemala,201106,729870,14287
India,201102,20,775
India,201108,895180,61810
India,201109,144940,151075
India,201110,325,135634
India,201111,84403,32739
India,201112,72450,80776
Indonesia,201104,497040,61
Israel,201101,3239287,49711098
Israel,201102,20,42127611
Israel,201103,165388,50594136
Israel,201104,497040,42695700
Israel,201105,48000,49728649
Israel,201106,729870,46229867
Israel,201107,554140,65845277
Israel,201108,895180,59611764
Israel,201109,144940,57817517
Israel,201110,325,56989615
Israel,201111,84403,48991253
Israel,201112,72450,47439274
Italy,201101,3239287,351587
Italy,201102,20,105516
Italy,201103,165388,19522
Italy,201104,497040,109746
Italy,201105,48000,11741
Italy,201106,729870,198080
Italy,201107,554140,186541
Italy,201108,895180,7768
Italy,201109,144940,17347
Italy,201110,325,182450
Italy,201111,84403,65287
Italy,201112,72450,121975
Japan,201101,3239287,1390
Japan,201102,20,1030
Japan,201106,729870,12660
Japan,201108,895180,228599
Japan,201109,144940,1714
Japan,201110,325,1197
Japan,201111,84403,4379
Japan,201112,72450,5810
Jordan,201101,3239287,2705295
Jordan,201102,20,2249564
Jordan,201103,165388,1410926
Jordan,201104,497040,2003278
Jordan,201105,48000,2955809
Jordan,201106,729870,4521163
Jordan,201107,554140,3398258
Jordan,201108,895180,3910321
Jordan,201109,144940,3680280
Jordan,201110,325,3532013
Jordan,201111,84403,4405639
Jordan,201112,72450,4154688
Kazakhstan,201112,72450,908
Malaysia,201103,165388,9007
Malaysia,201105,48000,3320
Malaysia,201106,729870,11496
Malaysia,201110,325,1530
Malta,201102,20,247193
Malta,201103,165388,538510
Malta,201104,497040,151635
Malta,201106,729870,82486
Malta,201107,554140,217744
Malta,201108,895180,91423
Malta,201110,325,37441
Morocco,201101,3239287,1300
Morocco,201102,20,10
Morocco,201107,554140,29
Morocco,201110,325,46
Morocco,201111,84403,29205
Morocco,201112,72450,2865
Netherlands,201101,3239287,407413
Netherlands,201102,20,1358595
Netherlands,201103,165388,443118
Netherlands,201104,497040,213942
Netherlands,201105,48000,847609
Netherlands,201107,554140,851480
Netherlands,201110,325,104334
Netherlands,201111,84403,22109
Netherlands,201112,72450,395488
Norway,201110,325,11500
Norway,201111,84403,4230
Poland,201102,20,220810
Poland,201103,165388,83907
Poland,201104,497040,209331
Poland,201105,48000,290364
Poland,201106,729870,6580
Poland,201107,554140,292193
Poland,201109,144940,154479
Poland,201110,325,20061
Rep. of Korea,201101,3239287,65354
Rep. of Korea,201102,20,171072
Rep. of Korea,201104,497040,42122
Rep. of Korea,201105,48000,5719
Rep. of Korea,201106,729870,289555
Rep. of Korea,201107,554140,26940
Rep. of Korea,201109,144940,20480
Rep. of Korea,201111,84403,15455
Rep. of Korea,201112,72450,60481
Romania,201106,729870,4173
Russian Federation,201103,165388,27525
Russian Federation,201104,497040,34213
Russian Federation,201105,48000,43699
Russian Federation,201106,729870,36136
Russian Federation,201107,554140,39680
Russian Federation,201108,895180,22249
Russian Federation,201109,144940,11261
Russian Federation,201110,325,12607
Russian Federation,201111,84403,25834
Russian Federation,201112,72450,38320
Singapore,201106,729870,18480
Slovenia,201101,3239287,81742
Slovenia,201112,72450,27247
Spain,201110,325,1287
Sweden,201101,3239287,310329
Sweden,201104,497040,43400
Sweden,201105,48000,41230
Sweden,201106,729870,1715
Switzerland,201101,3239287,6774
Switzerland,201102,20,141774
Switzerland,201104,497040,61226
Switzerland,201107,554140,28080
Switzerland,201108,895180,9173
Switzerland,201110,325,77485
Switzerland,201112,72450,120816
Turkey,201101,3239287,30658
Turkey,201102,20,72161
Turkey,201104,497040,32001
Turkey,201105,48000,28287
Turkey,201106,729870,27068
Turkey,201107,554140,14000
Turkey,201108,895180,14000
Turkey,201109,144940,30888
Turkey,201110,325,24348
Turkey,201111,84403,64001
Turkey,201112,72450,80710
Ukraine,201110,325,25664
United Kingdom,201101,3239287,215742
United Kingdom,201102,20,275488
United Kingdom,201104,497040,121253
United Kingdom,201105,48000,119478
United Kingdom,201106,729870,95320
United Kingdom,201107,554140,148089
United Kingdom,201108,895180,108802
United Kingdom,201109,144940,90361
United Kingdom,201110,325,216782
United Kingdom,201111,84403,101331
United Kingdom,201112,72450,301150
USA,201101,3239287,388088
USA,201102,20,354688
USA,201103,165388,410031
USA,201104,497040,813779
USA,201105,48000,1921267
USA,201106,729870,577414
USA,201107,554140,649799
USA,201108,895180,528116
USA,201109,144940,447158
USA,201110,325,514041
USA,201111,84403,1815327
USA,201112,72450,282458
