partner_country,period,net_weight,usd_value
Albania,201001,19700,250135
Albania,201002,814000,1227155
Albania,201003,978600,2115687
Albania,201004,505000,418134
Albania,201005,792600,566804
Albania,201006,2100,19153
Albania,201007,73700,218433
Albania,201008,180900,758224
Albania,201009,300800,363835
Albania,201010,19600,1408283
Albania,201011,1930100,3123739
Albania,201012,119700,1687711
Albania,201101,131000,1149974
Albania,201102,113800,146811
Albania,201103,1153700,1732644
Albania,201104,2759000,1628450
Albania,201105,504300,1383320
Albania,201106,1134700,1272475
Albania,201107,212200,980919
Albania,201108,531500,829715
Albania,201109,78000,164310
Albania,201110,88500,1246382
Albania,201111,162500,269520
Albania,201112,501400,504320
Albania,201201,16800,414097
Albania,201202,77400,1589947
Albania,201203,383400,1168206
Albania,201204,340200,912734
Albania,201205,2629800,1499219
Albania,201206,111000,1692348
Albania,201207,354200,666996
Albania,201208,120900,473257
Albania,201209,78200,688414
Albania,201210,521600,1084145
Albania,201211,438200,345126
Albania,201212,469400,599017
Albania,201301,291000,345666
Albania,201302,57000,480108
Albania,201303,125000,513118
Albania,201304,109000,272390
Albania,201305,1604000,882064
Albania,201306,3062000,3103553
Albania,201307,520600,422484
Albania,201311,685000,827630
Algeria,201001,35475600,30935646
Algeria,201002,17831700,30246282
Algeria,201003,36422300,33951620
Algeria,201004,26391600,39448247
Algeria,201005,32512200,38383563
Algeria,201006,29309500,37931068
Algeria,201007,47197600,40171966
Algeria,201008,30019900,24096829
Algeria,201009,22219900,27897848
Algeria,201010,24264600,28400025
Algeria,201011,33669900,34462324
Algeria,201012,34842000,34791926
Algeria,201101,11904000,30741299
Algeria,201102,27480400,25793756
Algeria,201103,28184300,31292081
Algeria,201104,44721800,40978091
Algeria,201105,37329100,53137839
Algeria,201106,29281400,46749652
Algeria,201107,17564100,40242115
Algeria,201108,20019900,45379992
Algeria,201109,21419600,36952968
Algeria,201110,23713400,41976898
Algeria,201111,21138900,20673212
Algeria,201112,40001700,77444810
