partner_country,period,net_weight,usd_value
Albania,201001,143001,2143498
Albania,201002,211016,1696953
Albania,201003,209908,2468855
Albania,201004,298343,2253662
Albania,201005,299086,3354549
Albania,201006,508159,3524068
Albania,201007,440084,2577079
Albania,201008,159443,1561709
Albania,201009,193376,2814110
Albania,201010,175132,3627958
Albania,201011,306182,4466277
Albania,201012,228794,2256841
Albania,201101,111201,2686029
Albania,201102,204959,1117940
Albania,201103,197794,5232512
Albania,201104,243659,1454890
Albania,201105,144530,3783545
Albania,201106,116999,4111576
Albania,201107,255764,4199573
Albania,201108,81938,2437714
Albania,201109,189559,2415418
Albania,201110,136001,2803844
Albania,201111,221760,5565137
Albania,201112,223833,3069517
Albania,201201,196617,1887858
Albania,201202,154059,2629079
Albania,201203,275074,1515488
Albania,201204,148439,3939029
Albania,201205,121388,3991427
Albania,201206,152023,3036923
Albania,201207,101076,3875591
Albania,201208,124051,2477493
Albania,201209,260061,3264101
Albania,201210,185379,2477352
Albania,201211,311094,2690990
Albania,201212,198778,1206654
Albania,201301,159898,4077958
Albania,201302,180585,3025997
Albania,201303,237689,1806429
Albania,201304,284566,4402161
Albania,201305,223025,3728791
Albania,201306,202741,3195782
Albania,201307,289073,2332401
Albania,201308,100111,2431208
Albania,201309,239533,1894471
Albania,201310,239056,2911026
Algeria,201001,1172527,47701293
Algeria,201002,996229,32636841
Algeria,201003,1384583,48174358
Algeria,201004,991098,37820035
Algeria,201005,1197970,50594526
Algeria,201006,1565595,37976728
Algeria,201007,1007470,28882975
Algeria,201008,681612,40429878
Algeria,201009,800845,26622462
Algeria,201010,465169,40403963
Algeria,201011,629435,46437387
Algeria,201012,937712,40034951
Algeria,201101,552035,22279888
Algeria,201102,602825,61657130
Algeria,201103,753407,40315401
Algeria,201104,876911,21181345
Algeria,201105,1439562,38641898
Algeria,201106,915132,66188299
Algeria,201107,995458,64855204
Algeria,201108,421369,16700236
Algeria,201109,581938,28476513
Algeria,201110,1018049,43691768
Algeria,201111,918169,36259269
Algeria,201112,736242,80121535
Algeria,201201,666077,16353789
Algeria,201202,441696,17569689
Algeria,201203,812630,82082015
Algeria,201204,1013473,101911635
Algeria,201205,1204154,61054143
Algeria,201206,988023,27605844
Algeria,201207,1493694,26709041
Algeria,201208,766489,17774692
Algeria,201209,423948,15358153
Algeria,201210,866228,12712276
Algeria,201211,722367,23482880
Algeria,201212,693647,23739506
Algeria,201301,967599,46159384
Algeria,201302,497741,21736949
Algeria,201303,694477,17436631
Algeria,201304,618726,21593917
Algeria,201305,487065,14997526
Algeria,201306,1255283,34994183
Algeria,201307,607242,14701917
Algeria,201308,347126,24485748
Algeria,201309,787329,23141707
Algeria,201310,600672,134474464
Antigua and Barbuda,201001,4737,386499
Antigua and Barbuda,201002,2441,460094
Antigua and Barbuda,201003,76,150259
Antigua and Barbuda,201004,781,159510
Antigua and Barbuda,201005,8995,11143
Antigua and Barbuda,201006,2574,184748
Antigua and Barbuda,201007,3665,215611
Antigua and Barbuda,201008,645,19964
Antigua and Barbuda,201009,3740,370394
Antigua and Barbuda,201010,7216,311127
Antigua and Barbuda,201011,3360,262033
Antigua and Barbuda,201012,109,210557
Antigua and Barbuda,201101,893,233245
Antigua and Barbuda,201102,116,234272
Antigua and Barbuda,201103,120,48548
Antigua and Barbuda,201104,292,134511
Antigua and Barbuda,201105,92,155961
Antigua and Barbuda,201106,97,251055
Antigua and Barbuda,201107,3457,592893
Antigua and Barbuda,201108,189,48786
Antigua and Barbuda,201109,82,19861
Antigua and Barbuda,201110,111,233437
Antigua and Barbuda,201111,1358,220497
Antigua and Barbuda,201112,150,210629
Antigua and Barbuda,201201,14320,470318
Antigua and Barbuda,201202,10788,189659
Antigua and Barbuda,201203,1759,294985
Antigua and Barbuda,201204,134,140617
Antigua and Barbuda,201205,55,98193
Antigua and Barbuda,201206,209,25418
Antigua and Barbuda,201207,34,94424
Antigua and Barbuda,201208,248,42451
Antigua and Barbuda,201209,121,167037
Antigua and Barbuda,201210,125,258680
Antigua and Barbuda,201211,12590,293964
Antigua and Barbuda,201212,1597,252949
Antigua and Barbuda,201301,189,206326
Antigua and Barbuda,201302,86,166750
Antigua and Barbuda,201303,121,110459
Antigua and Barbuda,201304,127,55790
Antigua and Barbuda,201305,36,169136
Antigua and Barbuda,201306,79,37716
Antigua and Barbuda,201307,173,39960
Antigua and Barbuda,201308,66,52742
Antigua and Barbuda,201309,22921,369565
Antigua and Barbuda,201310,339,435253
Argentina,201001,1172950,25983858
Argentina,201002,841661,32298778
Argentina,201003,894950,30756639
Argentina,201004,842517,33994120
Argentina,201005,838155,33003665
Argentina,201006,1472396,36074135
Argentina,201007,976363,34769564
Argentina,201008,728425,30562229
Argentina,201009,1373018,39062580
Argentina,201010,1445665,44099939
Argentina,201011,1326266,44467119
Argentina,201012,1207061,54134834
Argentina,201101,826984,49641283
Argentina,201102,860902,31602368
Argentina,201103,1458730,35721936
Argentina,201104,932843,31752930
Argentina,201105,996599,54050162
Argentina,201106,1285362,46627007
Argentina,201107,1144852,50849723
Argentina,201108,913576,36694165
Argentina,201109,638600,34881527
Argentina,201110,1041604,53626411
Argentina,201111,868014,38069377
Argentina,201112,1270471,46760695
Argentina,201201,1528689,83066398
Argentina,201202,491051,23515040
Argentina,201203,740552,39957237
Argentina,201204,450041,35515012
Argentina,201205,1086830,52832827
Argentina,201206,967429,50603137
Argentina,201207,1092334,42150502
Argentina,201208,565091,47318820
Argentina,201209,926087,33661287
Argentina,201210,1302019,44984162
Argentina,201211,876397,40103432
Argentina,201212,589932,37288436
Argentina,201301,424728,71251964
Argentina,201302,976575,56735615
Argentina,201303,361679,59347240
Argentina,201304,1865942,88096441
Argentina,201305,1429956,64883246
Argentina,201306,482223,45599773
Argentina,201307,1008306,106313190
Argentina,201308,526908,61785389
