partner_country,period,net_weight,usd_value
Albania,201001,129737,329796
Albania,201002,311251,366053
Albania,201003,65483,264580
Albania,201004,212291,330172
Albania,201005,17981,68184
Albania,201006,207302,417876
Albania,201007,142846,253719
Albania,201008,128224,143892
Albania,201009,402581,412589
Albania,201010,767455,467523
Albania,201011,185395,487180
Albania,201012,146860,182696
Albania,201101,206558,408459
Albania,201102,135654,220899
Albania,201103,179883,510774
Albania,201104,542915,345083
Albania,201105,2065290,1567270
Albania,201106,160855,189146
Albania,201107,17187,152415
Albania,201108,176892,465166
Albania,201109,153821,342887
Albania,201110,66996,114462
Albania,201111,223242,333146
Albania,201112,194104,437079
Albania,201201,179630,255149
Albania,201202,193148,419378
Albania,201203,152194,266280
Albania,201204,1053946,814009
Albania,201205,641811,687286
Albania,201206,49004,183304
Albania,201207,158071,352545
Albania,201208,48942,304013
Albania,201209,43224,328500
Albania,201210,224908,405146
Albania,201211,262561,352279
Albania,201212,298718,425551
Algeria,201001,5665663,7522174
Algeria,201002,4785425,11550961
Algeria,201003,6972320,23502324
Algeria,201004,6177765,22264499
Algeria,201005,8840151,14883318
Algeria,201006,8596689,20517701
Algeria,201007,4670824,9585178
Algeria,201008,3218640,21602026
Algeria,201009,6700208,21888018
Algeria,201010,7353073,19287081
Algeria,201011,7785604,28845732
Algeria,201012,4463179,16323763
Algeria,201101,5506030,22488948
Algeria,201102,3717037,20478589
Algeria,201103,12090881,29994434
Algeria,201104,7680343,14909434
Algeria,201105,16941793,25274182
Algeria,201106,18361407,22489450
Algeria,201107,7503743,18994870
Algeria,201108,8866318,22366285
Algeria,201109,6413346,22123213
Algeria,201110,3759701,15465738
Algeria,201111,3635515,14191887
Algeria,201112,4328797,19574405
Algeria,201201,2818497,14003977
Algeria,201202,4280610,20015224
Algeria,201203,5144814,22120884
Algeria,201204,3664621,19338981
Algeria,201205,4579973,19306981
Algeria,201206,5236803,20137727
Algeria,201207,2483409,17984421
Algeria,201208,2962408,19916016
Algeria,201209,2715495,22033659
Algeria,201210,2938071,20215330
Algeria,201211,3385127,19965740
Algeria,201212,2982455,27193355
Antigua and Barbuda,201001,56091949,20644
Antigua and Barbuda,201002,1122,10622
Antigua and Barbuda,201003,1265,66174
Antigua and Barbuda,201004,9674737,54854
