partner_country,period,net_weight,usd_value
Algeria,201205,1167019,2290647
Algeria,201206,1037030,2159666
Algeria,201208,3000,9450
Algeria,201303,1017389,1791192
Algeria,201304,1228742,2261010
Algeria,201305,739618,1270044
Antigua and Barbuda,201207,5440,37460
Australia,201208,931,3471
Austria,201202,3950,14112
Austria,201209,600,980
Belgium,201201,53922,136409
Belgium,201202,346245,682092
Belgium,201203,75436,168295
Belgium,201204,49096,48656
Belgium,201205,406617,397443
Belgium,201206,161062,438970
Belgium,201207,320746,426868
Belgium,201208,101055,178869
Belgium,201209,148983,336067
Belgium,201210,66680,171643
Belgium,201211,63473,228211
Belgium,201212,102170,17602367
Belgium,201301,658375,962814
Belgium,201302,226822,548419
Belgium,201303,134030,204702
Belgium,201304,494847,566927
Belgium,201305,106752,444936
Belgium,201306,78736,160094
Belgium,201307,102684,246712
Belgium,201308,92081,286557
Belgium,201309,98047,231526
Burkina Faso,201201,8341414,5756354
Burkina Faso,201202,610041300,56956384
Burkina Faso,201203,11373306,6934281
Burkina Faso,201204,7328776,5530948
Burkina Faso,201205,6825605,5479628
Burkina Faso,201206,5129632,3959786
Burkina Faso,201207,6004320,4053763
Burkina Faso,201208,309092599,28158954
Burkina Faso,201209,12273984,7403618
Burkina Faso,201210,12862570,6467773
Burkina Faso,201211,14634009,7979142
Burkina Faso,201212,19661810,12606516
Burkina Faso,201301,22037356,12148976
Burkina Faso,201302,16446105,9128121
Burkina Faso,201303,14378100,7298869
Burkina Faso,201304,11790085,9067329
Burkina Faso,201305,10819936,7020911
Burkina Faso,201306,16132653,10905985
Burkina Faso,201307,7413930,6791034
Burkina Faso,201308,7056495,6462117
Burkina Faso,201309,8778918,7650278
Cameroon,201201,56639,840696
Cameroon,201202,205413,244286
Cameroon,201203,60141,87328
Cameroon,201204,226555,293864
Cameroon,201205,41472,83256
Cameroon,201206,83410,124791
Cameroon,201207,120000,90372
Cameroon,201208,296178,264685
Cameroon,201209,260000,216012
Cameroon,201210,262958,266490
Cameroon,201211,361796,207347
Cameroon,201212,533951,478420
