partner_country,period,net_weight,usd_value
Albania,201001,14964781,16487251
Albania,201002,8125299,14672563
Albania,201003,16863790,20841591
Albania,201004,17349794,23072808
Albania,201005,16701746,18625690
Albania,201006,9205824,15010321
Albania,201007,12353071,17371972
Albania,201008,25391761,23748625
Albania,201009,13495587,21081444
Albania,201010,19829437,26265703
Albania,201011,13282703,19769967
Albania,201012,17321065,24615278
Albania,201101,16610417,20177776
Albania,201102,7696098,14118679
Albania,201103,21531847,27234918
Albania,201104,8972214,17558573
Albania,201105,16580675,21772589
Albania,201106,14690497,20935609
Albania,201107,24673739,25386239
Albania,201108,13706211,23875479
Albania,201109,16933025,24400248
Albania,201110,18530617,27734145
Albania,201111,12979523,22761024
Albania,201112,20410038,24758478
Albania,201201,14883588,16647373
Albania,201202,18159619,20031317
Albania,201203,26464273,28105984
Albania,201204,17216496,21186610
Albania,201205,11914789,20056105
Albania,201206,12949255,16909790
Albania,201207,9246591,15598956
Albania,201208,14869717,20907546
Albania,201209,18494946,24425953
Albania,201210,16396350,23445626
Albania,201211,17432825,24232184
Albania,201212,11272625,24434479
Albania,201301,10796063,17086862
Albania,201302,15703348,19981493
Albania,201303,18814274,23182610
Albania,201304,10733587,18840082
Albania,201305,16142467,23114066
Albania,201306,14927141,21768944
Albania,201307,23809906,25131363
Albania,201308,16767649,24399361
Albania,201309,13812555,22763795
Albania,201310,11983198,21610761
Algeria,201001,85185044,117384009
Algeria,201002,139681972,129073691
Algeria,201003,133740837,164931047
Algeria,201004,174464327,159555224
Algeria,201005,158444545,116035023
Algeria,201006,160375994,112029257
Algeria,201007,104029784,105147054
Algeria,201008,125389728,113474837
Algeria,201009,80748632,124287789
Algeria,201010,64874273,119700903
Algeria,201011,46518385,108809033
Algeria,201012,74894485,137664754
Algeria,201101,42573964,94263461
Algeria,201102,49418057,121845462
Algeria,201103,57520565,143383923
Algeria,201104,48855415,120268292
Algeria,201105,61776284,137667215
Algeria,201106,58720402,118343690
Algeria,201107,56285791,122894429
Algeria,201108,32941480,106681616
Algeria,201109,37012224,92693127
Algeria,201110,54210999,136181597
Algeria,201111,56531747,119362437
Algeria,201112,74249754,157592937
Algeria,201201,45034003,118983966
Algeria,201202,65002733,155163428
Algeria,201203,68308838,145961182
Algeria,201204,53323349,167140093
Algeria,201205,63993831,131501672
Algeria,201206,93097028,148786757
Algeria,201207,80227296,152028934
Algeria,201208,55028218,110891131
Algeria,201209,84614620,148492155
Algeria,201210,75830242,180921424
Algeria,201211,89806821,158199415
Algeria,201212,81889361,195208865
Algeria,201301,57397138,150653827
Algeria,201302,70464078,179447245
Algeria,201303,57200588,180189852
Algeria,201304,59645460,208505465
Algeria,201305,105219392,216805201
Algeria,201306,69978616,171351595
Algeria,201307,84927121,178306798
Algeria,201308,75757000,129517416
Algeria,201309,89510067,176904053
Algeria,201310,49227278,122606334
Antigua and Barbuda,201001,346741,202843
Antigua and Barbuda,201002,85874,135986
Antigua and Barbuda,201003,37495,109498
Antigua and Barbuda,201004,49296,138244
Antigua and Barbuda,201005,591860,398590
Antigua and Barbuda,201006,256546,207839
Antigua and Barbuda,201007,770861,382520
Antigua and Barbuda,201008,494847,298397
Antigua and Barbuda,201009,243207,166916
Antigua and Barbuda,201010,73678,154501
Antigua and Barbuda,201011,39833,84232
Antigua and Barbuda,201012,92107,166600
Antigua and Barbuda,201101,142902,176699
Antigua and Barbuda,201102,121080,133527
Antigua and Barbuda,201103,672363,529613
Antigua and Barbuda,201104,192222,219003
Antigua and Barbuda,201105,171650,210380
Antigua and Barbuda,201106,290714,254097
Antigua and Barbuda,201107,756361,628426
Antigua and Barbuda,201108,192842,225538
Antigua and Barbuda,201109,227551,217269
Antigua and Barbuda,201110,123237,109274
Antigua and Barbuda,201111,201408,244875
Antigua and Barbuda,201112,313278,303791
Antigua and Barbuda,201201,2619051,1821104
Antigua and Barbuda,201202,1744012,1295633
Antigua and Barbuda,201203,1302752,1050924
Antigua and Barbuda,201204,170728,198108
Antigua and Barbuda,201205,864890,610180
Antigua and Barbuda,201206,416682,401529
Antigua and Barbuda,201207,313270,304769
Antigua and Barbuda,201208,894839,628614
Antigua and Barbuda,201209,547020,367643
Antigua and Barbuda,201210,295687,288430
Antigua and Barbuda,201211,594388,396515
Antigua and Barbuda,201212,666404,488890
Antigua and Barbuda,201301,1034722,776720
Antigua and Barbuda,201302,170797,312374
Antigua and Barbuda,201303,472485,548393
Antigua and Barbuda,201304,1593763,1229602
Antigua and Barbuda,201305,1563538,1172269
Antigua and Barbuda,201306,273451,319692
Antigua and Barbuda,201307,1248975,1001495
Antigua and Barbuda,201308,3142201,2087680
Antigua and Barbuda,201309,768637,676265
Antigua and Barbuda,201310,328523,365845
Argentina,201001,8760034,7756228
Argentina,201002,3898120,5669266
Argentina,201003,16117689,12713928
Argentina,201004,14723593,13844112
Argentina,201005,5710403,10550454
Argentina,201006,4666748,9845987
Argentina,201007,3455156,9114079
Argentina,201008,10721591,12475884
Argentina,201009,20474146,22626615
Argentina,201010,9869179,28203281
Argentina,201011,6472651,18824421
Argentina,201012,23219984,27638062
Argentina,201101,4268007,12698170
Argentina,201102,5371844,15612566
Argentina,201103,7189416,17955149
Argentina,201104,41485769,20472485
Argentina,201105,45224973,21275302
Argentina,201106,5534127,14839357
Argentina,201107,6807917,26457069
Argentina,201108,4974379,23498168
Argentina,201109,6689942,18198147
Argentina,201110,7430996,15370388
Argentina,201111,4360638,10921809
Argentina,201112,5632241,16805738
Argentina,201201,5873772,20878557
Argentina,201202,3737196,18094306
Argentina,201203,4561548,28705650
Argentina,201204,5151344,13608660
Argentina,201205,9802550,48349341
Argentina,201206,5573205,22986693
Argentina,201207,5850610,19962982
Argentina,201208,6317180,19755636
