partner_country,period,net_weight,usd_value
Albania,201001,280399,68978
Albania,201002,244004,184182
Albania,201003,210217,115343
Albania,201004,295593,252188
Albania,201005,204800,42575
Albania,201006,185510,32284
Albania,201007,150950,37962
Albania,201008,116825,72604
Albania,201009,14031557,7940711
Albania,201010,1427170,806043
Albania,201011,15393588,10381728
Albania,201012,7653521,3960950
Albania,201101,4104705,3999405
Albania,201102,22419392,9741185
Albania,201103,12639375,6031019
Albania,201104,7951325,2805591
Albania,201105,21350518,5243256
Albania,201106,12037354,2789175
Albania,201107,10416628,5518559
Albania,201108,7216164,5784869
Albania,201109,4265290,4821306
Albania,201110,2371617,1643287
Albania,201111,8407099,3299376
Albania,201112,14586830,6786831
Albania,201201,9298145,5622641
Albania,201202,3490102,1373297
Albania,201203,9392325,5257311
Albania,201204,9904921,5442607
Albania,201205,19958439,10232984
Albania,201206,6843559,5087372
Albania,201207,51112,93084
Albania,201208,6931266,3180248
Albania,201209,2736364,1070752
Albania,201210,11460032,7176861
Albania,201211,13235661,5083417
Albania,201212,332266,428120
Albania,201301,447544,545712
Albania,201302,3505437,2361354
Albania,201303,5620991,2528408
Albania,201304,6065598,4899281
Albania,201305,11648297,5015048
Albania,201306,6704659,3368860
Albania,201307,216639,276901
Albania,201308,4159143,2554052
Albania,201309,2032207,1927412
Albania,201310,3385024,2168983
Albania,201311,6770664,3097680
Algeria,201001,3050,29800
Algeria,201002,17959,18280
Algeria,201003,43050,86965
Algeria,201004,4646,10589396
Algeria,201005,111042,3685182
Algeria,201006,303870,72634
Algeria,201008,232735,4190960
Algeria,201009,5384809,8772542
Algeria,201010,4644004,18592498
Algeria,201011,4365224,11015213
Algeria,201012,488434,4646335
Algeria,201101,26417620,11039773
Algeria,201102,45627392,25583389
Algeria,201103,5153816,10017915
Algeria,201104,39227029,18065381
Algeria,201105,6448290,9307435
Algeria,201106,37525236,20422906
Algeria,201107,4296510,7806004
Algeria,201108,202101,1156207
Algeria,201109,6112365,3956779
Algeria,201110,73013062,37889708
Algeria,201111,188961138,76593880
Algeria,201112,41597309,23044164
Algeria,201201,56627667,27425987
Algeria,201202,44421822,25484012
Algeria,201203,58339984,35224068
Algeria,201204,58804139,39211925
Algeria,201205,35442920,25998055
Algeria,201206,76528408,39225977
Algeria,201207,18269958,22093627
Algeria,201208,50780880,34756142
Algeria,201209,462509,3950352
Algeria,201210,26204611,9691018
Algeria,201211,42321541,26450253
Algeria,201212,11037,514822
Algeria,201301,46862,548780
Algeria,201302,202710,1618769
Algeria,201303,25413723,8222299
Algeria,201304,10928751,15035532
Algeria,201305,5540773,1944712
Algeria,201306,97615,482710
Algeria,201307,22624850,7528842
Algeria,201308,72657,1066497
Algeria,201309,4763063,5563877
Algeria,201310,74043961,20489789
Algeria,201311,14467844,9059161
Antigua and Barbuda,201001,18000,539
Antigua and Barbuda,201004,40000,508
Antigua and Barbuda,201005,75348,1975
Antigua and Barbuda,201007,50000,636
Antigua and Barbuda,201008,20000,700
Antigua and Barbuda,201009,25500,7834
Antigua and Barbuda,201010,50057,4892
Antigua and Barbuda,201011,40638,17265
Antigua and Barbuda,201012,17543,38208
Antigua and Barbuda,201101,154643,158431
Antigua and Barbuda,201103,24382,573
Antigua and Barbuda,201104,24460,5130
Antigua and Barbuda,201106,1652,6346
Antigua and Barbuda,201108,30180,940
Antigua and Barbuda,201109,51549,7237
Antigua and Barbuda,201110,32493,6439
Antigua and Barbuda,201112,58000,15499
Antigua and Barbuda,201201,68723,25467
Antigua and Barbuda,201202,15795,3722
Antigua and Barbuda,201203,30000,481
Antigua and Barbuda,201204,50545,2633
Antigua and Barbuda,201205,6,422
Antigua and Barbuda,201206,16000,2237
Antigua and Barbuda,201207,41,581
Antigua and Barbuda,201208,40000,463
Antigua and Barbuda,201209,379,1241
Antigua and Barbuda,201210,48000,581
Antigua and Barbuda,201212,3481,1852
Antigua and Barbuda,201301,188,870
Antigua and Barbuda,201302,10080,15322
Antigua and Barbuda,201303,51182,1321
Antigua and Barbuda,201306,30000,214
