partner_country,period,net_weight,usd_value
Albania,201001,266092,1630695
Albania,201002,451770,2867556
Albania,201003,440150,3688499
Albania,201004,487600,2268230
Albania,201005,420800,2834083
Albania,201006,493200,2372265
Albania,201007,273300,1594557
Albania,201008,187500,1721718
Albania,201009,118400,1514473
Albania,201010,13277300,6467417
Albania,201011,129500,2241007
Albania,201012,202100,1786335
Albania,201101,104781,1415472
Albania,201102,290549,3118332
Albania,201103,182305,2094391
Albania,201104,378635,1947624
Albania,201105,171537,1577490
Albania,201106,421113,4181595
Albania,201107,296785,1962025
Albania,201108,297495,3255897
Albania,201109,113760,3381788
Albania,201110,332200,1642230
Albania,201111,368229,2302554
Albania,201112,562653,3244610
Albania,201201,477175,1717286
Albania,201202,297484,2093102
Albania,201203,346614,2284197
Albania,201204,332860,2562432
Albania,201205,310090,2781793
Albania,201206,290313,2535650
Albania,201207,658585,2710351
Albania,201208,693039,3166134
Albania,201209,650600,3605435
Albania,201210,488376,3790562
Albania,201211,529005,3502059
Albania,201212,447216,2984590
Albania,201301,568200,3622868
Albania,201302,454800,2315488
Albania,201303,182289,1005841
Albania,201304,158370,1975121
Albania,201305,166381,980786
Albania,201306,416879,2373123
Albania,201307,354583,1655557
Albania,201308,285764,1609360
Albania,201309,181676000,1348129
Albania,201310,263825,3143095
Albania,201311,716103,7335013
Algeria,201001,5410122,33376728
Algeria,201002,6176703,29240754
Algeria,201003,8281940,30987415
Algeria,201004,2719400,23436435
Algeria,201005,13371400,40757942
Algeria,201006,13214600,33559085
Algeria,201007,6410300,49622438
Algeria,201008,10069400,23656652
Algeria,201009,4292100,49140357
Algeria,201010,34855300,69574343
Algeria,201011,9527600,35530802
Algeria,201012,7284400,36248806
Algeria,201101,8738804,47763896
Algeria,201102,5717094,76969315
Algeria,201103,6792138,55043493
Algeria,201104,9509107,50119923
Algeria,201105,8913403,169148948
Algeria,201106,9666894,49781751
Algeria,201107,3753581,40277299
Algeria,201108,4411246,110290492
Algeria,201109,25879161,48429533
Algeria,201110,18098500,47343716
Algeria,201111,52076157,168093032
Algeria,201112,16175880,58435280
Algeria,201201,1848023,30772063
Algeria,201202,6004566,32484547
Algeria,201203,4814728,53971471
Algeria,201204,60527011,43123542
Algeria,201205,7568074,57744650
