partner_country,period,net_weight,usd_value
Algeria,201201,327350,806687
Argentina,201201,1100,2038419
Armenia,201201,8,10
Australia,201201,227326,1469736
Austria,201201,47,2398
Belgium,201201,6518112,14081268
Brazil,201201,310,1518
Burkina Faso,201201,15,4581
Burundi,201201,8156610,6275983
Canada,201201,76994,382228
China,201201,5714565,14944127
"China, Hong Kong SAR",201201,420281,750748
Czech Rep.,201201,6,850
Denmark,201201,347514,844915
Egypt,201201,274386,1670751
Finland,201201,16545,82701
France,201201,950497,923322
Georgia,201201,79200,31476
Germany,201201,6623871,43100513
Greece,201201,47650,281937
Hungary,201201,176,11091
Iceland,201201,19500,188651
India,201201,22089828,21111774
Indonesia,201201,1226524,4003850
Ireland,201201,40397,15864
Israel,201201,180602,962734
Italy,201201,747231,2740710
Japan,201201,3592119,32443866
Kenya,201201,49231055,20802937
Luxembourg,201201,59400,242596
Madagascar,201201,1016157,618227
Malaysia,201201,159088,254811
Mali,201201,18000,46941
Mauritius,201201,5580,14100
Mozambique,201201,1935655,12185237
Netherlands,201201,1570349,8948405
New Zealand,201201,199004,177106
Nigeria,201201,78000,86268
Norway,201201,2836,18589
Pakistan,201201,627344,1003811
Philippines,201201,109669,169061
Poland,201201,595560,489905
Portugal,201201,392214,650599
Rep. of Korea,201201,99405,517633
Romania,201201,277200,51303
Russian Federation,201201,1350041,1220940
Rwanda,201201,6490147,5459138
Senegal,201201,30100,11574
Singapore,201201,2706180,5895950
South Africa,201201,592951,110909050
Spain,201201,238461,1008577
Sri Lanka,201201,50022,113415
Sweden,201201,5180,35291
Switzerland,201201,1602013,46597455
Thailand,201201,1057610,5545818
Turkey,201201,47124,145502
United Kingdom,201201,2115839,5966089
USA,201201,1711291,6418235
Zambia,201201,4130669,4240380
Zimbabwe,201201,676110,453368
