partner_country,period,net_weight,usd_value
Albania,201001,64607,113499
Albania,201002,38140,184964
Albania,201004,36520,31543
Albania,201006,42810,41718
Albania,201007,130767,116988
Albania,201012,75793,425899
Albania,201102,16700,46040
Albania,201104,24684,42207
Albania,201106,2284,27836
Albania,201107,58,2292
Albania,201109,22560,105552
Albania,201111,45450,216303
Albania,201202,26005,150829
Albania,201203,12011,66061
Albania,201206,160548,493370
Albania,201301,17600,30204
Albania,201302,15340,31798
Albania,201305,27905,38746
Albania,201306,27947,67000
Algeria,201001,2563064,7516681
Algeria,201002,2059055,6254081
Algeria,201003,1262134,3224400
Algeria,201004,1240,25296
Algeria,201005,754187,2313825
Algeria,201006,1373467,4145300
Algeria,201007,517223,1467791
Algeria,201008,176727,665062
Algeria,201009,1548046,5189544
Algeria,201010,1237689,3925396
Algeria,201011,1346834,4541928
Algeria,201012,1299852,4187238
Algeria,201101,814224,2876422
Algeria,201102,27015697,10924728
Algeria,201103,1635870,6263116
Algeria,201104,582901,2538446
Algeria,201105,279768,905499
Algeria,201106,214523,517384
Algeria,201107,1069362,4846043
Algeria,201108,279990,1131369
Algeria,201109,226814,1034705
Algeria,201110,831101,3324238
Algeria,201111,1319172,5188162
Algeria,201112,279371,1195332
Algeria,201201,39345058,11654446
Algeria,201202,27319051,7932739
Algeria,201203,2058000,4720231
Algeria,201204,157970,725259
Algeria,201205,217676,825208
Algeria,201206,430253,1146274
Algeria,201207,214781,790469
Algeria,201208,7828939,1933899
Algeria,201209,50000,157882
Algeria,201211,1968616,6601448
Algeria,201212,1018000,3502910
Algeria,201301,2224500,7872990
Algeria,201302,1826000,3582159
Algeria,201303,1160539,1303045
Algeria,201305,2338373,5444426
Algeria,201306,940859,4241549
Antigua and Barbuda,201005,650,1500
Antigua and Barbuda,201107,2520,26002
Antigua and Barbuda,201112,1,193350
Antigua and Barbuda,201207,1,151498
Antigua and Barbuda,201210,2,245980
Antigua and Barbuda,201301,1,164318
Antigua and Barbuda,201303,24000,10032
Argentina,201001,19257726,26658667
Argentina,201002,32699038,33310983
Argentina,201003,39029117,36253240
Argentina,201004,39391126,43631926
Argentina,201005,30254800,41323308
Argentina,201006,40734243,79539840
Argentina,201007,33142356,41610041
Argentina,201008,32934250,69772342
Argentina,201009,27338922,57506521
Argentina,201010,34744681,50052370
Argentina,201011,30926139,46827566
Argentina,201012,45520932,48131039
Argentina,201101,22784771,33376117
Argentina,201102,25723468,40154509
Argentina,201103,27113549,46657455
Argentina,201104,21984810,45465175
Argentina,201105,24900233,56011766
Argentina,201106,28551014,51110308
Argentina,201107,28540970,56466906
Argentina,201108,33858275,53672597
Argentina,201109,30807818,54322702
Argentina,201110,31870716,57590576
Argentina,201111,27766385,47623730
Argentina,201112,25995016,45857173
Argentina,201201,26184262,54213864
Argentina,201202,13703021,22404539
Argentina,201203,19278407,42002686
Argentina,201204,16752157,35728073
Argentina,201205,22146594,44343085
Argentina,201206,22765712,48006152
Argentina,201207,25914883,50228545
Argentina,201208,22727790,44627149
Argentina,201209,19562217,37601863
Argentina,201210,20508943,46529098
Argentina,201211,18863206,44906896
Argentina,201212,18896092,33964935
Argentina,201301,16911846,36584559
Argentina,201302,15038751,32432794
Argentina,201303,14013026,36723370
Argentina,201305,16301290,40876982
Argentina,201306,16487121,43266798
Armenia,201010,239,10104
Armenia,201109,216,11550
Armenia,201110,26001,38221
Armenia,201111,26000,42650
Armenia,201203,25000,94391
Aruba,201001,93627,719903
Aruba,201002,48411,368986
Aruba,201003,40139,312910
Aruba,201004,64225,505663
Aruba,201005,73390,509752
Aruba,201006,40094,327555
Aruba,201007,53972,367458
Aruba,201009,81208,601445
Aruba,201010,117681,991167
Aruba,201011,29985,246718
Aruba,201012,92964,762520
Aruba,201101,74382,523314
Aruba,201102,40920,343865
Aruba,201103,70386,585425
Aruba,201104,30211,255712
Aruba,201105,39301,342717
Aruba,201106,82939,657813
Aruba,201107,60279,518135
Aruba,201108,68358,596069
Aruba,201109,50352,449755
Aruba,201110,71536,659035
Aruba,201111,81393,766635
Aruba,201112,70763,675454
Aruba,201201,90350,809353
Aruba,201202,29668,280808
Aruba,201203,103444,915285
Aruba,201204,90196,866194
Aruba,201205,91614,886128
Aruba,201206,81308,777290
Aruba,201207,117016,1210370
Aruba,201208,20322,201434
Aruba,201209,83059,724756
Aruba,201210,109670,1063472
Aruba,201211,79099,800595
Aruba,201212,99029,980808
Aruba,201301,87666,862672
Aruba,201302,61324,596757
Aruba,201303,152256,1458417
Aruba,201305,70379,688804
Aruba,201306,51104,497298
Australia,201001,365119,230537
Australia,201002,200620,150032
Australia,201003,347470,288047
Australia,201004,76121,251576
Australia,201005,70334,77090
Australia,201006,92780,82292
Australia,201007,178133,195176
Australia,201008,203997,220112
Australia,201009,142220,329184
Australia,201010,180085,205730
Australia,201011,33338,72631
Australia,201012,72029,147590
Australia,201101,126817,209904
Australia,201102,28351,207826
Australia,201103,74508,119236
Australia,201104,860647,488016
Australia,201105,130371,141611
Australia,201106,1648,67196
Australia,201107,5202,13997
Australia,201108,45186,77694
Australia,201109,114459,100896
Australia,201110,41299,55279
Australia,201111,114093,139875
Australia,201112,210443,201485
Australia,201201,109854,128171
Australia,201202,78351,66025
Australia,201203,29400,36072
Australia,201204,20246,20276
Australia,201205,7681,68073
Australia,201206,2160,39427
