partner_country,period,net_weight,usd_value
Albania,201001,4578,1786639
Albania,201002,16651,3131401
Albania,201003,1215825,3580863
Albania,201004,1632,5501392
Albania,201005,146,7636911
Albania,201006,846105,7017096
Albania,201007,1305,2530706
Albania,201008,389075,1893654
Albania,201009,3,2396097
Albania,201010,1335,3887867
Albania,201011,487494,3524499
Albania,201012,494,3757377
Albania,201101,7727,3919748
Albania,201102,2090,2784725
Albania,201103,3340,3370133
Albania,201104,1800,3257918
Albania,201105,154,3979880
Albania,201106,903,7932582
Albania,201107,1187,3760293
Albania,201108,80,3002618
Albania,201109,2782,2571389
Albania,201110,564921,4048137
Albania,201111,309855,3957322
Albania,201112,10,5046018
Albania,201201,282232,2361957
Albania,201202,338099,2912950
Albania,201203,3,3680199
Albania,201204,340746,4126470
Albania,201205,0,6693044
Albania,201206,3750000,6563163
Albania,201207,4215101,3930584
Albania,201208,199576,4511360
Albania,201209,0,3576084
Albania,201210,3759963,5814516
Albania,201211,886222,5702829
Albania,201212,197103,4374126
Albania,201301,3898500,3771411
Albania,201302,4241649,6870659
Albania,201303,318242,5077601
Albania,201304,15309394,5829262
Albania,201305,408,7505281
Albania,201306,4000000,5982718
Albania,201307,3891829,13396084
Albania,201308,190011,3194273
Albania,201309,13000000,4002131
Albania,201310,9004,3896052
Albania,201311,533524,4559389
Algeria,201001,17537,85049797
Algeria,201002,2635894,52606564
Algeria,201003,18179027,104988507
Algeria,201004,87989,55943451
Algeria,201005,97436,91086833
Algeria,201006,40317,121942370
Algeria,201007,17039,91059193
Algeria,201008,111017,112541895
Algeria,201009,27949,130920227
Algeria,201010,48555,149694651
Algeria,201011,128,130692457
Algeria,201012,97286,67838424
Algeria,201101,6475,67322793
Algeria,201102,3687,103085167
Algeria,201103,35250,148362389
Algeria,201104,68888,257067443
Algeria,201105,100189,150876785
Algeria,201106,45360,105565769
Algeria,201107,158882,100773738
Algeria,201108,38827,181198835
Algeria,201109,2813,206397723
Algeria,201110,54885,81468388
Algeria,201111,29129,65402743
Algeria,201112,23424,122732105
Algeria,201201,7879535,65781097
Algeria,201202,7417,109654497
Algeria,201203,6956494,129744692
Algeria,201204,9536,83764403
Algeria,201205,9553,262753033
Algeria,201206,5625695,116429367
Algeria,201207,2,111308181
Algeria,201208,2,122665642
Algeria,201209,520524,52949178
Algeria,201210,7,74593869
Algeria,201211,6054302,112812304
Algeria,201212,3682733,119858697
Algeria,201301,5488844,167972033
Algeria,201302,2,122701582
Algeria,201303,5088573,190704691
Algeria,201304,4987638,140659325
Algeria,201305,4829320,252111530
Algeria,201306,5290627,238277941
Algeria,201307,2,147196856
Algeria,201308,7585467,170398446
Algeria,201309,4048696,77938260
Algeria,201310,5324010,89748557
Algeria,201311,4056480,114266206
Antigua and Barbuda,201001,5883,11960540
Antigua and Barbuda,201002,12375,10428700
Antigua and Barbuda,201003,1656981,18107487
Antigua and Barbuda,201004,70649,10976080
