partner_country,period,net_weight,usd_value
Albania,201108,85,97
Antigua and Barbuda,201002,4000,2869
Antigua and Barbuda,201110,53955,99242
Armenia,201006,91,484
Armenia,201008,3332,4007
Armenia,201009,5590,4581
Armenia,201107,7325,36368
Armenia,201108,1955,6960
Armenia,201109,7017,24502
Australia,201001,137631,47835
Australia,201002,224284,33424
Australia,201003,290208,170377
Australia,201004,131249,15767
Australia,201005,194675,52577
Australia,201006,165157,46852
Australia,201007,150837,93937
Australia,201008,194703,37322
Australia,201009,231532,39406
Australia,201010,256973,183733
Australia,201011,246616,57288
Australia,201012,104376,107690
Australia,201101,176348,138782
Australia,201102,227675,25545
Australia,201103,306212,86204
Australia,201104,295589,117749
Australia,201105,422585,67328
Australia,201106,324447,141696
Australia,201107,435011,52475
Australia,201108,519456,70211
Australia,201109,359522,175620
Australia,201110,632045,87757
Australia,201111,348237,164447
Australia,201112,378189,96776
Austria,201001,146,12389
Austria,201002,163,3647
Austria,201003,1,297
Austria,201005,174675,62176
Austria,201007,150,6597
Austria,201008,1,25243
Austria,201009,1,382
Austria,201010,60001,61137
Austria,201011,1562,16352
Austria,201012,1,177
Austria,201101,1,228
Austria,201102,1,224
Austria,201104,94,6132
Austria,201105,41,711
Austria,201106,1,320
Austria,201107,661,7002
Austria,201108,156,3033
Austria,201111,92,1253
Austria,201112,1181,7849
Azerbaijan,201008,4860,8135
Bahrain,201108,96097,39431
Bahrain,201110,2,421
Belgium,201001,263487,7689665
Belgium,201002,251087,4572802
Belgium,201003,179920,7578843
Belgium,201004,539120,2476143
Belgium,201005,177597,1355709
Belgium,201006,83027,5156162
Belgium,201007,158384,5390948
Belgium,201008,112703,3788360
Belgium,201009,230553,8522711
Belgium,201010,124226,4578923
Belgium,201011,134868,8713829
Belgium,201012,143576,12547536
Belgium,201101,130013,10262678
Belgium,201102,119105,8703394
Belgium,201103,130490,9992528
Belgium,201104,95540,7594305
Belgium,201105,101974,525103
Belgium,201106,264105,13379558
Belgium,201107,283271,6929082
Belgium,201108,123069,3563747
Belgium,201109,113816,7048270
Belgium,201110,198143,9137705
Belgium,201111,277874,7460053
Belgium,201112,38082,816716
Brazil,201001,154,206
Brazil,201002,21630,24309
Brazil,201005,20,59
Brazil,201006,136,638
Brazil,201007,2200,21684
Brazil,201101,1936,29384
Brazil,201102,565,1044
Brazil,201103,105,309
Brazil,201104,7,31
Brazil,201106,14,351
Brazil,201107,19,13
Brazil,201110,36,417
Brazil,201111,225,926
Brazil,201112,19800,139830
Brunei Darussalam,201008,5900,86269
Brunei Darussalam,201107,334,502
Bulgaria,201001,39600,122379
Bulgaria,201003,99000,688071
Bulgaria,201004,58200,168042
Bulgaria,201006,19800,143615
Bulgaria,201007,19800,144839
Bulgaria,201008,19800,147782
Bulgaria,201010,39600,243511
Bulgaria,201012,39600,280747
Bulgaria,201106,20,39
Bulgaria,201108,8420,12644
Bulgaria,201109,25969,231641
Bulgaria,201110,26803,235486
Burkina Faso,201101,1251,25277
Burkina Faso,201104,1135,30608
Burkina Faso,201105,7000,72327
Burkina Faso,201107,355,100
Burkina Faso,201108,60,1949
Burundi,201001,7314385,1574956
Burundi,201002,6361213,1328652
Burundi,201003,6262398,1434184
Burundi,201004,5889941,1558847
Burundi,201005,7823665,2673723
Burundi,201006,6967386,2697462
Burundi,201007,8566516,2471169
Burundi,201008,12631636,2902469
Burundi,201009,9577550,2339609
Burundi,201010,9154465,2602122
Burundi,201011,10723703,2779864
Burundi,201012,12012178,3512338
Burundi,201101,11532307,2730549
Burundi,201102,5847150,1674186
Burundi,201103,10627338,3036866
Burundi,201104,8262466,2673666
Burundi,201105,4188090,1295239
Burundi,201106,11554023,3521026
Burundi,201107,9216127,2435461
Burundi,201108,4940110,2558234
Burundi,201109,6372703,2366996
Burundi,201110,5855577,2235906
Burundi,201111,3745000,1146267
Burundi,201112,7637050,2449602
Cameroon,201007,595,5123
Cameroon,201107,15,10
Cameroon,201108,317,209
Canada,201001,696,3403
Canada,201002,446,19735
Canada,201003,424,20717
Canada,201004,2708,9613
Canada,201005,589,2960
Canada,201006,21,26
Canada,201007,4872,15326
Canada,201008,1949,14015
Canada,201009,1461,44574
Canada,201010,358,9277
Canada,201011,379,8279
Canada,201012,510,10064
Canada,201101,522,108028
Canada,201104,4080,13610
Canada,201105,5052,150349
Canada,201107,30988,199788
Canada,201108,356,591
Canada,201109,263,995
Canada,201110,703,9708
Canada,201111,689,999
Canada,201112,550,9630
Chile,201010,61,2456
Chile,201101,15,148
China,201001,18019849,94622020
China,201002,20704273,111579208
China,201003,27711871,175765053
China,201004,28607042,140634455
