partner_country,period,net_weight,usd_value
Argentina,201211,10,2889
Armenia,201211,10,965
Australia,201201,1870,3850
Australia,201202,72,250
Australia,201203,56,3646
Australia,201205,50,600
Australia,201206,32,2365
Australia,201207,5,577
Australia,201208,68,4225
Australia,201210,63,4354
Australia,201301,585,26740
Australia,201303,88,5604
Australia,201304,303,10770
Austria,201203,45,2204
Austria,201303,109,7500
Belgium,201201,79,7340298
Belgium,201202,161,11950642
Belgium,201203,3,3623951
Belgium,201204,2545,3835710
Belgium,201205,1010,5947070
Belgium,201206,2700,10923
Belgium,201207,19789,18804
Belgium,201208,11,6169235
Belgium,201209,8,4542993
Belgium,201210,31,8291
Belgium,201211,85,3070
Belgium,201212,8,4135121
Belgium,201301,52,2715
Belgium,201302,33,9074902
Belgium,201303,17,4704382
Brazil,201203,12,6
Brazil,201209,62,186
Brazil,201210,45,15
Brazil,201303,10,30
Bulgaria,201205,180,19330
Burkina Faso,201204,4,150
Burundi,201205,61,20
Burundi,201208,35146,56539
Canada,201201,119,12900
Canada,201202,126,9700
Canada,201203,192,4000
Canada,201204,30,45000
Canada,201205,9922,57891
Canada,201206,148,1550
Canada,201207,3198,112755
Canada,201208,320,14500
Canada,201209,88,1235
Canada,201211,489,1298
Canada,201302,291,39250
Canada,201303,541,11000
Canada,201304,46,1690
China,201201,210,24300
China,201202,320,62000
China,201203,1304,63174
China,201204,475,44730
China,201205,232,18128
China,201206,1684,1033805
China,201207,300036,591874
China,201208,656,18450
China,201209,576,110300
China,201210,135,457
China,201211,8087,130029
China,201212,1585,82945192
China,201301,235,30253290
China,201302,161,16000
China,201303,448,22076
China,201304,482,18249
"China, Hong Kong SAR",201201,824,8142
"China, Hong Kong SAR",201202,430,4300
"China, Hong Kong SAR",201203,550,5500
"China, Hong Kong SAR",201204,1,158
"China, Hong Kong SAR",201205,0,1040445
"China, Hong Kong SAR",201206,20219,39232
"China, Hong Kong SAR",201208,6086260,1144676
"China, Hong Kong SAR",201209,1,1
"China, Hong Kong SAR",201210,25,56
"China, Hong Kong SAR",201211,1,1
"China, Hong Kong SAR",201301,1800,1950
"China, Hong Kong SAR",201302,1200,1350
"China, Hong Kong SAR",201303,600,780
"China, Hong Kong SAR",201304,1320,1670
Colombia,201205,4,1950
Cyprus,201304,1,5
Czech Rep.,201202,291,7961
Czech Rep.,201205,349,11300
Czech Rep.,201209,258,18330
Denmark,201202,137,11500
Denmark,201203,118,17290
Denmark,201207,1012,12656
Denmark,201210,116,3656
Denmark,201211,55,2800
Denmark,201212,40,5920
Denmark,201303,158,10300
Ecuador,201203,364,12778
Ecuador,201205,880,30948
Egypt,201201,1260,4850
Egypt,201204,184,3839
Egypt,201207,3350,25889
Egypt,201208,1250,18225
Egypt,201212,1000,9314
Estonia,201302,61,4250
Ethiopia,201202,80,1290
Ethiopia,201203,3600,25200
Ethiopia,201209,75,664
Ethiopia,201210,1250,8100
Ethiopia,201212,950,6847
Ethiopia,201302,250,2075
Finland,201201,59,14610
Finland,201205,65,3790
Finland,201211,35,11000
France,201203,2,2000
France,201204,440,7119
France,201207,1311,3796
France,201208,400,3055
France,201209,15,10
France,201210,86,3619
France,201211,35,55
France,201212,91,861
France,201301,4,10
France,201302,120,13670
France,201303,50,800
France,201304,3,50
Germany,201201,736,57860
Germany,201202,478,23445
Germany,201203,256,14483
Germany,201204,1484,113640
Germany,201205,179,18932
Germany,201206,1506,7573
Germany,201207,574,1806
Germany,201208,13200137,15674731
Germany,201209,2652,19794
Germany,201210,211,14217
