"month","year","weight_sum","value_sum"
1,2010,2350453900,6892151277
2,2010,2772222300,7009928733
3,2010,3258726800,8714994364
4,2010,2799838100,7264993118
5,2010,2551666900,7330391552
6,2010,3067557800,7518370489
7,2010,2924217600,7132293989
8,2010,2497130000,6814326693
9,2010,3212119400,7933712283
10,2010,2861188800,7748755317
11,2010,3052567400,8043461310
12,2010,3102598700,7658582470
1,2011,2659039700,8130658744
2,2011,2720851500,8102103729
3,2011,2920960700,10099964950
4,2011,2480677900,8946896474
5,2011,2982162600,9530524726
6,2011,2854607800,9289499939
7,2011,2704758000,8861230355
8,2011,2801293700,8995806503
9,2011,2734374800,9293361136
10,2011,2494127200,8689965633
11,2011,2869248500,9159227339
12,2011,2304221300,8085258113
1,2012,2570827100,8129449302
2,2012,2388663400,8531307852
3,2012,2551067100,9039323749
4,2012,2422672000,8327287165
5,2012,2326862000,8772989807
6,2012,2697775100,8579234323
7,2012,2223174800,8052060870
8,2012,2524500300,8408106165
9,2012,2244623100,8222343606
10,2012,2608072600,9060299111
11,2012,2704713200,8865033804
12,2012,2433179800,7321377291
1,2013,2482634500,8503514425
2,2013,2292544800,8042015016
3,2013,2176695900,8325271527
4,2013,2524127400,8652971801
5,2013,2586354600,8936455759
6,2013,2967662700,8492888899
7,2013,2446270900,8793070646
8,2013,2434701700,8823633858
9,2013,2581373200,9329436659
10,2013,2618689200,10043389196
11,2013,2737363200,9294744114
